Phylum	大豆	葵花	高粱	狼尾草	土豆
Basidiomycota	63.19253763	75.51079459	51.10637607	45.22293739	96.28502568
Ascomycota	8.198477147	12.60068884	47.41193925	19.84351304	2.590525691
Rozellomycota	1.626063757	1.157396604	0	29.55085046	0.254467568
Chytridiomycota	20.25277015	1.894770247	0.01006734	0.85377787	0.277392574
Glomeromycota	2.52185936	4.097557333	1.471617335	0.268218801	0.359922596
Aphelidiomycota	0	0.855913457	0	4.171426121	0.202657054
Olpidiomycota	3.602656229	3.882878931	0	0.089276316	0.022512356
Blastocladiomycota	0.605635723	0	0	0	0
Mortierellomycota	0	0	0	0	0.007496477
