SampleID	Group	Date	Site
BS.2	大豆	2022/5/22	neimenggu
CS.2	葵花	2022/5/22	neimenggu
GR.01	高粱	2022/5/22	neimenggu
LW.1	狼尾草	2022/5/22	neimenggu
T.1	土豆	2022/5/22	neimenggu
BS2	大豆	2022/5/22	neimenggu
CS2	葵花	2022/5/22	neimenggu
GR01	高粱	2022/5/22	neimenggu
LW1	狼尾草	2022/5/22	neimenggu
T1	土豆	2022/5/22	neimenggu
