Id,Label,timeset,P
ASV228,ASV228,,Firmicutes
ASV515,ASV515,,Proteobacteria
ASV1030,ASV1030,,Actinobacteria
ASV1069,ASV1069,,Proteobacteria
ASV183,ASV183,,Bacteroidetes
ASV184,ASV184,,Proteobacteria
ASV227,ASV227,,Bacteroidetes
ASV233,ASV233,,Proteobacteria
ASV263,ASV263,,Proteobacteria
ASV293,ASV293,,Bacteroidetes
ASV463,ASV463,,Bacteroidetes
ASV71,ASV71,,Proteobacteria
ASV73,ASV73,,Bacteroidetes
ASV763,ASV763,,Proteobacteria
ASV941,ASV941,,Actinobacteria
ASV1032,ASV1032,,Proteobacteria
ASV1840,ASV1840,,Proteobacteria
ASV1852,ASV1852,,Proteobacteria
ASV500,ASV500,,Actinobacteria
ASV67,ASV67,,Proteobacteria
ASV770,ASV770,,Proteobacteria
ASV1036,ASV1036,,Proteobacteria
ASV1051,ASV1051,,Proteobacteria
ASV1232,ASV1232,,Proteobacteria
ASV1273,ASV1273,,Chloroflexi
ASV1038,ASV1038,,Proteobacteria
ASV1738,ASV1738,,Chloroflexi
ASV349,ASV349,,Proteobacteria
ASV104,ASV104,,Bacteroidetes
ASV248,ASV248,,Firmicutes
ASV625,ASV625,,Bacteroidetes
ASV1042,ASV1042,,Proteobacteria
ASV346,ASV346,,Actinobacteria
ASV105,ASV105,,Actinobacteria
ASV1161,ASV1161,,Actinobacteria
ASV146,ASV146,,Firmicutes
ASV2290,ASV2290,,Actinobacteria
ASV242,ASV242,,Bacteroidetes
ASV548,ASV548,,Acidobacteria
ASV727,ASV727,,Firmicutes
ASV76,ASV76,,Thaumarchaeota
ASV1059,ASV1059,,Bacteroidetes
ASV1907,ASV1907,,Actinobacteria
ASV585,ASV585,,Proteobacteria
ASV123,ASV123,,Bacteroidetes
ASV1428,ASV1428,,Proteobacteria
ASV475,ASV475,,Proteobacteria
ASV591,ASV591,,Bacteroidetes
ASV1066,ASV1066,,Actinobacteria
ASV3236,ASV3236,,Proteobacteria
ASV247,ASV247,,Actinobacteria
ASV3347,ASV3347,,Proteobacteria
ASV403,ASV403,,Proteobacteria
ASV501,ASV501,,Actinobacteria
ASV59,ASV59,,Bacteroidetes
ASV641,ASV641,,Proteobacteria
ASV752,ASV752,,Gemmatimonadetes
ASV771,ASV771,,Bacteroidetes
ASV115,ASV115,,Bacteroidetes
ASV1243,ASV1243,,Actinobacteria
ASV1358,ASV1358,,Actinobacteria
ASV1492,ASV1492,,Actinobacteria
ASV158,ASV158,,Proteobacteria
ASV180,ASV180,,Proteobacteria
ASV226,ASV226,,Bacteroidetes
ASV231,ASV231,,Actinobacteria
ASV2383,ASV2383,,Actinobacteria
ASV29,ASV29,,Firmicutes
ASV3327,ASV3327,,Proteobacteria
ASV335,ASV335,,Actinobacteria
ASV35,ASV35,,Actinobacteria
ASV516,ASV516,,Actinobacteria
ASV637,ASV637,,Bacteroidetes
ASV733,ASV733,,Bacteroidetes
ASV1070,ASV1070,,Actinobacteria
ASV1071,ASV1071,,Firmicutes
ASV1073,ASV1073,,Actinobacteria
ASV125,ASV125,,Actinobacteria
ASV164,ASV164,,Bacteroidetes
ASV1781,ASV1781,,Firmicutes
ASV195,ASV195,,Bacteroidetes
ASV261,ASV261,,Chloroflexi
ASV271,ASV271,,Chloroflexi
ASV295,ASV295,,Proteobacteria
ASV310,ASV310,,Actinobacteria
ASV33,ASV33,,Proteobacteria
ASV384,ASV384,,Actinobacteria
ASV398,ASV398,,Actinobacteria
ASV6,ASV6,,Thaumarchaeota
ASV627,ASV627,,Actinobacteria
ASV68,ASV68,,Chloroflexi
ASV707,ASV707,,Chloroflexi
ASV927,ASV927,,Bacteroidetes
ASV938,ASV938,,Bacteroidetes
ASV109,ASV109,,Proteobacteria
ASV3089,ASV3089,,Proteobacteria
ASV568,ASV568,,Bacteroidetes
ASV1092,ASV1092,,Actinobacteria
ASV1229,ASV1229,,Proteobacteria
ASV2223,ASV2223,,Actinobacteria
ASV1093,ASV1093,,Actinobacteria
ASV334,ASV334,,Bacteroidetes
ASV447,ASV447,,Actinobacteria
ASV458,ASV458,,Proteobacteria
ASV528,ASV528,,Actinobacteria
ASV557,ASV557,,Bacteroidetes
ASV708,ASV708,,Bacteroidetes
ASV775,ASV775,,Bacteroidetes
ASV876,ASV876,,Actinobacteria
ASV983,ASV983,,Proteobacteria
ASV995,ASV995,,Actinobacteria
ASV11,ASV11,,Spike
ASV151,ASV151,,Actinobacteria
ASV2208,ASV2208,,Actinobacteria
ASV254,ASV254,,Cyanobacteria
ASV2572,ASV2572,,Actinobacteria
ASV3207,ASV3207,,Actinobacteria
ASV478,ASV478,,Actinobacteria
ASV191,ASV191,,Bacteroidetes
ASV258,ASV258,,Bacteroidetes
ASV579,ASV579,,Proteobacteria
ASV623,ASV623,,Actinobacteria
ASV140,ASV140,,Actinobacteria
ASV1615,ASV1615,,Actinobacteria
ASV2213,ASV2213,,Actinobacteria
ASV5010,ASV5010,,Proteobacteria
ASV564,ASV564,,Proteobacteria
ASV1115,ASV1115,,Bacteroidetes
ASV892,ASV892,,Proteobacteria
