Id,Label,timeset,P
ASV317,ASV317,,Proteobacteria
ASV319,ASV319,,Proteobacteria
ASV3238,ASV3238,,Actinobacteria
ASV4272,ASV4272,,Proteobacteria
ASV324,ASV324,,Proteobacteria
ASV325,ASV325,,Bacteroidetes
ASV4983,ASV4983,,Actinobacteria
ASV510,ASV510,,Bacteroidetes
ASV423,ASV423,,Proteobacteria
ASV338,ASV338,,Bacteroidetes
ASV340,ASV340,,Actinobacteria
ASV870,ASV870,,Proteobacteria
ASV3406,ASV3406,,Actinobacteria
ASV345,ASV345,,Actinobacteria
ASV936,ASV936,,Bacteroidetes
ASV356,ASV356,,Actinobacteria
ASV3576,ASV3576,,Actinobacteria
ASV358,ASV358,,Proteobacteria
ASV98,ASV98,,Actinobacteria
ASV3631,ASV3631,,Actinobacteria
ASV366,ASV366,,Actinobacteria
ASV368,ASV368,,Bacteroidetes
ASV370,ASV370,,Actinobacteria
ASV535,ASV535,,Bacteroidetes
ASV373,ASV373,,Bacteroidetes
ASV980,ASV980,,Actinobacteria
ASV377,ASV377,,Bacteroidetes
ASV379,ASV379,,Proteobacteria
ASV937,ASV937,,Proteobacteria
ASV3869,ASV3869,,Proteobacteria
ASV40,ASV40,,Actinobacteria
ASV387,ASV387,,Proteobacteria
ASV389,ASV389,,Proteobacteria
ASV4501,ASV4501,,Actinobacteria
ASV3900,ASV3900,,Actinobacteria
ASV3938,ASV3938,,Proteobacteria
ASV863,ASV863,,Bacteroidetes
ASV397,ASV397,,Bacteroidetes
ASV402,ASV402,,Proteobacteria
ASV410,ASV410,,Actinobacteria
ASV411,ASV411,,Bacteroidetes
ASV4133,ASV4133,,Actinobacteria
ASV776,ASV776,,Proteobacteria
ASV415,ASV415,,Proteobacteria
ASV418,ASV418,,Armatimonadetes
ASV419,ASV419,,Bacteroidetes
ASV42,ASV42,,Bacteroidetes
ASV420,ASV420,,Chloroflexi
ASV5333,ASV5333,,Actinobacteria
ASV930,ASV930,,Chloroflexi
ASV422,ASV422,,Bacteroidetes
ASV680,ASV680,,Proteobacteria
ASV803,ASV803,,Proteobacteria
ASV4265,ASV4265,,Actinobacteria
ASV4759,ASV4759,,Actinobacteria
ASV91,ASV91,,Saccharibacteria
ASV470,ASV470,,Proteobacteria
ASV716,ASV716,,Actinobacteria
ASV862,ASV862,,Bacteroidetes
ASV597,ASV597,,Proteobacteria
ASV450,ASV450,,Actinobacteria
ASV72,ASV72,,Proteobacteria
ASV460,ASV460,,Proteobacteria
ASV461,ASV461,,Actinobacteria
ASV464,ASV464,,Actinobacteria
ASV467,ASV467,,Actinobacteria
ASV729,ASV729,,Bacteroidetes
ASV482,ASV482,,Actinobacteria
ASV489,ASV489,,Proteobacteria
ASV491,ASV491,,Proteobacteria
ASV893,ASV893,,Actinobacteria
ASV50,ASV50,,Actinobacteria
ASV913,ASV913,,Actinobacteria
ASV503,ASV503,,Acidobacteria
ASV509,ASV509,,Bacteroidetes
ASV5201,ASV5201,,Proteobacteria
ASV522,ASV522,,Actinobacteria
ASV525,ASV525,,Bacteroidetes
ASV526,ASV526,,Bacteroidetes
ASV532,ASV532,,Actinobacteria
ASV5381,ASV5381,,Actinobacteria
ASV917,ASV917,,Proteobacteria
ASV889,ASV889,,Proteobacteria
ASV545,ASV545,,Actinobacteria
ASV670,ASV670,,Actinobacteria
ASV944,ASV944,,Proteobacteria
ASV5525,ASV5525,,Proteobacteria
ASV818,ASV818,,Proteobacteria
ASV559,ASV559,,Actinobacteria
ASV891,ASV891,,Chloroflexi
ASV573,ASV573,,Actinobacteria
ASV5772,ASV5772,,Proteobacteria
ASV586,ASV586,,Bacteroidetes
ASV587,ASV587,,Proteobacteria
ASV618,ASV618,,Proteobacteria
ASV601,ASV601,,Proteobacteria
ASV604,ASV604,,Proteobacteria
ASV635,ASV635,,Bacteroidetes
ASV643,ASV643,,Actinobacteria
ASV661,ASV661,,Bacteroidetes
ASV779,ASV779,,Bacteroidetes
ASV673,ASV673,,Proteobacteria
ASV682,ASV682,,Chloroflexi
ASV684,ASV684,,Actinobacteria
ASV693,ASV693,,Proteobacteria
ASV726,ASV726,,Proteobacteria
ASV735,ASV735,,Actinobacteria
ASV761,ASV761,,Proteobacteria
ASV745,ASV745,,Proteobacteria
ASV759,ASV759,,Proteobacteria
ASV767,ASV767,,Firmicutes
ASV772,ASV772,,Actinobacteria
ASV821,ASV821,,Actinobacteria
ASV823,ASV823,,Actinobacteria
ASV833,ASV833,,Bacteroidetes
ASV841,ASV841,,Bacteroidetes
ASV871,ASV871,,Proteobacteria
ASV900,ASV900,,Chloroflexi
ASV904,ASV904,,Bacteroidetes
ASV915,ASV915,,Actinobacteria
ASV956,ASV956,,Proteobacteria
ASV982,ASV982,,Proteobacteria
ASV99,ASV99,,Actinobacteria
