SSF,SST,SSP,SSF|SST,SSF|SSP,SST|SSP,SSF|SST|SSP
,,,,ASV5076,,ASV433
,,,,ASV5436,,ASV550
,,,,ASV5444,,ASV548
,,,,ASV5605,,ASV617
,,,,ASV5926,,ASV556
,,,,ASV2577,,ASV489
,,,,ASV2669,,ASV493
,,,,ASV2747,,ASV616
,,,,ASV2754,,ASV527
,,,,ASV2770,,ASV591
,,,,ASV2806,,ASV502
,,,,ASV2911,,ASV2595
,,,,ASV2912,,ASV523
,,,,ASV2993,,ASV779
,,,,ASV3074,,ASV3406
,,,,ASV3113,,ASV3760
,,,,ASV3213,,ASV440
,,,,ASV3259,,ASV536
,,,,ASV3280,,ASV1243
,,,,ASV3303,,ASV509
,,,,ASV3357,,ASV605
,,,,ASV3396,,ASV418
,,,,ASV3493,,ASV443
,,,,ASV3612,,ASV453
,,,,ASV3798,,ASV526
,,,,ASV3828,,ASV677
,,,,ASV3898,,ASV503
,,,,ASV3918,,ASV507
,,,,ASV3985,,ASV542
,,,,ASV4179,,ASV3107
,,,,ASV4787,,ASV5166
,,,,ASV4805,,ASV529
,,,,ASV5145,,ASV561
,,,,ASV5369,,ASV4518
,,,,ASV5426,,ASV504
,,,,ASV5571,,ASV524
,,,,ASV2683,,ASV1647
,,,,ASV2727,,ASV511
,,,,ASV2790,,ASV446
,,,,ASV2832,,ASV449
,,,,ASV2976,,ASV487
,,,,ASV3044,,ASV570
,,,,ASV3098,,ASV1329
,,,,ASV3261,,ASV512
,,,,ASV3437,,ASV3347
,,,,ASV3468,,ASV477
,,,,ASV3470,,ASV541
,,,,ASV3715,,ASV575
,,,,ASV3762,,ASV537
,,,,ASV4061,,ASV553
,,,,ASV4346,,ASV567
,,,,ASV4708,,ASV576
,,,,ASV5389,,ASV540
,,,,ASV2692,,ASV549
,,,,ASV2726,,ASV624
,,,,ASV2849,,ASV491
,,,,ASV2891,,ASV571
,,,,ASV3073,,ASV572
,,,,ASV3166,,ASV634
,,,,ASV3519,,ASV473
,,,,ASV3527,,ASV494
,,,,ASV3691,,ASV583
,,,,ASV3867,,ASV627
,,,,ASV3872,,ASV562
,,,,ASV4044,,ASV630
,,,,ASV4103,,ASV654
,,,,ASV4260,,ASV658
,,,,ASV5021,,ASV596
,,,,ASV5420,,ASV657
,,,,ASV5781,,ASV607
,,,,ASV2589,,ASV609
,,,,ASV2643,,ASV620
,,,,ASV2696,,ASV767
,,,,ASV2947,,ASV2165
,,,,ASV2990,,ASV568
,,,,ASV3055,,ASV679
,,,,ASV3077,,ASV725
,,,,ASV3130,,ASV485
,,,,ASV3138,,ASV522
,,,,ASV3290,,ASV558
,,,,ASV3298,,ASV708
,,,,ASV3371,,ASV448
,,,,ASV3381,,ASV546
,,,,ASV3382,,ASV554
,,,,ASV3445,,ASV574
,,,,ASV3451,,ASV519
,,,,ASV3460,,ASV5333
,,,,ASV3511,,ASV770
,,,,ASV3605,,ASV521
,,,,ASV3628,,ASV559
,,,,ASV3777,,ASV573
,,,,ASV3854,,ASV614
,,,,ASV3901,,ASV626
,,,,ASV3916,,ASV492
,,,,ASV4022,,ASV613
,,,,ASV4101,,ASV686
,,,,ASV4374,,ASV602
,,,,ASV4634,,ASV619
,,,,ASV4644,,ASV569
,,,,ASV4901,,ASV5772
,,,,ASV4963,,ASV646
,,,,ASV4985,,ASV886
,,,,ASV5088,,ASV3089
,,,,ASV5096,,ASV4715
,,,,ASV5382,,ASV551
,,,,ASV5491,,ASV555
,,,,ASV2653,,ASV781
,,,,ASV2663,,ASV639
,,,,ASV2709,,ASV689
,,,,ASV2772,,ASV632
,,,,ASV2842,,ASV644
,,,,ASV2859,,ASV2010
,,,,ASV2877,,ASV623
,,,,ASV2944,,ASV625
,,,,ASV3015,,ASV604
,,,,ASV3030,,ASV641
,,,,ASV3046,,ASV734
,,,,ASV3053,,ASV3754
,,,,ASV3100,,ASV520
,,,,ASV3173,,ASV584
,,,,ASV3275,,ASV610
,,,,ASV3315,,ASV636
,,,,ASV3386,,ASV684
,,,,ASV3490,,ASV773
,,,,ASV3537,,ASV680
,,,,ASV3582,,ASV580
,,,,ASV3589,,ASV750
,,,,ASV3614,,ASV1466
,,,,ASV3719,,ASV1945
,,,,ASV3789,,ASV2762
,,,,ASV3838,,ASV5488
,,,,ASV3862,,ASV645
,,,,ASV3946,,ASV692
,,,,ASV4226,,ASV869
,,,,ASV4264,,ASV611
,,,,ASV4595,,ASV2049
,,,,ASV4631,,ASV585
,,,,ASV4836,,ASV595
,,,,ASV4913,,ASV703
,,,,ASV4921,,ASV772
,,,,ASV4962,,ASV564
,,,,ASV5623,,ASV670
,,,,ASV5667,,ASV5848
,,,,ASV5846,,ASV724
,,,,ASV2893,,ASV884
,,,,ASV2948,,ASV3643
,,,,ASV2991,,ASV633
,,,,ASV3060,,ASV495
,,,,ASV3066,,ASV593
,,,,ASV3264,,ASV648
,,,,ASV3343,,ASV650
,,,,ASV3370,,ASV716
,,,,ASV3412,,ASV615
,,,,ASV3418,,ASV801
,,,,ASV3421,,ASV601
,,,,ASV3456,,ASV783
,,,,ASV3495,,ASV4242
,,,,ASV3518,,ASV533
,,,,ASV3553,,ASV582
,,,,ASV3571,,ASV664
,,,,ASV3782,,ASV913
,,,,ASV3820,,ASV1551
,,,,ASV3853,,ASV579
,,,,ASV3913,,ASV672
,,,,ASV3997,,ASV1842
,,,,ASV4071,,ASV655
,,,,ASV4074,,ASV730
,,,,ASV4148,,ASV647
,,,,ASV4397,,ASV669
,,,,ASV4580,,ASV736
,,,,ASV4724,,ASV799
,,,,ASV4849,,ASV530
,,,,ASV4910,,ASV578
,,,,ASV4982,,ASV710
,,,,ASV5149,,ASV769
,,,,ASV5171,,ASV515
,,,,ASV5342,,ASV797
,,,,ASV5706,,ASV5381
,,,,ASV5804,,ASV629
,,,,ASV2788,,ASV637
,,,,ASV3000,,ASV666
,,,,ASV3219,,ASV683
,,,,ASV3300,,ASV701
,,,,ASV3383,,ASV673
,,,,ASV3429,,ASV1135
,,,,ASV3492,,ASV687
,,,,ASV3555,,ASV5026
,,,,ASV3664,,ASV594
,,,,ASV3923,,ASV603
,,,,ASV3996,,ASV622
,,,,ASV4205,,ASV737
,,,,ASV4279,,ASV1830
,,,,ASV4289,,ASV1069
,,,,ASV4338,,ASV4788
,,,,ASV4460,,ASV661
,,,,ASV4495,,ASV901
,,,,ASV4508,,ASV608
,,,,ASV4641,,ASV717
,,,,ASV5057,,ASV824
,,,,ASV5220,,ASV852
,,,,ASV5285,,ASV1000
,,,,ASV5309,,ASV588
,,,,ASV5314,,ASV598
,,,,ASV5351,,ASV693
,,,,ASV5372,,ASV748
,,,,ASV5538,,ASV932
,,,,ASV5556,,ASV5493
,,,,ASV5612,,ASV694
,,,,ASV5633,,ASV749
,,,,ASV5661,,ASV667
,,,,ASV5922,,ASV682
,,,,ASV5959,,ASV721
,,,,ASV2916,,ASV854
,,,,ASV2999,,ASV1057
,,,,ASV3045,,ASV3322
,,,,ASV3058,,ASV675
,,,,ASV3123,,ASV705
,,,,ASV3149,,ASV863
,,,,ASV3182,,ASV642
,,,,ASV3277,,ASV758
,,,,ASV3286,,ASV5711
,,,,ASV3394,,ASV697
,,,,ASV3450,,ASV739
,,,,ASV3504,,ASV745
,,,,ASV3508,,ASV768
,,,,ASV3533,,ASV844
,,,,ASV3540,,ASV1045
,,,,ASV3572,,ASV1845
,,,,ASV3577,,ASV2572
,,,,ASV3647,,ASV688
,,,,ASV3656,,ASV707
,,,,ASV3696,,ASV731
,,,,ASV3836,,ASV742
,,,,ASV3904,,ASV864
,,,,ASV3937,,ASV1972
,,,,ASV4037,,ASV691
,,,,ASV4057,,ASV942
,,,,ASV4195,,ASV700
,,,,ASV4196,,ASV732
,,,,ASV4412,,ASV759
,,,,ASV4429,,ASV1007
,,,,ASV4507,,ASV702
,,,,ASV4531,,ASV798
,,,,ASV4573,,ASV805
,,,,ASV4621,,ASV2370
,,,,ASV4895,,ASV1093
,,,,ASV4947,,ASV698
,,,,ASV5331,,ASV809
,,,,ASV5443,,ASV879
,,,,ASV5599,,ASV989
,,,,ASV5745,,ASV4133
,,,,ASV5844,,ASV660
,,,,ASV5892,,ASV685
,,,,ASV3284,,ASV695
,,,,ASV3325,,ASV1791
,,,,ASV3366,,ASV5584
,,,,ASV3415,,ASV653
,,,,ASV3436,,ASV709
,,,,ASV3448,,ASV755
,,,,ASV3486,,ASV723
,,,,ASV3530,,ASV776
,,,,ASV3542,,ASV825
,,,,ASV3670,,ASV868
,,,,ASV3694,,ASV880
,,,,ASV3738,,ASV1103
,,,,ASV3742,,ASV649
,,,,ASV3753,,ASV4265
,,,,ASV3757,,ASV651
,,,,ASV3774,,ASV618
,,,,ASV3825,,ASV662
,,,,ASV3835,,ASV704
,,,,ASV3849,,ASV753
,,,,ASV3857,,ASV1127
,,,,ASV3886,,ASV1452
,,,,ASV3929,,ASV713
,,,,ASV3934,,ASV743
,,,,ASV4053,,ASV3881
,,,,ASV4080,,ASV696
,,,,ASV4127,,ASV711
,,,,ASV4200,,ASV674
,,,,ASV4248,,ASV785
,,,,ASV4295,,ASV818
,,,,ASV4325,,ASV821
,,,,ASV4331,,ASV858
,,,,ASV4332,,ASV922
,,,,ASV4615,,ASV746
,,,,ASV4669,,ASV782
,,,,ASV4802,,ASV983
,,,,ASV4897,,ASV720
,,,,ASV4989,,ASV757
,,,,ASV4992,,ASV796
,,,,ASV5030,,ASV841
,,,,ASV5549,,ASV859
,,,,ASV5581,,ASV915
,,,,ASV5590,,ASV715
,,,,ASV5644,,ASV788
,,,,ASV5773,,ASV819
,,,,ASV2889,,ASV1041
,,,,ASV3091,,ASV690
,,,,ASV3121,,ASV752
,,,,ASV3139,,ASV765
,,,,ASV3192,,ASV851
,,,,ASV3193,,ASV940
,,,,ASV3247,,ASV1242
,,,,ASV3262,,ASV927
,,,,ASV3350,,ASV931
,,,,ASV3379,,ASV966
,,,,ASV3506,,ASV2744
,,,,ASV3544,,ASV3238
,,,,ASV3545,,ASV4134
,,,,ASV3668,,ASV790
,,,,ASV3708,,ASV980
,,,,ASV3755,,ASV1333
,,,,ASV3778,,ASV1581
,,,,ASV3816,,ASV892
,,,,ASV3840,,ASV676
,,,,ASV3892,,ASV747
,,,,ASV3922,,ASV843
,,,,ASV4072,,ASV986
,,,,ASV4141,,ASV738
,,,,ASV4322,,ASV756
,,,,ASV4388,,ASV777
,,,,ASV4408,,ASV1039
,,,,ASV4576,,ASV668
,,,,ASV4619,,ASV806
,,,,ASV4853,,ASV1546
,,,,ASV4871,,ASV784
,,,,ASV4890,,ASV877
,,,,ASV4995,,ASV1029
,,,,ASV5207,,ASV2736
,,,,ASV5387,,ASV780
,,,,ASV5416,,ASV764
,,,,ASV5492,,ASV955
,,,,ASV5537,,ASV1082
,,,,ASV5692,,ASV1166
,,,,ASV5855,,ASV1692
,,,,ASV3224,,ASV778
,,,,ASV3378,,ASV817
,,,,ASV3645,,ASV904
,,,,ASV3686,,ASV1187
,,,,ASV3748,,ASV2610
,,,,ASV3767,,ASV663
,,,,ASV3781,,ASV722
,,,,ASV3844,,ASV751
,,,,ASV3911,,ASV807
,,,,ASV3914,,ASV887
,,,,ASV4010,,ASV941
,,,,ASV4067,,ASV1021
,,,,ASV4070,,ASV761
,,,,ASV4119,,ASV837
,,,,ASV4232,,ASV889
,,,,ASV4355,,ASV937
,,,,ASV4365,,ASV5839
,,,,ASV4500,,ASV718
,,,,ASV4689,,ASV802
,,,,ASV4692,,ASV1493
,,,,ASV4727,,ASV3401
,,,,ASV4761,,ASV816
,,,,ASV4917,,ASV834
,,,,ASV4918,,ASV919
,,,,ASV4937,,ASV1016
,,,,ASV5025,,ASV762
,,,,ASV5071,,ASV787
,,,,ASV5137,,ASV814
,,,,ASV5187,,ASV846
,,,,ASV5349,,ASV925
,,,,ASV5352,,ASV813
,,,,ASV5385,,ASV835
,,,,ASV5451,,ASV857
,,,,ASV5662,,ASV865
,,,,ASV5685,,ASV1003
,,,,ASV5903,,ASV1123
,,,,ASV5936,,ASV1297
,,,,ASV2802,,ASV1704
,,,,ASV2919,,ASV3095
,,,,ASV2981,,ASV794
,,,,ASV3097,,ASV831
,,,,ASV3124,,ASV870
,,,,ASV3287,,ASV891
,,,,ASV3390,,ASV920
,,,,ASV3512,,ASV981
,,,,ASV3522,,ASV862
,,,,ASV3566,,ASV956
,,,,ASV3611,,ASV848
,,,,ASV3705,,ASV954
,,,,ASV3751,,ASV1254
,,,,ASV3769,,ASV1475
,,,,ASV3812,,ASV808
,,,,ASV3814,,ASV815
,,,,ASV3952,,ASV3309
,,,,ASV4017,,ASV5511
,,,,ASV4063,,ASV726
,,,,ASV4079,,ASV896
,,,,ASV4252,,ASV1010
,,,,ASV4288,,ASV1122
,,,,ASV4336,,ASV1144
,,,,ASV4356,,ASV5943
,,,,ASV4379,,ASV714
,,,,ASV4502,,ASV740
,,,,ASV4529,,ASV795
,,,,ASV4610,,ASV803
,,,,ASV4636,,ASV866
,,,,ASV4656,,ASV957
,,,,ASV4685,,ASV1051
,,,,ASV4893,,ASV1258
,,,,ASV4987,,ASV3072
,,,,ASV5018,,ASV829
,,,,ASV5083,,ASV871
,,,,ASV5118,,ASV947
,,,,ASV5186,,ASV964
,,,,ASV5308,,ASV1040
,,,,ASV5516,,ASV1150
,,,,ASV5578,,ASV1356
,,,,ASV5621,,ASV1425
,,,,ASV5949,,ASV939
,,,,ASV2961,,ASV1038
,,,,ASV3232,,ASV1374
,,,,ASV3305,,ASV729
,,,,ASV3389,,ASV853
,,,,ASV3397,,ASV881
,,,,ASV3462,,ASV1246
,,,,ASV3514,,ASV1435
,,,,ASV3584,,ASV2774
,,,,ASV3627,,ASV833
,,,,ASV3660,,ASV921
,,,,ASV3678,,ASV929
,,,,ASV3746,,ASV936
,,,,ASV3832,,ASV985
,,,,ASV3865,,ASV1025
,,,,ASV3944,,ASV1066
,,,,ASV3981,,ASV1090
,,,,ASV4012,,ASV1736
,,,,ASV4014,,ASV2411
,,,,ASV4021,,ASV793
,,,,ASV4025,,ASV810
,,,,ASV4160,,ASV898
,,,,ASV4256,,ASV1071
,,,,ASV4304,,ASV1074
,,,,ASV4345,,ASV826
,,,,ASV4390,,ASV827
,,,,ASV4570,,ASV963
,,,,ASV4592,,ASV992
,,,,ASV4614,,ASV800
,,,,ASV4714,,ASV888
,,,,ASV4844,,ASV923
,,,,ASV4998,,ASV979
,,,,ASV5173,,ASV1781
,,,,ASV5194,,ASV943
,,,,ASV5241,,ASV944
,,,,ASV5248,,ASV976
,,,,ASV5336,,ASV1013
,,,,ASV5337,,ASV1100
,,,,ASV5418,,ASV1249
,,,,ASV5479,,ASV2599
,,,,ASV5713,,ASV820
,,,,ASV5762,,ASV1018
,,,,ASV5845,,ASV1318
,,,,ASV5878,,ASV1330
,,,,ASV5891,,ASV5695
,,,,ASV5897,,ASV890
,,,,ASV3339,,ASV934
,,,,ASV3459,,ASV1085
,,,,ASV3507,,ASV1232
,,,,ASV3550,,ASV2451
,,,,ASV3595,,ASV2834
,,,,ASV3659,,ASV789
,,,,ASV3710,,ASV850
,,,,ASV3721,,ASV872
,,,,ASV3956,,ASV1128
,,,,ASV3976,,ASV1143
,,,,ASV4028,,ASV786
,,,,ASV4033,,ASV861
,,,,ASV4094,,ASV1053
,,,,ASV4174,,ASV1104
,,,,ASV4182,,ASV1174
,,,,ASV4261,,ASV1214
,,,,ASV4270,,ASV1228
,,,,ASV4307,,ASV1514
,,,,ASV4707,,ASV1691
,,,,ASV4735,,ASV1255
,,,,ASV4850,,ASV1986
,,,,ASV4920,,ASV3752
,,,,ASV4991,,ASV4004
,,,,ASV5065,,ASV4396
,,,,ASV5089,,ASV914
,,,,ASV5093,,ASV950
,,,,ASV5206,,ASV1034
,,,,ASV5259,,ASV1037
,,,,ASV5335,,ASV1050
,,,,ASV5371,,ASV1121
,,,,ASV5729,,ASV1204
,,,,ASV5806,,ASV962
,,,,ASV5857,,ASV999
,,,,ASV3600,,ASV1011
,,,,ASV3747,,ASV1026
,,,,ASV3945,,ASV1186
,,,,ASV3966,,ASV1985
,,,,ASV3988,,ASV855
,,,,ASV4013,,ASV994
,,,,ASV4054,,ASV1001
,,,,ASV4098,,ASV1048
,,,,ASV4122,,ASV1054
,,,,ASV4146,,ASV5569
,,,,ASV4193,,ASV946
,,,,ASV4244,,ASV1043
,,,,ASV4258,,ASV1098
,,,,ASV4324,,ASV930
,,,,ASV4371,,ASV948
,,,,ASV4431,,ASV982
,,,,ASV4511,,ASV997
,,,,ASV4530,,ASV1133
,,,,ASV4597,,ASV1236
,,,,ASV4606,,ASV1403
,,,,ASV4645,,ASV1502
,,,,ASV4688,,ASV995
,,,,ASV4746,,ASV1070
,,,,ASV5117,,ASV2777
,,,,ASV5133,,ASV911
,,,,ASV5195,,ASV933
,,,,ASV5219,,ASV1055
,,,,ASV5299,,ASV1061
,,,,ASV5338,,ASV1075
,,,,ASV5402,,ASV1091
,,,,ASV5411,,ASV1110
,,,,ASV5424,,ASV1115
,,,,ASV5504,,ASV1116
,,,,ASV5696,,ASV1345
,,,,ASV5704,,ASV1607
,,,,ASV5743,,ASV822
,,,,ASV5816,,ASV935
,,,,ASV5915,,ASV1017
,,,,ASV2996,,ASV1195
,,,,ASV3734,,ASV2721
,,,,ASV3870,,ASV2835
,,,,ASV3897,,ASV867
,,,,ASV3992,,ASV883
,,,,ASV4065,,ASV905
,,,,ASV4091,,ASV961
,,,,ASV4099,,ASV1105
,,,,ASV4115,,ASV1763
,,,,ASV4153,,ASV2532
,,,,ASV4167,,ASV899
,,,,ASV4199,,ASV987
,,,,ASV4293,,ASV1141
,,,,ASV4296,,ASV2361
,,,,ASV4478,,ASV4454
,,,,ASV4544,,ASV971
,,,,ASV4623,,ASV1028
,,,,ASV4638,,ASV1052
,,,,ASV4713,,ASV1078
,,,,ASV4753,,ASV1109
,,,,ASV4808,,ASV3995
,,,,ASV4818,,ASV874
,,,,ASV5039,,ASV900
,,,,ASV5254,,ASV1120
,,,,ASV5266,,ASV1196
,,,,ASV5267,,ASV1411
,,,,ASV5277,,ASV1424
,,,,ASV5318,,ASV2383
,,,,ASV5345,,ASV5931
,,,,ASV5392,,ASV967
,,,,ASV5421,,ASV1006
,,,,ASV5439,,ASV1009
,,,,ASV5463,,ASV1019
,,,,ASV5501,,ASV1027
,,,,ASV5533,,ASV1049
,,,,ASV5628,,ASV1273
,,,,ASV5640,,ASV1095
,,,,ASV5691,,ASV1157
,,,,ASV5809,,ASV1203
,,,,ASV5918,,ASV1879
,,,,ASV5938,,ASV945
,,,,ASV3635,,ASV978
,,,,ASV3699,,ASV1004
,,,,ASV3847,,ASV1035
,,,,ASV3895,,ASV1158
,,,,ASV3905,,ASV1378
,,,,ASV3942,,ASV1468
,,,,ASV4036,,ASV973
,,,,ASV4090,,ASV1005
,,,,ASV4156,,ASV1080
,,,,ASV4214,,ASV1101
,,,,ASV4283,,ASV1137
,,,,ASV4318,,ASV1172
,,,,ASV4334,,ASV1181
,,,,ASV4386,,ASV1382
,,,,ASV4389,,ASV3861
,,,,ASV4421,,ASV951
,,,,ASV4436,,ASV1024
,,,,ASV4447,,ASV1042
,,,,ASV4477,,ASV1167
,,,,ASV4567,,ASV1213
,,,,ASV4772,,ASV1272
,,,,ASV4795,,ASV1296
,,,,ASV4831,,ASV1458
,,,,ASV4862,,ASV1517
,,,,ASV4903,,ASV1540
,,,,ASV5038,,ASV1586
,,,,ASV5050,,ASV1650
,,,,ASV5060,,ASV791
,,,,ASV5141,,ASV849
,,,,ASV5146,,ASV949
,,,,ASV5150,,ASV1032
,,,,ASV5167,,ASV1097
,,,,ASV5324,,ASV1130
,,,,ASV5405,,ASV1215
,,,,ASV5407,,ASV1463
,,,,ASV5477,,ASV924
,,,,ASV5693,,ASV977
,,,,ASV5753,,ASV1155
,,,,ASV5776,,ASV1295
,,,,ASV5813,,ASV1433
,,,,ASV3615,,ASV1703
,,,,ASV3619,,ASV908
,,,,ASV3723,,ASV909
,,,,ASV3764,,ASV991
,,,,ASV3949,,ASV1102
,,,,ASV3965,,ASV1114
,,,,ASV4161,,ASV1309
,,,,ASV4168,,ASV1324
,,,,ASV4172,,ASV1346
,,,,ASV4221,,ASV1353
,,,,ASV4255,,ASV1534
,,,,ASV4271,,ASV2379
,,,,ASV4360,,ASV988
,,,,ASV4367,,ASV1079
,,,,ASV4452,,ASV1234
,,,,ASV4481,,ASV1276
,,,,ASV4575,,ASV1305
,,,,ASV4591,,ASV2511
,,,,ASV4667,,ASV4272
,,,,ASV4925,,ASV916
,,,,ASV4926,,ASV1014
,,,,ASV4940,,ASV1047
,,,,ASV5000,,ASV1065
,,,,ASV5001,,ASV1072
,,,,ASV5034,,ASV1113
,,,,ASV5035,,ASV1118
,,,,ASV5036,,ASV1147
,,,,ASV5037,,ASV1294
,,,,ASV5127,,ASV1541
,,,,ASV5128,,ASV974
,,,,ASV5160,,ASV1023
,,,,ASV5188,,ASV1076
,,,,ASV5235,,ASV1084
,,,,ASV5332,,ASV1212
,,,,ASV5355,,ASV1221
,,,,ASV5398,,ASV1319
,,,,ASV5414,,ASV1778
,,,,ASV5429,,ASV2290
,,,,ASV5476,,ASV984
,,,,ASV5517,,ASV1197
,,,,ASV5526,,ASV1202
,,,,ASV5645,,ASV1280
,,,,ASV5671,,ASV1561
,,,,ASV5678,,ASV5763
,,,,ASV5689,,ASV1058
,,,,ASV5840,,ASV1148
,,,,ASV5917,,ASV1438
,,,,ASV5933,,ASV1536
,,,,ASV5952,,ASV1620
,,,,ASV3947,,ASV5097
,,,,ASV4194,,ASV1044
,,,,ASV4230,,ASV1111
,,,,ASV4267,,ASV1149
,,,,ASV4303,,ASV1199
,,,,ASV4340,,ASV1251
,,,,ASV4361,,ASV1261
,,,,ASV4469,,ASV1264
,,,,ASV4498,,ASV1342
,,,,ASV4535,,ASV2440
,,,,ASV4705,,ASV1139
,,,,ASV4717,,ASV1145
,,,,ASV4728,,ASV1259
,,,,ASV4732,,ASV975
,,,,ASV4782,,ASV1020
,,,,ASV4827,,ASV1159
,,,,ASV4965,,ASV1177
,,,,ASV4997,,ASV1180
,,,,ASV5007,,ASV1188
,,,,ASV5031,,ASV1205
,,,,ASV5046,,ASV1277
,,,,ASV5064,,ASV1340
,,,,ASV5072,,ASV1369
,,,,ASV5086,,ASV1395
,,,,ASV5119,,ASV1033
,,,,ASV5209,,ASV1060
,,,,ASV5212,,ASV1225
,,,,ASV5229,,ASV1286
,,,,ASV5281,,ASV1487
,,,,ASV5415,,ASV2530
,,,,ASV5513,,ASV2597
,,,,ASV5730,,ASV1063
,,,,ASV5746,,ASV1067
,,,,ASV5748,,ASV1094
,,,,ASV5777,,ASV1163
,,,,ASV5805,,ASV1222
,,,,ASV5812,,ASV1292
,,,,ASV5819,,ASV1311
,,,,ASV5843,,ASV1321
,,,,ASV5908,,ASV1361
,,,,ASV4073,,ASV1396
,,,,ASV4162,,ASV1527
,,,,ASV4287,,ASV969
,,,,ASV4337,,ASV1022
,,,,ASV4526,,ASV1056
,,,,ASV4589,,ASV1191
,,,,ASV4608,,ASV1219
,,,,ASV4647,,ASV1223
,,,,ASV4682,,ASV1257
,,,,ASV4702,,ASV1355
,,,,ASV4740,,ASV1532
,,,,ASV4749,,ASV2026
,,,,ASV4773,,ASV2333
,,,,ASV4806,,ASV2585
,,,,ASV4812,,ASV3900
,,,,ASV4840,,ASV1036
,,,,ASV4856,,ASV1198
,,,,ASV4857,,ASV1231
,,,,ASV4866,,ASV1288
,,,,ASV4867,,ASV1331
,,,,ASV4872,,ASV1337
,,,,ASV4945,,ASV1442
,,,,ASV5011,,ASV3702
,,,,ASV5125,,ASV3806
,,,,ASV5152,,ASV4501
,,,,ASV5222,,ASV5291
,,,,ASV5262,,ASV5525
,,,,ASV5274,,ASV5675
,,,,ASV5396,,ASV1059
,,,,ASV5498,,ASV1083
,,,,ASV5530,,ASV1233
,,,,ASV5573,,ASV1298
,,,,ASV5610,,ASV1428
,,,,ASV5666,,ASV1476
,,,,ASV5780,,ASV1520
,,,,ASV5879,,ASV1165
,,,,ASV5885,,ASV1224
,,,,ASV4152,,ASV1252
,,,,ASV4402,,ASV1269
,,,,ASV4403,,ASV1451
,,,,ASV4425,,ASV1576
,,,,ASV4449,,ASV2185
,,,,ASV4519,,ASV5250
,,,,ASV4539,,ASV1134
,,,,ASV4662,,ASV1140
,,,,ASV4738,,ASV1176
,,,,ASV4820,,ASV1240
,,,,ASV4828,,ASV1274
,,,,ASV4874,,ASV1293
,,,,ASV4931,,ASV1363
,,,,ASV4933,,ASV1407
,,,,ASV4971,,ASV1816
,,,,ASV4990,,ASV2270
,,,,ASV5054,,ASV1154
,,,,ASV5158,,ASV1185
,,,,ASV5185,,ASV1216
,,,,ASV5208,,ASV1315
,,,,ASV5214,,ASV1499
,,,,ASV5232,,ASV1609
,,,,ASV5276,,ASV1766
,,,,ASV5300,,ASV2189
,,,,ASV5445,,ASV972
,,,,ASV5457,,ASV1064
,,,,ASV5505,,ASV1096
,,,,ASV5546,,ASV1108
,,,,ASV5586,,ASV1408
,,,,ASV5588,,ASV1426
,,,,ASV5609,,ASV1440
,,,,ASV5668,,ASV1497
,,,,ASV5682,,ASV1513
,,,,ASV5728,,ASV1531
,,,,ASV5795,,ASV1974
,,,,ASV5818,,ASV1129
,,,,ASV5822,,ASV1253
,,,,ASV5886,,ASV1266
,,,,ASV5893,,ASV1303
,,,,ASV3873,,ASV1429
,,,,ASV4251,,ASV1489
,,,,ASV4276,,ASV1557
,,,,ASV4395,,ASV1615
,,,,ASV4766,,ASV3583
,,,,ASV4915,,ASV1125
,,,,ASV4942,,ASV1247
,,,,ASV4943,,ASV1339
,,,,ASV5047,,ASV1375
,,,,ASV5111,,ASV1404
,,,,ASV5131,,ASV1570
,,,,ASV5181,,ASV2282
,,,,ASV5243,,ASV3258
,,,,ASV5313,,ASV3570
,,,,ASV5321,,ASV4952
,,,,ASV5447,,ASV1156
,,,,ASV5473,,ASV1208
,,,,ASV5506,,ASV1509
,,,,ASV5603,,ASV1524
,,,,ASV5631,,ASV1707
,,,,ASV5637,,ASV1858
,,,,ASV5641,,ASV1941
,,,,ASV5674,,ASV3631
,,,,ASV5679,,ASV1008
,,,,ASV5718,,ASV1368
,,,,ASV5723,,ASV1584
,,,,ASV5754,,ASV1889
,,,,ASV5797,,ASV1142
,,,,ASV5877,,ASV1351
,,,,ASV5911,,ASV1352
,,,,ASV5932,,ASV1383
,,,,ASV5939,,ASV1432
,,,,ASV4423,,ASV1469
,,,,ASV4491,,ASV1595
,,,,ASV4699,,ASV2155
,,,,ASV4726,,ASV2940
,,,,ASV4785,,ASV1170
,,,,ASV4865,,ASV1230
,,,,ASV4868,,ASV1239
,,,,ASV4898,,ASV1304
,,,,ASV4936,,ASV1397
,,,,ASV5091,,ASV1483
,,,,ASV5092,,ASV1624
,,,,ASV5294,,ASV1634
,,,,ASV5367,,ASV1740
,,,,ASV5495,,ASV1754
,,,,ASV5496,,ASV4439
,,,,ASV5522,,ASV1151
,,,,ASV5591,,ASV1220
,,,,ASV5639,,ASV1306
,,,,ASV5650,,ASV1423
,,,,ASV5785,,ASV1484
,,,,ASV5898,,ASV1535
,,,,ASV5930,,ASV1877
,,,,ASV4652,,ASV2404
,,,,ASV4776,,ASV1089
,,,,ASV4970,,ASV1299
,,,,ASV5094,,ASV1371
,,,,ASV5269,,ASV1391
,,,,ASV5360,,ASV1473
,,,,ASV5425,,ASV1554
,,,,ASV5508,,ASV1574
,,,,ASV5523,,ASV1765
,,,,ASV5534,,ASV1947
,,,,ASV5535,,ASV1146
,,,,ASV5583,,ASV1248
,,,,ASV5602,,ASV1316
