SSF,SST,SSP,SSF|SST,SSF|SSP,SST|SSP,SSF|SST|SSP
ASV3682,,ASV4668,ASV2001,ASV1742,,ASV99
ASV5100,,ASV5078,ASV3161,ASV2352,,ASV100
ASV5410,,ASV4657,ASV2789,ASV1281,,ASV90
ASV5882,,ASV5275,ASV3180,ASV1327,,ASV95
ASV4108,,ASV5350,ASV2555,ASV1777,,ASV102
ASV4437,,ASV5461,ASV2748,ASV1927,,ASV104
ASV5620,,ASV5647,ASV2123,ASV1279,,ASV93
ASV3209,,ASV3819,ASV2391,ASV1380,,ASV88
ASV3483,,ASV3841,ASV2550,ASV1539,,ASV101
ASV3983,,ASV3936,ASV2933,ASV1717,,ASV107
ASV4547,,ASV4468,ASV4767,ASV1610,,ASV97
ASV3114,,ASV4794,ASV2006,ASV1723,,ASV89
ASV3515,,ASV4813,ASV2596,ASV5880,,ASV105
ASV3592,,ASV4876,ASV2718,ASV3822,,ASV108
ASV3618,,ASV5202,ASV5655,ASV1126,,ASV91
ASV3766,,ASV5322,ASV2075,ASV1341,,ASV103
ASV3882,,ASV5329,ASV2267,ASV1445,,ASV111
ASV4453,,ASV3513,ASV2535,ASV1164,,ASV106
ASV4939,,ASV3775,ASV2704,ASV1390,,ASV110
ASV5183,,ASV3999,ASV2786,ASV1486,,ASV266
ASV5261,,ASV4169,ASV2482,ASV1508,,ASV131
ASV5676,,ASV4370,ASV2542,ASV1983,,ASV117
ASV5881,,ASV4385,ASV2137,ASV2449,,ASV94
ASV5889,,ASV4557,ASV2256,ASV1587,,ASV113
ASV3413,,ASV4582,ASV2651,ASV3384,,ASV112
ASV3933,,ASV4900,ASV2878,ASV1241,,ASV115
ASV3957,,ASV5136,ASV2998,ASV1291,,ASV239
ASV4308,,ASV5251,ASV4118,ASV1367,,ASV114
ASV4383,,ASV3939,ASV2316,ASV1372,,ASV179
ASV4950,,ASV4170,ASV2378,ASV1413,,ASV170
ASV5221,,ASV4243,ASV3140,ASV1746,,ASV109
ASV5265,,ASV4377,ASV3375,ASV1857,,ASV121
ASV3528,,ASV4391,ASV2082,ASV1336,,ASV123
ASV4016,,ASV4841,ASV2313,ASV1461,,ASV125
ASV4249,,ASV5403,ASV3250,ASV1562,,ASV122
ASV5258,,ASV5607,ASV3307,ASV1571,,ASV116
ASV5264,,ASV5727,ASV2311,ASV1696,,ASV119
ASV5282,,ASV5828,ASV2484,ASV1994,,ASV138
ASV5364,,ASV3610,ASV2816,ASV1405,,ASV2223
ASV5428,,ASV3839,ASV3253,ASV1416,,ASV894
ASV5790,,ASV4485,ASV4399,ASV1443,,ASV445
ASV4171,,ASV4497,ASV5768,ASV1559,,ASV128
ASV4341,,ASV4499,ASV2638,ASV1674,,ASV120
ASV4642,,ASV4594,ASV3052,ASV1343,,ASV140
ASV4762,,ASV5292,ASV3340,ASV1552,,ASV181
ASV4911,,ASV5925,ASV3364,ASV1603,,ASV150
ASV5033,,ASV4138,ASV2171,ASV1618,,ASV124
ASV5148,,ASV4262,ASV3317,ASV1993,,ASV127
ASV5196,,ASV4440,ASV3395,ASV2038,,ASV118
ASV5363,,ASV4793,ASV3926,ASV1642,,ASV145
ASV5579,,ASV4886,ASV2808,ASV1798,,ASV130
ASV5669,,ASV4889,ASV2838,ASV1478,,ASV137
ASV5725,,ASV4994,ASV3096,ASV1550,,ASV146
ASV4280,,ASV5354,ASV3174,ASV2048,,ASV148
ASV4312,,ASV5475,ASV3676,ASV2130,,ASV126
ASV4321,,ASV4483,ASV3795,ASV2217,,ASV220
ASV4627,,ASV4494,ASV4197,ASV1572,,ASV314
ASV4800,,ASV4564,ASV4643,ASV1679,,ASV135
ASV4882,,ASV5327,ASV2323,ASV1783,,ASV129
ASV5113,,ASV5576,ASV2519,ASV1828,,ASV5782
ASV5240,,ASV5585,ASV2749,ASV1876,,ASV152
ASV5256,,ASV5604,ASV2930,ASV2423,,ASV172
ASV5341,,ASV5613,ASV3329,ASV4333,,ASV139
ASV5400,,ASV3984,ASV4096,ASV1686,,ASV155
ASV5636,,ASV4771,ASV4736,ASV1871,,ASV450
ASV5859,,ASV4855,ASV2229,ASV2573,,ASV134
ASV5860,,ASV4953,ASV3186,ASV4758,,ASV154
ASV5948,,ASV5044,ASV4671,ASV1528,,ASV136
ASV5955,,ASV5480,ASV2506,ASV1963,,ASV336
ASV3603,,ASV5864,ASV4026,ASV1970,,ASV143
ASV4216,,ASV4240,ASV4092,ASV2179,,ASV173
ASV4506,,ASV4811,ASV4792,ASV4999,,ASV167
ASV4609,,ASV4863,ASV3147,ASV1414,,ASV132
ASV4870,,ASV5020,ASV3235,ASV1582,,ASV200
ASV4949,,ASV5115,ASV3332,ASV1773,,ASV177
ASV5017,,ASV5289,ASV3419,ASV1800,,ASV142
ASV5157,,ASV5456,ASV2679,ASV2312,,ASV180
ASV5211,,ASV5608,ASV3598,ASV1722,,ASV1946
ASV5472,,ASV5656,ASV3685,ASV1919,,ASV141
ASV5741,,ASV4556,ASV3709,ASV1577,,ASV156
ASV5900,,ASV4562,ASV3887,ASV1770,,ASV211
ASV4219,,ASV4833,ASV5712,ASV1870,,ASV158
ASV4284,,ASV5008,ASV3335,ASV1928,,ASV149
ASV4588,,ASV5048,ASV3675,ASV2442,,ASV3207
ASV4869,,ASV5217,ASV5143,ASV1612,,ASV160
ASV5024,,ASV5296,ASV5260,ASV2951,,ASV147
ASV5098,,ASV5699,ASV2652,ASV1652,,ASV144
ASV5101,,ASV5913,ASV3111,ASV1701,,ASV193
ASV5233,,ASV5518,ASV3188,ASV1809,,ASV161
ASV5271,,ASV5592,ASV3331,ASV1884,,ASV290
ASV5307,,ASV5627,ASV3411,ASV2007,,ASV133
ASV5348,,ASV5680,ASV3472,ASV2255,,ASV192
ASV5555,,ASV5720,ASV3784,ASV2626,,ASV201
ASV5652,,ASV5739,ASV3851,ASV1820,,ASV163
ASV5888,,ASV5759,ASV3932,ASV2107,,ASV157
ASV4187,,ASV5552,ASV4451,ASV2646,,ASV165
ASV4432,,ASV5577,ASV2854,ASV3626,,ASV280
ASV4505,,ASV5657,ASV3131,ASV1622,,ASV195
ASV4780,,ASV5871,ASV3971,ASV1662,,ASV2187
ASV4826,,ASV5832,ASV5572,ASV1973,,ASV153
ASV4888,,,ASV3127,ASV2867,,ASV279
ASV5051,,,ASV3404,ASV5066,,ASV162
ASV5179,,,ASV3535,ASV1482,,ASV164
ASV5481,,,ASV3993,ASV1565,,ASV174
ASV5553,,,ASV4136,ASV2765,,ASV183
ASV5600,,,ASV4433,ASV1660,,ASV4105
ASV5910,,,ASV4810,ASV2443,,ASV168
ASV5916,,,ASV4816,ASV1566,,ASV178
ASV4123,,,ASV2708,ASV1683,,ASV5245
ASV4438,,,ASV3148,ASV1975,,ASV176
ASV4572,,,ASV3338,ASV2079,,ASV216
ASV4712,,,ASV3387,ASV2080,,ASV208
ASV4725,,,ASV3501,ASV2283,,ASV171
ASV4747,,,ASV3658,ASV1690,,ASV223
ASV5058,,,ASV4347,ASV2277,,ASV206
ASV5061,,,ASV5255,ASV2801,,ASV199
ASV5192,,,ASV5286,ASV3352,,ASV3824
ASV5320,,,ASV2862,ASV4639,,ASV205
ASV5325,,,ASV3156,ASV1653,,ASV250
ASV5356,,,ASV4730,ASV1673,,ASV727
ASV5412,,,ASV5370,ASV2276,,ASV185
ASV5499,,,ASV5383,ASV2300,,ASV235
ASV5515,,,ASV3120,ASV2446,,ASV194
ASV5838,,,ASV3195,ASV2450,,ASV169
ASV5902,,,ASV3452,ASV2452,,ASV189
ASV5919,,,ASV3474,ASV2647,,ASV182
ASV4553,,,ASV3599,ASV3246,,ASV159
ASV4648,,,ASV3673,ASV1694,,ASV188
ASV4683,,,ASV4527,ASV1752,,ASV191
ASV4902,,,ASV4617,ASV1926,,ASV258
ASV5190,,,ASV4797,ASV1935,,ASV175
ASV5237,,,ASV4880,ASV2135,,ASV322
ASV5376,,,ASV5306,ASV2154,,ASV215
ASV5714,,,ASV3016,ASV2225,,ASV204
ASV5716,,,ASV3345,ASV2508,,ASV2583
ASV5815,,,ASV3380,ASV1815,,ASV249
ASV5852,,,ASV3562,ASV2005,,ASV224
ASV5946,,,ASV3687,ASV2058,,ASV2008
ASV5225,,,ASV3811,ASV2711,,ASV213
ASV5270,,,ASV3843,ASV4106,,ASV289
ASV5380,,,ASV4145,ASV4130,,ASV186
ASV5686,,,ASV4183,ASV1739,,ASV310
ASV5722,,,ASV4323,ASV1849,,ASV197
ASV5876,,,ASV5575,ASV2015,,ASV226
ASV5924,,,ASV3591,ASV2027,,ASV202
ASV5940,,,ASV4536,ASV2367,,ASV225
ASV4765,,,ASV4568,ASV3438,,ASV248
ASV4864,,,ASV4629,ASV4131,,ASV356
ASV5102,,,ASV5895,ASV1711,,ASV207
ASV5272,,,ASV3417,ASV1823,,ASV309
ASV5557,,,ASV3463,ASV2084,,ASV253
ASV5452,,,ASV3602,ASV3597,,ASV184
ASV5558,,,ASV3637,ASV4024,,ASV478
ASV5737,,,ASV3815,ASV4363,,ASV203
ASV5884,,,ASV3823,ASV5427,,ASV563
ASV5901,,,ASV4147,ASV2047,,ASV240
,,,ASV4190,ASV2065,,ASV330
,,,ASV4458,ASV2111,,ASV247
,,,ASV4482,ASV2321,,ASV219
,,,ASV4752,ASV2369,,ASV236
,,,ASV4756,ASV2561,,ASV190
,,,ASV5005,ASV1916,,ASV210
,,,ASV5163,ASV1923,,ASV3327
,,,ASV5611,ASV2164,,ASV230
,,,ASV5694,ASV2751,,ASV256
,,,ASV5849,ASV4373,,ASV187
,,,ASV4121,ASV1855,,ASV232
,,,ASV4626,ASV2438,,ASV217
,,,ASV5379,ASV2498,,ASV238
,,,ASV5561,ASV2513,,ASV1730
,,,ASV5615,ASV2527,,ASV196
,,,ASV5875,ASV2983,,ASV237
,,,ASV3740,ASV4007,,ASV221
,,,ASV4027,ASV1883,,ASV214
,,,ASV4142,ASV1920,,ASV242
,,,ASV4369,ASV2078,,ASV241
,,,ASV4461,ASV2196,,ASV305
,,,ASV4666,ASV2198,,ASV228
,,,ASV5110,ASV2206,,ASV741
,,,ASV5284,ASV2211,,ASV2618
,,,ASV5417,ASV2303,,ASV261
,,,ASV5466,ASV2328,,ASV231
,,,ASV5914,ASV2985,,ASV288
,,,ASV3899,ASV4100,,ASV209
,,,ASV4029,ASV5432,,ASV3485
,,,ASV4311,ASV2014,,ASV245
,,,ASV4349,ASV2071,,ASV265
,,,ASV4376,ASV2302,,ASV218
,,,ASV4860,ASV2105,,ASV728
,,,ASV4909,ASV2262,,ASV227
,,,ASV4935,ASV2445,,ASV243
,,,ASV5177,ASV2574,,ASV259
,,,ASV5960,ASV2921,,ASV719
,,,ASV3532,ASV3090,,ASV347
,,,ASV4032,ASV1829,,ASV212
,,,ASV4538,ASV1890,,ASV229
,,,ASV4677,ASV2083,,ASV267
,,,ASV4697,ASV2129,,ASV766
,,,ASV4775,ASV2690,,ASV312
,,,ASV4954,ASV2769,,ASV252
,,,ASV4988,ASV3110,,ASV838
,,,ASV5067,ASV1944,,ASV296
,,,ASV5175,ASV2120,,ASV233
,,,ASV5283,ASV2168,,ASV952
,,,ASV5323,ASV2194,,ASV3732
,,,ASV5433,ASV2249,,ASV234
,,,ASV5489,ASV2611,,ASV264
,,,ASV5688,ASV2713,,ASV270
,,,ASV3703,ASV2866,,ASV286
,,,ASV4019,ASV2918,,ASV244
,,,ASV4188,ASV3248,,ASV257
,,,ASV4330,ASV3977,,ASV268
,,,ASV4342,ASV4745,,ASV307
,,,ASV4522,ASV1860,,ASV255
,,,ASV4678,ASV2068,,ASV262
,,,ASV4798,ASV2186,,ASV291
,,,ASV4845,ASV2279,,ASV298
,,,ASV4875,ASV2342,,ASV316
,,,ASV4959,ASV2398,,ASV251
,,,ASV5080,ASV3144,,ASV303
,,,ASV5312,ASV4754,,ASV643
,,,ASV5395,ASV2099,,ASV271
,,,ASV5563,ASV2203,,ASV4759
,,,ASV5697,ASV2237,,ASV275
,,,ASV5717,ASV2289,,ASV300
,,,ASV5751,ASV2358,,ASV294
,,,ASV5850,ASV2405,,ASV254
,,,ASV3585,ASV2505,,ASV282
,,,ASV3951,ASV2633,,ASV246
,,,ASV4266,ASV3002,,ASV274
,,,ASV4484,ASV3109,,ASV283
,,,ASV4510,ASV3116,,ASV293
,,,ASV4665,ASV4274,,ASV5201
,,,ASV4786,ASV4698,,ASV287
,,,ASV5390,ASV2151,,ASV269
,,,ASV5434,ASV2317,,ASV366
,,,ASV5582,ASV2353,,ASV281
,,,ASV5798,ASV2419,,ASV273
,,,ASV5867,ASV2615,,ASV3779
,,,ASV4542,ASV2734,,ASV297
,,,ASV4624,ASV2755,,ASV3938
,,,ASV5014,ASV2792,,ASV302
,,,ASV5268,ASV2812,,ASV335
,,,ASV5683,ASV3285,,ASV276
,,,ASV3935,ASV3503,,ASV2623
,,,ASV3943,ASV4129,,ASV295
,,,ASV4630,ASV4731,,ASV5010
,,,ASV4664,ASV4977,,ASV263
,,,ASV4721,ASV1991,,ASV5744
,,,ASV4887,ASV2209,,ASV278
,,,ASV4905,ASV2402,,ASV5687
,,,ASV5236,ASV2403,,ASV465
,,,ASV5807,ASV2603,,ASV285
,,,ASV5851,ASV2670,,ASV2809
,,,ASV4005,ASV2830,,ASV539
,,,ASV4524,ASV2876,,ASV2974
,,,ASV5449,ASV3516,,ASV277
,,,ASV5742,ASV4093,,ASV306
,,,ASV5904,ASV1775,,ASV355
,,,ASV4486,ASV1968,,ASV436
,,,ASV4566,ASV2040,,ASV353
,,,ASV4577,ASV2241,,ASV315
,,,ASV4847,ASV2431,,ASV352
,,,ASV5045,ASV2634,,ASV260
,,,ASV5154,ASV2881,,ASV382
,,,ASV5257,ASV2969,,ASV425
,,,ASV5297,ASV3014,,ASV342
,,,ASV5365,ASV3254,,ASV328
,,,ASV5478,ASV3273,,ASV392
,,,ASV5494,ASV3428,,ASV334
,,,ASV5587,ASV3744,,ASV516
,,,ASV5783,ASV5197,,ASV337
,,,ASV5810,ASV2149,,ASV284
,,,ASV5906,ASV2293,,ASV318
,,,ASV4520,ASV2429,,ASV368
,,,ASV4684,ASV2462,,ASV323
,,,ASV4711,ASV2525,,ASV435
,,,ASV5249,ASV2797,,ASV338
,,,ASV5413,ASV3155,,ASV272
,,,ASV5536,ASV3588,,ASV311
,,,ASV5673,ASV3622,,ASV363
,,,ASV5726,ASV1951,,ASV1712
,,,ASV5829,ASV2011,,ASV361
,,,ASV5847,ASV2053,,ASV953
,,,ASV5921,ASV2183,,ASV344
,,,ASV4718,ASV2236,,ASV331
,,,ASV5084,ASV2565,,ASV317
,,,ASV5401,ASV2662,,ASV384
,,,ASV5486,ASV2784,,ASV373
,,,ASV5521,ASV2864,,ASV326
,,,ASV5543,ASV2892,,ASV397
,,,ASV5551,ASV3025,,ASV308
,,,ASV5736,ASV3086,,ASV329
,,,ASV5874,ASV3204,,ASV376
,,,ASV4563,ASV3497,,ASV313
,,,ASV4706,ASV4858,,ASV324
,,,ASV5112,ASV5830,,ASV447
,,,ASV5315,ASV5950,,ASV359
,,,ASV5835,ASV2259,,ASV321
,,,ASV4809,ASV2327,,ASV372
