bray_curtis_binary	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	C3.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1
A.3	0.252	0.223	0.263	0.282	0.298	0.288	0.307	0.345	0.385	0.252	0.446	0.460	0.523	0.489	0.487	0.479	0.486	0.476	0.472	0	0.464	0.457	0.459	0.241	0.267	0.240	0.271	0.306	0.296	0.495	0.476	0.427	0.499	0.428	0.401	0.548	0.515	0.378	0.465
A.30	0.460	0.461	0.464	0.459	0.452	0.452	0.452	0.435	0.426	0.465	0.414	0.414	0.368	0.329	0.328	0.302	0.309	0.312	0.291	0.464	0	0.297	0.321	0.474	0.464	0.465	0.471	0.451	0.460	0.322	0.314	0.576	0.663	0.598	0.573	0.709	0.611	0.529	0.495
A.32	0.453	0.456	0.456	0.464	0.469	0.467	0.450	0.447	0.436	0.466	0.435	0.429	0.397	0.358	0.347	0.312	0.311	0.313	0.285	0.457	0.297	0	0.328	0.467	0.460	0.461	0.479	0.465	0.470	0.334	0.309	0.573	0.661	0.587	0.574	0.715	0.605	0.517	0.509
A.34	0.463	0.462	0.449	0.451	0.456	0.448	0.446	0.430	0.429	0.460	0.429	0.420	0.392	0.369	0.364	0.347	0.343	0.344	0.331	0.459	0.321	0.328	0	0.455	0.455	0.457	0.466	0.448	0.456	0.352	0.337	0.575	0.668	0.599	0.579	0.711	0.621	0.534	0.511
A.4	0.273	0.243	0.266	0.292	0.307	0.295	0.310	0.333	0.385	0.266	0.436	0.452	0.523	0.495	0.491	0.486	0.486	0.477	0.482	0.241	0.474	0.467	0.455	0	0.268	0.257	0.277	0.310	0.302	0.491	0.486	0.436	0.502	0.435	0.414	0.540	0.521	0.394	0.455
A.5	0.294	0.263	0.282	0.300	0.313	0.289	0.318	0.336	0.368	0.284	0.423	0.445	0.506	0.482	0.478	0.467	0.478	0.472	0.478	0.267	0.464	0.460	0.455	0.268	0	0.272	0.292	0.308	0.301	0.488	0.470	0.454	0.528	0.458	0.440	0.575	0.541	0.413	0.456
A.6	0.268	0.249	0.266	0.280	0.310	0.287	0.309	0.337	0.381	0.266	0.437	0.446	0.514	0.490	0.480	0.480	0.484	0.477	0.483	0.240	0.465	0.461	0.457	0.257	0.272	0	0.270	0.305	0.298	0.492	0.483	0.430	0.506	0.437	0.422	0.562	0.520	0.395	0.457
A.7	0.300	0.269	0.273	0.298	0.302	0.305	0.320	0.348	0.379	0.275	0.426	0.444	0.514	0.486	0.480	0.474	0.486	0.489	0.487	0.271	0.471	0.479	0.466	0.277	0.292	0.270	0	0.305	0.304	0.497	0.489	0.458	0.524	0.456	0.434	0.568	0.531	0.425	0.472
A.8	0.343	0.304	0.304	0.308	0.328	0.314	0.323	0.337	0.355	0.307	0.407	0.416	0.479	0.455	0.463	0.463	0.470	0.464	0.468	0.306	0.451	0.465	0.448	0.310	0.308	0.305	0.305	0	0.320	0.474	0.469	0.486	0.563	0.494	0.476	0.606	0.566	0.447	0.473
A.9	0.345	0.292	0.289	0.313	0.310	0.306	0.318	0.333	0.375	0.298	0.408	0.422	0.494	0.466	0.467	0.464	0.470	0.465	0.470	0.296	0.460	0.470	0.456	0.302	0.301	0.298	0.304	0.320	0	0.481	0.481	0.468	0.555	0.483	0.467	0.597	0.545	0.448	0.466
BS.2	0.503	0.491	0.488	0.482	0.478	0.478	0.466	0.463	0.430	0.494	0.416	0.419	0.381	0.360	0.358	0.323	0.344	0.331	0.327	0.495	0.322	0.334	0.352	0.491	0.488	0.492	0.497	0.474	0.481	0	0.326	0.607	0.684	0.634	0.608	0.718	0.623	0.563	0.514
C3.2	0.465	0.475	0.476	0.466	0.474	0.480	0.459	0.452	0.438	0.481	0.442	0.432	0.396	0.358	0.350	0.324	0.329	0.330	0.312	0.476	0.314	0.309	0.337	0.486	0.470	0.483	0.489	0.469	0.481	0.326	0	0.574	0.654	0.596	0.574	0.706	0.591	0.520	0.508
G.1	0.409	0.412	0.457	0.464	0.486	0.474	0.495	0.511	0.559	0.436	0.602	0.618	0.647	0.605	0.600	0.600	0.591	0.594	0.596	0.427	0.576	0.573	0.575	0.436	0.454	0.430	0.458	0.486	0.468	0.607	0.574	0	0.327	0.281	0.277	0.455	0.337	0.297	0.426
G.2	0.470	0.489	0.540	0.545	0.566	0.554	0.575	0.596	0.643	0.507	0.697	0.705	0.716	0.695	0.677	0.685	0.681	0.675	0.678	0.499	0.663	0.661	0.668	0.502	0.528	0.506	0.524	0.563	0.555	0.684	0.654	0.327	0	0.316	0.302	0.327	0.359	0.390	0.541
G.3	0.397	0.410	0.455	0.471	0.490	0.478	0.500	0.519	0.559	0.444	0.625	0.642	0.657	0.627	0.623	0.628	0.619	0.619	0.620	0.428	0.598	0.587	0.599	0.435	0.458	0.437	0.456	0.494	0.483	0.634	0.596	0.281	0.316	0	0.247	0.404	0.386	0.330	0.471
G.4	0.389	0.399	0.448	0.449	0.469	0.458	0.482	0.498	0.552	0.416	0.611	0.621	0.640	0.604	0.602	0.607	0.598	0.595	0.594	0.401	0.573	0.574	0.579	0.414	0.440	0.422	0.434	0.476	0.467	0.608	0.574	0.277	0.302	0.247	0	0.380	0.372	0.331	0.459
G.5	0.528	0.543	0.580	0.589	0.599	0.597	0.616	0.624	0.684	0.551	0.715	0.731	0.748	0.728	0.727	0.731	0.719	0.722	0.722	0.548	0.709	0.715	0.711	0.540	0.575	0.562	0.568	0.606	0.597	0.718	0.706	0.455	0.327	0.404	0.380	0	0.486	0.501	0.619
GR.01	0.496	0.511	0.539	0.539	0.548	0.542	0.564	0.577	0.620	0.526	0.644	0.659	0.655	0.636	0.625	0.614	0.621	0.620	0.611	0.515	0.611	0.605	0.621	0.521	0.541	0.520	0.531	0.566	0.545	0.623	0.591	0.337	0.359	0.386	0.372	0.486	0	0.367	0.484
LW.1	0.342	0.378	0.425	0.433	0.452	0.449	0.470	0.483	0.522	0.400	0.593	0.596	0.609	0.571	0.557	0.551	0.552	0.542	0.537	0.378	0.529	0.517	0.534	0.394	0.413	0.395	0.425	0.447	0.448	0.563	0.520	0.297	0.390	0.330	0.331	0.501	0.367	0	0.407
T.1	0.458	0.461	0.477	0.458	0.464	0.463	0.474	0.468	0.478	0.453	0.505	0.511	0.532	0.512	0.508	0.509	0.521	0.517	0.520	0.465	0.495	0.509	0.511	0.455	0.456	0.457	0.472	0.473	0.466	0.514	0.508	0.426	0.541	0.471	0.459	0.619	0.484	0.407	0
