bray_curtis_binary	A.0	A.1	A.3	A.6	A.4	A.2	A.11	A.5	A.7	A.12	A.14	A.9	A.13	A.15	A.8	A.16	G.1	G.3	G.4	LW.1	G.2	G.5	GR.01	A.17	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.29	A.32	A.30	A.28	C3.2	A.34	BS.2	T.1
LW.1	0.342	0.378	0.378	0.395	0.394	0.400	0.425	0.413	0.425	0.433	0.449	0.448	0.452	0.470	0.447	0.483	0.297	0.330	0.331	0	0.390	0.501	0.367	0.522	0.593	0.596	0.609	0.571	0.557	0.551	0.552	0.537	0.517	0.529	0.542	0.520	0.534	0.563	0.407
G.2	0.470	0.489	0.499	0.506	0.502	0.507	0.540	0.528	0.524	0.545	0.554	0.555	0.566	0.575	0.563	0.596	0.327	0.316	0.302	0.390	0	0.327	0.359	0.643	0.697	0.705	0.716	0.695	0.677	0.685	0.681	0.678	0.661	0.663	0.675	0.654	0.668	0.684	0.541
G.5	0.528	0.543	0.548	0.562	0.540	0.551	0.580	0.575	0.568	0.589	0.597	0.597	0.599	0.616	0.606	0.624	0.455	0.404	0.380	0.501	0.327	0	0.486	0.684	0.715	0.731	0.748	0.728	0.727	0.731	0.719	0.722	0.715	0.709	0.722	0.706	0.711	0.718	0.619
GR.01	0.496	0.511	0.515	0.520	0.521	0.526	0.539	0.541	0.531	0.539	0.542	0.545	0.548	0.564	0.566	0.577	0.337	0.386	0.372	0.367	0.359	0.486	0	0.620	0.644	0.659	0.655	0.636	0.625	0.614	0.621	0.611	0.605	0.611	0.620	0.591	0.621	0.623	0.484
A.17	0.417	0.390	0.385	0.381	0.385	0.385	0.366	0.368	0.379	0.373	0.361	0.375	0.360	0.361	0.355	0.348	0.559	0.559	0.552	0.522	0.643	0.684	0.620	0	0.355	0.370	0.427	0.411	0.419	0.417	0.428	0.435	0.436	0.426	0.423	0.438	0.429	0.430	0.478
A.20	0.483	0.444	0.446	0.437	0.436	0.435	0.415	0.423	0.426	0.406	0.401	0.408	0.397	0.385	0.407	0.368	0.602	0.625	0.611	0.593	0.697	0.715	0.644	0.355	0	0.337	0.397	0.385	0.402	0.393	0.418	0.425	0.435	0.414	0.415	0.442	0.429	0.416	0.505
A.21	0.487	0.460	0.460	0.446	0.452	0.451	0.433	0.445	0.444	0.426	0.421	0.422	0.414	0.417	0.416	0.389	0.618	0.642	0.621	0.596	0.705	0.731	0.659	0.370	0.337	0	0.395	0.394	0.391	0.409	0.413	0.418	0.429	0.414	0.414	0.432	0.420	0.419	0.511
A.23	0.538	0.524	0.523	0.514	0.523	0.524	0.510	0.506	0.514	0.490	0.485	0.494	0.485	0.474	0.479	0.458	0.647	0.657	0.640	0.609	0.716	0.748	0.655	0.427	0.397	0.395	0	0.341	0.355	0.354	0.363	0.365	0.397	0.368	0.363	0.396	0.392	0.381	0.532
A.24	0.499	0.486	0.489	0.490	0.495	0.490	0.480	0.482	0.486	0.466	0.467	0.466	0.469	0.451	0.455	0.427	0.605	0.627	0.604	0.571	0.695	0.728	0.636	0.411	0.385	0.394	0.341	0	0.316	0.328	0.335	0.338	0.358	0.329	0.342	0.358	0.369	0.360	0.512
A.25	0.497	0.485	0.487	0.480	0.491	0.483	0.474	0.478	0.480	0.463	0.465	0.467	0.465	0.454	0.463	0.430	0.600	0.623	0.602	0.557	0.677	0.727	0.625	0.419	0.402	0.391	0.355	0.316	0	0.315	0.320	0.335	0.347	0.328	0.328	0.350	0.364	0.358	0.508
