Family	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Micrococcaceae	5.88	10.8	13.3	13.3	12.4	12.4	10.6	9.68	11.6	9.4	14.8	13.4	4.3	5.61	4.82	3.58	2.38	3.38	2.49	10.5	3.41	3.22	6.47	12	10.9	11.7	12.3	12.3	12.6	7.54	5.44	14.8	8.39	15.7	15.9	9.89	21.1	5.9	15.4	1.2
Gemmatimonadaceae	0.465	0.476	0.309	0.229	0.21	0.244	0.213	0.187	0.11	0.45	0.0457	0.122	0.08	0.0838	0.08	0.0838	0.11	0.133	0.0914	0.415	0.183	0.213	0.11	0.446	0.267	0.32	0.316	0.217	0.19	0.0533	0.103	0.229	0.922	0.446	0.434	0.476	0.0762	0.37	0.0762	1.2
Rhodobacteraceae	0.735	1.94	2.21	2.23	2.14	2.26	2.22	2.13	2.85	1.61	4.14	3	1.55	2.29	1.7	1.48	1.07	1.18	1.38	1.96	1.96	1.65	2.64	1.85	1.65	1.73	1.57	1.94	1.78	1.47	0.991	1.4	0.133	2.6	1.89	0.145	0.331	0.373	2.82	1.2
Microbacteriaceae	1.02	3.1	2.82	2.74	2.8	3	2.13	2.22	2.2	2.21	2.55	2.21	1.47	2.05	1.79	1.81	1.17	1.38	1.33	2.68	1.97	1.51	2.52	2.56	2.34	2.69	2.81	2.35	2.46	1.98	1.5	1.25	1.03	2.24	1.95	0.526	2.88	1.13	1.81	1.1
Nitrosomonadaceae	0.476	0.522	0.29	0.21	0.168	0.179	0.126	0.0991	0.0648	0.347	0.0229	0.019	0.0152	0.0229	0.0267	0.0114	0.0229	0.0267	0.0381	0.431	0.0305	0.0571	0.259	0.335	0.312	0.297	0.324	0.179	0.206	0.0495	0.0495	1.13	1.69	0.663	0.606	1.25	0.198	2.36	0.133	0.9
Verrucomicrobiaceae	1.67	0.575	0.282	0.179	0.198	0.24	0.267	0.24	0.232	0.29	0.107	0.16	1.47	2.7	3.41	4.66	4.3	3.79	3.35	0.533	2.32	1.42	0.865	0.484	0.392	0.438	0.202	0.194	0.179	2.65	2.17	0.236	0.431	0.217	0.168	0.491	0.964	0.545	0.0991	0.9
Solimonadaceae	0.64	0.431	0.297	0.202	0.19	0.236	0.126	0.0876	0.019	0.19	0.0152	0	0	0	0	0.0152	0.00762	0.0114	0.00762	0.4	0.0114	0.0343	0.00762	0.347	0.282	0.343	0.339	0.13	0.171	0.00381	0	0.461	0.96	0.941	0.998	2.4	0.19	0.339	0.0419	0.9
Paenibacillaceae	0.335	0.339	0.286	0.236	0.19	0.21	0.251	0.339	0.179	0.229	0.202	0.419	0.762	1.34	0.419	0.278	0.324	0.377	0.4	0.213	0.141	0.408	0.354	0.217	0.579	0.286	0.271	0.232	0.274	0.0762	0.0762	0.0952	0.103	0.133	0.141	0.339	0.0533	0.171	0.141	0.9
Caldilineaceae	0.427	0.126	0.0838	0.107	0.0686	0.0724	0.0571	0.0724	0.0686	0.156	0.0343	0.019	0.0229	0.0457	0.0533	0.0648	0.0305	0.0762	0.08	0.103	0.0457	0.141	0.168	0.141	0.107	0.145	0.107	0.0495	0.0571	0.0533	0.13	1.12	1.16	0.606	0.511	0.389	0.419	1.02	0.271	0.8
Bdellovibrionaceae	0.24	0.08	0.0419	0.019	0.0419	0.0305	0.0267	0.019	0.0343	0.0648	0.0152	0.0267	0.0533	0.145	0.206	0.472	1.15	0.796	0.785	0.0724	0.655	0.789	0.37	0.0686	0.0762	0.0648	0.0229	0.0267	0.0495	0.274	0.312	0.103	0.133	0.118	0.0952	0.236	0.0991	0.202	0.0419	0.7
