Family	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
JG34-KF-361	0.0419	0.0457	0.0495	0.0419	0.0114	0.0152	0.019	0.0152	0.019	0.0381	0	0.00762	0.00762	0.0152	0	0	0.00762	0	0.0114	0.0495	0.0114	0.0152	0.019	0.0152	0.0152	0.00762	0.0267	0.0229	0.0267	0.0114	0.0152	0.171	0.0495	0.206	0.179	0.00762	0.118	0.168	0.0267	0.2
Streptomycetaceae	0.152	0.453	0.309	0.221	0.229	0.213	0.198	0.164	0.141	0.305	0.114	0.0495	0.0114	0.0114	0.00381	0.0229	0.00381	0.0229	0.0229	0.309	0.019	0.0229	0.0267	0.335	0.251	0.301	0.312	0.251	0.263	0.0114	0.0114	0.465	0.796	0.415	0.556	0.0991	0.141	0.164	0.0495	0.2
Polyangiaceae	0.0381	0.0267	0.0571	0.0267	0.0419	0.0419	0.019	0.0152	0	0.0381	0.0114	0.00762	0.00381	0.00762	0.00381	0	0.00762	0.00381	0	0.0648	0.00762	0	0.0152	0.0229	0.0305	0.0381	0.0495	0.0457	0.019	0.00381	0	0.019	0.168	0.137	0.0648	0.37	0.019	0.0457	0.0343	0.2
Micromonosporaceae	0.0267	0.08	0.0838	0.061	0.0648	0.0571	0.0305	0.0114	0.00762	0.0991	0.019	0.0114	0.00381	0.00762	0.00762	0	0.00762	0	0	0.061	0.00381	0	0.019	0.0724	0.0533	0.103	0.0648	0.0533	0.0267	0.00762	0.00762	0.0495	0.0533	0.0724	0.0724	0.183	0.0343	0.019	0.00762	0.2
FamilyI	0.0305	0.331	0.103	0.122	0.0952	0.122	0.145	0.133	0.286	0.145	0.0495	0.0762	0.0381	0.0152	0.019	0.0152	0.019	0.0305	0.0152	0.122	0.0114	0	0.019	0.137	0.179	0.0952	0.103	0.11	0.103	0.00762	0.0152	0.0229	0	0.0229	0	0.00381	0.00381	0.0152	0.164	0.2
Cellulomonadaceae	0.103	0.556	0.686	0.518	0.465	0.583	0.488	0.484	0.267	0.511	0.232	0.232	0.175	0.206	0.244	0.198	0.0762	0.133	0.103	0.545	0.126	0.16	0.29	0.518	0.472	0.644	0.697	0.48	0.491	0.114	0.0419	0.171	0.0305	0.427	0.293	0.0267	0.0267	0.08	0.263	0.2
Deinococcaceae	0.00381	0.0305	0.0457	0.0495	0.0229	0.0419	0.0267	0.0533	0.0991	0.0152	0.0533	0.0381	0.0114	0.0152	0.0267	0.0114	0.0152	0.0229	0.0229	0.0305	0.0152	0.0305	0.0152	0.0305	0.0114	0.061	0.019	0.0495	0.0381	0.0229	0.0762	0.0114	0	0.0229	0.00762	0.00381	0	0.00762	0.00381	0.2
Enterobacteriaceae	1.49	0.446	0.45	0.389	0.389	0.328	0.564	0.465	0.278	0.278	0.229	0.152	0.0495	0.0457	0.061	0.0914	0.0343	0.0648	0.0305	0.328	0.0495	0.00381	0.0762	0.4	2.26	0.453	0.354	0.347	0.45	1.53	0.0152	0.0305	0	0.00762	0.0267	0.00381	0.617	0.00762	0.236	0.2
Chromatiaceae	0.747	0.381	0.168	0.118	0.0991	0.0991	0.0762	0.061	0.0152	0.122	0.0305	0.0648	0.0343	0	0	0.0343	0.0114	0	0.0457	0.286	0.183	0.00762	0.0343	0.183	0.126	0.179	0.152	0.0495	0.0991	0	0.0114	0	0	0	0	0	0.0381	0.0229	0.00381	0.2
Legionellaceae	0.0114	0.0114	0	0.00381	0.00762	0	0	0	0	0.00762	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0.00762	0.00381	0	0.08	0.175	0.0952	0.0495	0.145	0.0305	0.0838	0.00762	0.2
Kineosporiaceae	0.0343	0.0876	0.0571	0.0495	0.061	0.133	0.0571	0.0648	0.0305	0.0952	0.0381	0.0419	0.019	0.0305	0.0343	0.0152	0.00381	0.00762	0.0114	0.0952	0.00762	0.0305	0.00762	0.0571	0.08	0.0838	0.11	0.0533	0.08	0.0114	0.019	0.0305	0.0152	0.0571	0.0648	0.00762	0.061	0.0343	0.0267	0.2
Cyclobacteriaceae	0.183	0.122	0.0686	0.0762	0.0533	0.0571	0.0571	0.0724	0.0343	0.0762	0.0381	0.0724	0.118	0.137	0.126	0.0762	0.0686	0.0762	0.0381	0.16	0.0571	0.0419	0.278	0.0648	0.0724	0.114	0.0495	0.0686	0.0533	0.061	0.061	0.00381	0	0	0	0	0	0.0267	0.0457	0.2
Methylophilaceae	0.259	0.0952	0.0343	0.0229	0.0229	0.0419	0.0267	0.0229	0.00762	0.0838	0	0	0.00381	0.00762	0.00381	0.00762	0.00762	0	0	0.0648	0	0	0.00381	0.08	0.0495	0.08	0.0876	0.0419	0.0419	0.187	0.0152	0.0152	0	0.00381	0	0.0381	0.00381	0.0343	0.0114	0.2
Nakamurellaceae	0.019	0.0381	0.0114	0.0229	0.0305	0.0267	0.0305	0.019	0.00762	0.0343	0.0114	0.0114	0.00381	0.0114	0.0267	0.0152	0.00381	0.00762	0.0152	0.0343	0.0267	0.00381	0.0114	0.0267	0.019	0.0419	0.0229	0.0305	0.0381	0.00381	0.00762	0.0571	0.0991	0.171	0.118	0.0762	0.0381	0.0571	0.0419	0.1
0319-6M6	0.0762	0.19	0.11	0.0533	0.0343	0.0762	0.0381	0.0381	0.0152	0.11	0.00381	0.00762	0	0	0.00762	0	0.00762	0	0	0.122	0	0.00381	0.00762	0.107	0.0876	0.0648	0.114	0.061	0.08	0	0.00381	0.263	0.29	0.229	0.263	0.324	0.0419	0.114	0.0305	0.1
Hyphomonadaceae	0.0648	0.0267	0.0343	0.019	0.0343	0.0381	0.019	0.019	0.0114	0.0533	0.00762	0.00381	0.00381	0.0114	0.0114	0.0267	0.00762	0.0419	0.0114	0.0533	0.0114	0.0114	0.00762	0.019	0.00381	0.0305	0.0267	0.019	0.0343	0.00762	0.00381	0.0648	0.0419	0.0495	0.0495	0.0229	0.0914	0.11	0.00762	0.1
Oceanospirillaceae	0.0876	0.0343	0.0343	0.0229	0.00381	0.0152	0.0114	0.0152	0.00381	0.0381	0	0.00381	0.00381	0	0.00762	0.00762	0.0114	0.0114	0	0.0305	0.00381	0.0114	0.0229	0.0267	0.0152	0.0229	0.0114	0.0114	0.0114	0	0.00762	0.0267	0.0419	0.0114	0.00381	0.0305	0.0533	0.11	0.00381	0.1
Nannocystaceae	0.019	0.019	0.0229	0.019	0.00762	0.019	0.00762	0.0267	0.0114	0.0457	0	0	0	0	0	0	0.00762	0.00381	0	0.019	0.00762	0.0114	0	0.019	0.0343	0.0152	0.0229	0.0114	0.00762	0.00762	0.0152	0.00762	0.0114	0.0838	0.0686	0.00381	0.00381	0.0305	0.00381	0.1
Euzebyaceae	0.0267	0.0991	0.0381	0.019	0.0305	0.0267	0.0229	0.019	0.00381	0.0381	0.00381	0	0	0.00762	0.00762	0.00762	0.00381	0	0.00762	0.0457	0	0.00762	0.0114	0.0571	0.0495	0.0495	0.0419	0.0343	0.0305	0.00762	0.00762	0.00762	0.00381	0.019	0.00762	0.00381	0.00381	0.00762	0.00381	0.1
ABS-19	0.0724	0.0533	0.0305	0.0457	0.0267	0.0152	0.0152	0.00381	0.00381	0.0267	0.00381	0	0	0	0	0.00381	0	0	0	0.0686	0.00381	0	0.00762	0.0419	0.0381	0.0305	0.0457	0.0114	0.019	0.00381	0.00381	0.0343	0	0.0114	0.0381	0.00762	0.0114	0.08	0.0229	0.1
Coxiellaceae	0.019	0.0114	0.00381	0	0	0.00381	0.00381	0	0.00381	0.00762	0	0	0	0	0	0	0.00381	0.00381	0.00381	0.00381	0	0	0	0.00381	0	0.00381	0	0.00762	0	0	0	0.11	0.137	0.0914	0.0305	0.141	0.0229	0.0571	0.00381	0.1
KD3-93	0.0381	0.0229	0.00381	0.0114	0.0114	0.0152	0.00762	0.00381	0	0.00762	0	0	0	0	0	0.00381	0.00381	0.00762	0.00762	0.0305	0	0.0152	0.019	0.019	0.0114	0.0229	0.0229	0.00762	0.00381	0	0.00762	0.0114	0.0457	0	0.00762	0.0724	0.00381	0.0229	0.00381	0.1
Roseiflexaceae	0.0229	0.0305	0.019	0.00381	0.00762	0.00762	0.00381	0.0114	0.00762	0.0114	0	0.00381	0.00381	0	0	0	0	0.00381	0	0.019	0	0	0	0.0114	0.0114	0.00762	0.0229	0.00762	0.0114	0.00381	0	0.0267	0.0381	0.0419	0.0419	0.0533	0.0533	0.0533	0.0381	0.1
RB41	0.107	0.0381	0.0114	0.0152	0.00381	0.00762	0.0305	0.0229	0.0114	0.0229	0.00762	0	0.00381	0	0	0	0.00381	0.0229	0	0.019	0.0114	0.00381	0	0.0114	0.00762	0.019	0.0114	0.00762	0.0229	0.00762	0.0114	0.0114	0.08	0.244	0.198	0.488	0	0.0838	0	0.1
Sandaracinaceae	0.019	0.00381	0.0152	0.00381	0.00381	0.00762	0	0.0114	0	0.0229	0.00381	0	0	0	0	0	0	0	0	0.0114	0.00762	0	0.00381	0.019	0.00381	0.00762	0.00762	0	0.0114	0	0	0.00381	0.0343	0.0648	0.0305	0.0648	0.0114	0.0114	0.00381	0.1
Nitrospinaceae	0.0267	0.00381	0.0114	0.00381	0.00381	0.0152	0.00381	0	0	0.0114	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0.00762	0.0114	0.00762	0.0152	0.00762	0.00381	0	0	0.0457	0.0533	0.0381	0.0152	0.0419	0.00762	0.0114	0.00381	0.1
OM1_clade	0.0952	0.0419	0.0267	0.0381	0.0343	0.0381	0.0114	0.0229	0.0305	0.061	0.00381	0.00381	0	0.00381	0.0152	0.00381	0.0114	0.00381	0	0.0762	0	0	0.00381	0.0571	0.0495	0.0343	0.0343	0.019	0.0381	0.00381	0.00762	0.0152	0.53	0.107	0.126	0.187	0.00762	0.00381	0	0.1
PHOS-HE51	0.0152	0.0114	0.00381	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0.00381	0.00762	0	0.00762	0	0	0	0.00381	0.00381	0.00762	0.00762	0	0.00381	0.0571	0.00381	0.0343	0.0305	0.0267	0.00381	0.11	0.00381	0.1
NS11-12_marine_group	0.0343	0.00381	0.0305	0.00381	0.00381	0.0114	0.0114	0.00762	0	0.0114	0	0.00762	0	0	0.00381	0	0	0	0	0.019	0	0	0	0.00762	0.00381	0.00762	0.0114	0.0114	0.0229	0	0	0.0305	0.0762	0.0267	0.019	0.0724	0.0229	0.00762	0	0.1
Ellin6055	0.0305	0.0762	0.0533	0.0114	0.0229	0.0419	0.0305	0.00762	0.00762	0.00762	0.00762	0.00762	0.00762	0.0152	0.00762	0.0114	0.0114	0.00381	0.00762	0.0419	0.0152	0.0152	0.00381	0.0495	0.0457	0.0229	0.0229	0.0152	0.0381	0.0152	0.00762	0.0838	0.156	0.168	0.133	0.0571	0.0571	0.137	0.0229	0.1
Family_XII	0.465	0.522	1.18	1.23	0.895	0.922	0.838	0.751	0.812	0.606	0.8	0.632	0.0267	0.0267	0.019	0.0533	0.0381	0.0457	0.0381	0.476	0.0419	0.0381	0.0724	0.888	1.36	1.35	1.47	1.25	1.47	0.0724	0.0914	0.0419	0.00381	0.0838	0.0267	0.00381	0	0.0305	5.52	0.1
Fibrobacteraceae	0.0419	0.0495	0	0.00762	0.00381	0	0.00381	0.00381	0	0.0229	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0.0229	0.0114	0.0114	0.0152	0.0152	0.0229	0	0	0.00762	0.0343	0.0114	0.019	0.16	0	0.0495	0	0.1
SJA-28	0.0267	0.00381	0.0114	0.0114	0.0114	0.00762	0.00762	0.00762	0.00381	0.019	0	0	0	0.00762	0.00381	0	0	0	0	0.0114	0	0	0	0.0114	0	0.0114	0.00381	0	0.0114	0	0.00381	0.0876	0.183	0.0991	0.0914	0.0533	0.0495	0.0419	0.0229	0.1
AKYH478	0.0114	0.019	0.019	0.00762	0.0114	0.0152	0.0114	0.00381	0.00381	0.0229	0.00381	0.00762	0.0114	0	0	0	0.00762	0.00762	0.0229	0.0114	0.00381	0.0152	0	0.019	0.00762	0.00762	0	0.00762	0.0114	0.0114	0.00381	0.00762	0.00381	0.0114	0.00762	0	0.0114	0.0267	0.019	0.1
VHS-B3-70	0.00762	0.00762	0.00381	0	0.00381	0	0	0	0	0.00762	0	0	0	0.00381	0.00381	0	0	0	0	0.00381	0	0	0.00381	0.00381	0	0	0.00762	0	0.00762	0	0	0.0343	0.0495	0.0495	0.0305	0.0952	0.019	0.0838	0.0229	0.1
Desulfurellaceae	0.0457	0.0152	0.00762	0.00762	0.0114	0	0.00381	0.00381	0.0114	0.0229	0.00381	0	0.00381	0.00381	0	0	0.00381	0	0	0.0267	0	0	0	0.00762	0.00381	0.0114	0.0114	0.0152	0.00381	0.00381	0	0.0457	0.164	0.103	0.0571	0.0533	0.0114	0.0114	0.00762	0.1
DEV007	0.08	0.0152	0.00381	0.00381	0.00381	0.0114	0.00762	0.0343	0.00381	0.00381	0.00381	0	0	0.00381	0	0	0	0	0	0.00762	0	0.00381	0	0.00381	0.0114	0.0114	0.00381	0	0.00762	0	0	0.0267	0.0457	0.0152	0.00762	0.0267	0.0305	0.107	0	0.1
Cystobacteraceae	0.0305	0.0381	0.0114	0.00762	0.00381	0	0	0.00381	0	0.00381	0	0.00762	0	0.00381	0	0.0114	0.0114	0.019	0.0114	0.0305	0.0152	0.019	0.00762	0.0114	0.0114	0.0152	0.0152	0.0114	0.00762	0.0381	0.019	0.00762	0.00762	0	0	0	0.00381	0.0229	0.00381	0.1
Promicromonosporaceae	0.0229	0.0381	0.0419	0.0267	0.0343	0.0305	0.0457	0.019	0.00762	0.0457	0.0114	0.0305	0	0.00381	0.0114	0.019	0.00381	0.00762	0.00762	0.0343	0.00762	0	0.0305	0.0495	0.0267	0.0533	0.0419	0.061	0.0229	0.00381	0	0.00381	0	0.00762	0.0419	0	0.0152	0.00762	0.061	0.1
I-10	0.0229	0.00381	0.0229	0.00762	0.00762	0	0.0114	0.00762	0.00381	0.0152	0.00381	0	0	0	0.00381	0	0.00381	0	0.00381	0.00762	0	0	0	0.0229	0.019	0.00762	0.019	0	0.00381	0.00381	0	0.0457	0.0724	0.0381	0.0533	0.0914	0.00762	0.0305	0	0.1
Rhodobiaceae	0.0724	0.0229	0.019	0.019	0.00762	0.019	0.019	0.019	0.00381	0.0457	0.0114	0	0	0	0	0	0.00381	0.00762	0	0.0724	0	0	0.00381	0.0495	0.019	0.0419	0.0305	0.0267	0.0229	0.00762	0	0.141	0.118	0.137	0.103	0.137	0.0952	0.08	0.0152	0.1
11-24	0.0152	0.0114	0.00381	0.00381	0.00762	0	0.0114	0.00381	0	0	0.00381	0	0.00381	0	0	0.00381	0	0	0	0.00381	0	0	0	0.00762	0.00762	0.0114	0	0.00762	0	0	0.00381	0.103	0.0686	0.0533	0.0114	0.019	0.0229	0.24	0.00762	0.1
Carnobacteriaceae	0.0305	0.0114	0.0114	0.0152	0.0229	0.0267	0.0152	0.00762	0.0114	0.00381	0.00381	0	0	0	0	0	0.00381	0	0	0.019	0	0	0.0114	0	0.0267	0.0419	0.0381	0.019	0.0457	0	0	0	0.00381	0	0	0	0	0	0.747	0.1
Oligoflexaceae	0.0267	0.00762	0.0114	0.019	0.00762	0.0114	0.0305	0.00381	0.00381	0.0152	0.00381	0	0.00381	0.00381	0.00381	0	0.00762	0	0.00762	0.0152	0	0.00762	0.00762	0.0114	0.0114	0.019	0.00381	0.00762	0.00762	0	0.00381	0.0152	0	0.00762	0	0	0	0.00381	0	0.1
MNG7	0.0571	0.0381	0.0152	0.0152	0.019	0.0381	0.0152	0.0267	0.0114	0.0381	0.00762	0	0	0.00381	0.00381	0.00762	0.00762	0	0.00762	0.0419	0	0.0114	0.00762	0.0267	0.00762	0.0381	0.0152	0.0229	0.0381	0.00381	0.0114	0.0762	0.221	0.0571	0.0648	0.267	0.0991	0.0762	0.019	0.1
Flammeovirgaceae	0.0571	0.0152	0.00762	0.00381	0.00762	0.0229	0.00381	0.0114	0.00381	0.0114	0	0.00381	0.00381	0.0114	0	0.00381	0.0229	0.0152	0	0.00762	0.00381	0.00381	0	0.00762	0.0114	0.0114	0.0114	0.00762	0.00762	0.00381	0.00381	0.0114	0.0571	0.00381	0.00762	0.0114	0.019	0.0381	0.00381	0.1
Aurantimonadaceae	0	0.019	0.019	0.00381	0.00381	0.0114	0.0152	0.00762	0.00381	0.00381	0.0152	0.019	0.00381	0.00762	0	0.00381	0	0.00381	0.00762	0.0229	0	0	0.00762	0.0152	0.0152	0.00762	0.019	0.00762	0.00762	0	0.00381	0.0343	0.00381	0.019	0.0457	0	0.0114	0.00381	0.0229	0.1
TK34	0.0114	0.00762	0.00762	0.0114	0	0.00762	0.00381	0.00762	0	0.00762	0	0.00381	0	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0.00381	0.00762	0.00381	0	0.00381	0	0	0.00762	0.0305	0.0152	0.0305	0.0533	0.00381	0	0	0.1
Trueperaceae	0.0152	0.019	0.019	0.00381	0.0114	0.00762	0.0114	0.00381	0.0229	0.0267	0.00762	0.00762	0	0.00762	0	0.00762	0.00762	0.00762	0	0.0343	0.00381	0.00381	0.00381	0.0305	0.0152	0.0305	0.00762	0	0.0114	0.00381	0	0.00381	0	0.0229	0.019	0	0	0.0152	0.019	0.1
BIrii41	0.0152	0.0114	0.00381	0.0114	0.00381	0.00762	0	0	0	0.0152	0	0	0	0	0	0	0	0	0	0.0152	0	0	0	0.019	0.0114	0.00762	0.0152	0.00381	0.00381	0	0	0.00381	0.0495	0.0229	0.0381	0.0381	0.0267	0.0229	0	0.1
PAUC26f	0.00762	0.0152	0.0229	0	0.0114	0.00381	0	0.00762	0.00762	0	0	0	0	0.00762	0	0	0	0.00381	0	0.0114	0	0	0	0.019	0.00381	0.0152	0.00381	0.00762	0.00762	0	0	0.0152	0.0457	0.0267	0.0114	0.0305	0.00762	0.0114	0	0.1
A0839	0.0114	0.0114	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0.00381	0	0.00381	0	0.00762	0.00381	0	0.00381	0	0	0.00762	0.0648	0.019	0.0114	0.0114	0.0267	0.0457	0.00381	0.1
FukuN18_freshwater_group	0.0229	0.00762	0.0114	0.00381	0	0.00762	0.00381	0	0.019	0.0114	0	0.00381	0	0	0	0	0	0	0.00381	0.0152	0	0.00381	0	0	0.0114	0.00381	0.00381	0.00762	0.0114	0	0	0	0.0152	0.00762	0.00381	0.0457	0.0267	0	0	0.1
Oscillochloridaceae	0.0495	0.0229	0.0152	0.0114	0.00762	0.019	0	0.00381	0.019	0.019	0	0	0	0.00762	0.0229	0.0114	0.0114	0.0114	0.0305	0.0229	0.0114	0.019	0.00381	0.0152	0.0267	0.0114	0.00762	0.0152	0.0152	0.00762	0.0152	0.846	0.019	0.392	0.522	0.0152	0.305	0.107	0.331	0.1
KF-JG30-B3	0.0152	0	0.00381	0	0.00762	0.00381	0	0	0	0.0114	0	0	0	0.00381	0	0	0	0	0	0.00381	0	0	0.00381	0	0.00762	0	0.00381	0.00762	0.00762	0.00381	0	0.0914	0.0267	0.0495	0.00762	0.00762	0.00762	0.0305	0.00762	0.1
Patulibacteraceae	0.0419	0.0991	0.061	0.0267	0.019	0.0419	0.0267	0.019	0.0152	0.0533	0.00381	0.00762	0.00762	0.00762	0.00762	0.00762	0.00762	0.00381	0.00381	0.103	0.00762	0.00762	0	0.0495	0.0305	0.0762	0.0457	0.0343	0.0229	0.00381	0.00381	0.0686	0.183	0.145	0.179	0.103	0.0114	0.179	0.0152	0.1
Erysipelotrichaceae	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.061	0.061	0.0114	0.0152	0.0381	0.0571	0	0.00762	0.1
Elev-16S-1332	0.0229	0.019	0.00381	0.0114	0.00381	0.00381	0.00381	0	0.00381	0.0114	0.00381	0	0	0.00762	0	0	0	0	0	0.00381	0	0	0	0.00762	0.00381	0.00762	0.019	0.00762	0.0114	0.00381	0.00381	0.0229	0.408	0.118	0.061	0.0533	0.00381	0.0648	0	0.1
NS9_marine_group	0.0305	0.0152	0	0.00381	0.0114	0.00762	0.00381	0	0.00381	0	0	0.00381	0	0	0.00381	0.00762	0.00762	0.0114	0.0114	0.019	0.0229	0.0229	0.00762	0.00381	0.00762	0.0114	0	0.00381	0.00762	0.0114	0.00762	0.0114	0.00762	0	0.0229	0.149	0.0229	0.0229	0.00381	0.1
Myxococcaceae	0.019	0.0495	0.0267	0.00762	0.019	0.0229	0.0229	0.0114	0.0419	0.019	0	0	0	0	0.00381	0	0.00381	0	0	0.0152	0	0.00381	0	0.0457	0.0571	0.0381	0.0343	0.0267	0.0152	0	0	0.00381	0	0.00381	0.00381	0.0114	0.00762	0	0	0.1
Sanguibacteraceae	0.0114	0.0305	0.0571	0.019	0.0381	0.0381	0.0114	0.0267	0.0114	0.0152	0.019	0.0114	0.00381	0.00762	0.00381	0.00762	0	0.00381	0.00381	0.0267	0.00762	0.00381	0	0.061	0.061	0.0571	0.0381	0.0229	0.0229	0	0	0	0	0	0.00381	0	0	0	0.423	0.1
DUNssu044	0.0267	0.0343	0.0114	0.0229	0.0267	0	0.0114	0.00381	0.00381	0.019	0	0.00381	0.00381	0	0	0.00381	0	0	0	0.0114	0	0.00381	0.00381	0.00762	0.00762	0.0152	0.0114	0.0229	0.0267	0	0	0.00762	0.0229	0.0152	0.00381	0.00381	0.00381	0.0229	0	0.1
Chloroflexaceae	0.0229	0.019	0.019	0	0.00762	0.00762	0	0.00381	0	0.00762	0	0	0	0	0	0	0	0	0	0.0152	0	0.00381	0	0.0229	0.019	0.0114	0.0152	0.00381	0.00762	0.00381	0	0.00381	0	0.0114	0.0152	0	0.00381	0.0343	0.0152	0.1
MNC12	0.00762	0.00381	0.00381	0.00381	0	0.019	0.0114	0.00762	0	0.0114	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.0152	0.00762	0.00381	0.0114	0.00762	0.0114	0	0	0.0229	0.0419	0.0152	0.0152	0.00762	0.0152	0.0381	0.00762	0.1
FFCH9454	0.0114	0	0	0.00381	0.00381	0.00381	0.00381	0.00762	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0.00381	0.00381	0	0	0	0	0.0152	0.00381	0.00762	0.00762	0.0648	0	0.019	0.00381	0.1
Rhodocyclaceae	0.08	0.0533	0.0229	0.0305	0.0229	0.0267	0.00762	0.0114	0.00381	0.0305	0	0	0.00381	0.00762	0.0267	0.00381	0.0152	0.00762	0.00381	0.0305	0.00381	0.0114	0.00762	0.0229	0.0114	0.0419	0.0267	0.0114	0.0229	0	0	0	0	0.00381	0.00381	0	0.0419	0.019	0.00381	0.0
mle1-27	0.00381	0	0.0114	0	0.00381	0.00381	0	0	0	0.0114	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00762	0.0152	0.0114	0	0.00381	0	0.0
Thermoactinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0	0.00762	0.0229	0.0152	0.0152	0.0229	0	0.00381	0	0.0
SJA-149	0.0267	0.00381	0.00381	0.00381	0	0.00381	0	0	0	0.00762	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.0114	0.00381	0.0114	0.0114	0.00381	0.00381	0	0	0.00762	0.0305	0.019	0.00762	0.00762	0.00762	0.0343	0	0.0
Simkaniaceae	0	0	0.00381	0.00762	0	0	0.00381	0.00381	0.0152	0.0152	0.00381	0.00762	0	0.00381	0	0.00381	0.00762	0	0.0114	0	0.00762	0.00381	0.00762	0.00762	0	0.0152	0.00381	0	0.00381	0	0	0.00762	0	0	0	0.0114	0	0	0	0.0
Dietziaceae	0.00381	0.0114	0.0229	0.0267	0.0229	0.0152	0.0152	0.019	0.0343	0.0152	0.0152	0.0267	0.0267	0	0.0152	0	0	0.0152	0.00762	0.019	0.00762	0	0.00381	0.0229	0.019	0.0267	0.0267	0.0419	0.0305	0.0114	0.00381	0	0	0	0	0	0	0	0.00381	0.0
Dermabacteraceae	0.0305	0.0533	0.0419	0.0724	0.0457	0.0495	0.0229	0.0229	0.00762	0.0305	0.0152	0.0114	0.00762	0	0.00762	0	0	0.00381	0	0.0495	0.00381	0.00381	0.00762	0.0648	0.0533	0.0495	0.0305	0.0381	0.0495	0.00762	0	0	0	0	0	0	0	0.00381	0.0114	0.0
Elev-16S-1166	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.0381	0.0495	0.019	0.00762	0.019	0.0152	0.0571	0.0114	0.0
LD29	0	0.0495	0.0229	0.0267	0.0152	0.0152	0.0152	0.0267	0.0495	0.0305	0	0	0.00381	0.00381	0.00381	0	0.00762	0	0	0.0457	0.00762	0.00381	0.0152	0.0419	0.061	0.0229	0.0152	0.019	0.0267	0.00381	0	0	0	0.00762	0	0	0	0.00381	0	0.0
FFCH7168	0.00381	0.0114	0.00381	0	0.00381	0.00381	0.00762	0	0	0.00762	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0.00381	0.00381	0.00762	0	0.00381	0	0.0114	0.00381	0.019	0.0114	0	0.0152	0.0838	0	0.0
DA111	0	0.00762	0.0114	0	0	0	0	0.00381	0.00381	0.00762	0	0	0	0	0	0	0.00381	0	0	0.00381	0.00381	0	0	0.00381	0.00762	0.00762	0.0114	0.00762	0.00762	0	0	0.0114	0.00762	0.0152	0.00762	0.0114	0	0.0114	0	0.0
Bogoriellaceae	0.0381	0.0762	0.0648	0.0876	0.0495	0.08	0.0495	0.0762	0.061	0.0648	0.0648	0.0457	0.0381	0.0876	0.0724	0.061	0.0114	0.0305	0.0419	0.11	0.0305	0.0305	0.0991	0.0838	0.0762	0.0952	0.0686	0.08	0.0457	0.0305	0	0.00381	0	0.00381	0	0	0	0.0114	0.0229	0.0
Aeromonadaceae	0.00762	0	0	0.0114	0.00762	0.00762	0.00762	0	0.00381	0.00381	0	0.00762	0.00381	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0	0.0114	0.00762	0.0114	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
Campylobacteraceae	0	0.0114	0.00762	0.00381	0.00762	0.00381	0.00381	0.0114	0.0114	0.00381	0	0.0114	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0.00381	0.0114	0.00381	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0	0.0
D05-2	0	0.0114	0.0152	0.00381	0.00762	0.00381	0.00381	0.00762	0	0.00381	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0.0114	0	0	0.0152	0	0	0	0.00381	0.00381	0.00762	0.00381	0.00762	0.0229	0.0229	0.00381	0	0.0
Corynebacteriaceae	0.0267	0.0114	0	0.00762	0.019	0.0152	0.0114	0.00762	0.019	0.019	0.0152	0.0152	0.0152	0.0114	0.0229	0.00381	0	0.00762	0.00762	0.0114	0.0114	0.00762	0.0114	0.0229	0.0114	0.0267	0.0114	0.019	0.019	0.0114	0.0229	0.0152	0	0	0.0114	0	0.00381	0	0.00381	0.0
