Class	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Paraglomeromycetes	0.00655	0	0	0	0	0.124	0.00327	0	0.036	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0.0884	0.00982	0.102	0	0	0.00327	0	0.00982	0	0	0	0	0	0	0.00327	0	0	0	0	0.0393	0.5
Malasseziomycetes	0.0295	0.0295	0.0262	0.0524	0.0524	0.0196	0.0851	0.0524	0.0196	0.0917	0	0.0688	0.0262	0.16	0.18	0.0753	0.128	0.246	0	0	0.174	0.164	0.00982	0.131	0.0884	0.363	0.0131	0.0196	0.0393	0.0622	0.0884	0.0655	0.842	0.131	0.00327	0	0.0917	0	0.0295	0.036	0	0.00655	0.00327	0.5
Aphelidiomycetes	0.55	0.305	0.285	0.164	0.314	0.2	0.0688	0.527	0.242	0.144	0	0.151	0.462	0	0.105	0	0.0393	0	0.0753	0	0	0.0622	0.219	0	0	0	0.606	0.305	0.187	0.278	0.262	0.544	0	0.0917	0	0	0	0.00982	0.0262	0	0	1.07	0.0884	0.4
Rhizophydiomycetes	0	0.164	0.111	0.095	0.115	0.0458	0.196	0.0491	0.0327	0.0589	0	0.036	0.0819	0.00982	0.0458	0.00655	0.00327	0	0.193	0.0164	0	0.0229	0.0655	0	0.00327	0.0327	0.0884	0.0327	0.0786	0.0655	0.0131	0.0557	0.0327	0	0	0	0	0	0	0.00655	0	0	0	0.3
Mucoromycetes	0.00655	0.00655	0	0.00982	0.0131	0.00655	0.0295	0	0.00655	0.00655	0	0	0.0196	0	0.0688	0	0	0	0	0	0	0	0.00982	0	0.00327	0.0524	0.0295	0.0164	0	0.00982	0.00655	0.0131	0	0	0	0.00327	0	0	0	0	0	0	0	0.3
Lecanoromycetes	0.0164	0.0295	0.00655	0.00327	0.0164	0.216	0.0131	0	0.0589	0.0196	0	0	0	0.0655	0.00982	0	0	0	0	0.00327	0.0688	0.00655	0.0131	0	0.0917	0.0262	0.0164	0.0131	0.00655	0.00655	0.00982	0	0	0.00982	0	0	0	0	0.00982	0	0	0	0.0131	0.3
Lobulomycetes	0	0.00327	0	0.00655	0.0262	0.0426	0	0.00982	0.00327	0.00655	0.00327	0.0164	0	0	0	0	0	0.0131	0	0.00327	0	0.0851	0.0327	0	0.0262	0	0.00327	0	0.00327	0	0	0	0.0426	0	0	0	0	0	0	0	0	0.151	0.0196	0.3
Pezizomycotina_cls_Incertae_sedis	0.314	0.465	0.0884	0.0884	0.193	0.239	0.138	0.167	0.0819	0.0393	0	0.0426	0.213	0.688	0.0131	0	0	0	0	0.0655	0	0	0.21	0	0	0	0.531	0.229	0.141	0.249	0.0491	0.144	0.0393	0	0	0	0	0.00327	0.00327	0	0	0	0	0.3
Spizellomycetes	0	0	0.00982	0.0327	0.0131	0.0393	0.0229	0.0295	0.383	0.0622	0	0.0196	0	0.00327	0.0196	0	0.00327	0.0295	9.54	0.00327	0.00327	0	0.0131	0.0426	0	0	0.00655	0.0262	0.00655	0.0262	0	0.0229	0	0	0	0.00655	0	0	0.00327	0	0	0.00655	0	0.2
Wallemiomycetes	0.0164	0.0196	0	0.0262	0	0.0622	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00327	0	0	0.0164	0.00655	0	0	0	0.00327	0	0	0	0	0.0196	0	0.00327	0	0	0	0	0.2
Rozellomycotina_cls_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	0.00982	0.2
Spike	17.2	31.9	52.9	25.9	31.5	39.2	40.3	57.4	43.3	48	98.4	34.4	46.5	46.3	46	78.3	84.8	77.3	66.1	88.9	89.7	76.2	23.4	75.9	90	71.1	31	36.9	29.8	53	37.9	51.1	78.3	73.7	1.53	1.18	25.9	3.88	8.24	39.2	0.531	9.25	3.76	0.2
Laboulbeniomycetes	0.0196	0.00982	0.0164	0.0196	0	0	0	0.00327	0	0	0	0	0.0131	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0.00327	0.0196	0	0	0	0	0	0	0	0	0	0	0	0.1
Synchytriomycetes	0	0	0.00655	0	0	0.121	0	0	0	0	0	0	0	0.0524	0	0	0	0	0	0	0	0.0262	0	0.0131	0	0.0851	0	0	0	0.00327	0	0	0.0164	0	0.00327	0	0	0	0	0.0229	0	0	0.0164	0.1
