Family	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Pyronemataceae	0.724	0.102	0.0622	0.419	0.111	0.0589	0.0131	0.0131	0.0491	0	0	0.0458	0.0688	0.0589	0.0426	0	0	0	0.0295	0	0	0.0327	0.151	0	0	0.151	0.0557	0.154	0.422	0.0688	0.0164	0.0819	0	0.105	0.0131	0.0164	1.28	0.77	0.0262	0.00655	0.00327	0.219	0.0164	0.8
Rhizophlyctidaceae	0.0196	0.0491	0	0.16	0.219	0.0393	0.249	0.0131	0.177	0.00327	0	0.0688	1.04	0	0.00982	0	0	0.0164	0	0.0164	0.00655	0	0.213	0.0295	0	0	0.115	0.324	0.0688	0.0393	0.0524	0.0819	0	0	0	0	0	0	0	0	0	0	0	0.7
Sporidiobolaceae	0.0786	0.177	0.16	0.036	0.0393	0.0688	0.18	0.17	0.0491	0.0589	0	0.0851	0.00327	0.0589	0.0426	0.35	0.0262	0.141	0	0.131	0.0458	0	0.0229	0.544	0	0.0884	0.0196	0.102	0.0164	0.00327	0.196	0.0229	0.118	0	0.0229	0.00982	0	0.0426	0.0327	0	0.00327	0.131	0.00327	0.7
Mortierellaceae	0.0917	0.2	0.036	0.36	0.105	0.147	0.0622	0.0491	0.036	0.0426	0.203	0.193	0.0196	0.0458	0	0	0	0	0	0	0.0164	0	0.239	0.0655	0	0	0.105	0.0327	0.141	0.0491	0.0851	0.124	0	0	0	0	0	0	0	0	0	0	0.00327	0.6
Chaetomiaceae	0.0229	0.17	0.0753	0.216	0.095	0.0851	0.0786	0.0655	0.21	0.0196	0.00982	0.0295	0.0622	0.0131	0.0426	0	0	0	0	0	0	0	0.138	0	0.0917	0.0196	0.0524	0.0753	0.105	0.213	0.0327	0.0982	0	0	0.00327	0	0	0.00982	0.0295	0	0	0.0262	0	0.6
Olpidiaceae	0.0458	0.138	0.308	0.167	0.275	0.134	0.151	0.138	0.318	0.102	0.00327	0.157	0.2	0.2	0.187	0.174	0.694	0.563	0.0786	0.498	0.377	0.196	0.203	0.337	0.308	0.567	0.21	0.19	0.177	0.177	0.121	0.2	0.37	0.416	0	0	0.102	0.00655	0.00327	0.00327	0	0.0229	0.00982	0.6
Mrakiaceae	0.213	0.0786	0	0.0458	0.102	0.00327	0.036	0.00655	0.0622	0.134	0	0.0426	0.105	0.036	0.0131	0.00327	0.00327	0.00327	0	0.00327	0.0491	0	0.0917	0	0.0655	0.0688	0.19	0.095	0.0491	0.0557	0.00655	0.072	0.00655	0.00327	0.0851	0.00655	0.00327	0.0426	0.0524	0.00655	16.3	0.0557	0.0786	0.5
Pichiaceae	0	0	0.0655	0.00982	0.036	0.0229	0.0295	0	0.0589	0	0	0.0131	0	0	0	0	0	0	0	0	0	0.0622	0.0131	0	0	0	0.0655	0	0	0.0655	0.0426	0.0393	0	0	0	0	0	0	0.0196	0	0	0	0	0.5
Diversisporaceae	0	0.00655	0	0.0164	0	0.00327	0.0131	0	0	0	0	0.0131	0.0262	0	0.00982	0	0	0	0	0	0	0	0	0	0	0.0622	0.0196	0.00655	0.00327	0.00982	0.0131	0.0131	0	0.072	0.00655	0.00327	0.167	0.0131	0.0164	0.0491	0.00327	0	0	0.5
Nectriaceae	0.252	0.599	0.242	0.2	0.282	0.229	0.472	0.331	0.105	0.337	0.00327	0.923	0.295	0.737	0.445	0.0196	0.134	0.095	0.0295	0.0426	0.0295	0.124	0.196	0.138	0.0196	0.449	0.259	0.144	0.347	0.2	0.0851	0.252	0.0524	0.00982	8.27	6.35	0.269	3.95	3.21	0.747	1.28	2.07	0.829	0.5
