Id,Label,timeset,G
ASV293,ASV293,,Unassigned
ASV463,ASV463,,Pontibacter
ASV71,ASV71,,Massilia
ASV73,ASV73,,Flavobacterium
ASV763,ASV763,,Paucimonas
ASV941,ASV941,,Aeromicrobium
ASV1032,ASV1032,,Massilia
ASV1840,ASV1840,,Pseudomonas
ASV1852,ASV1852,,Unassigned
ASV500,ASV500,,Cellulomonas
ASV67,ASV67,,Massilia
ASV770,ASV770,,Massilia
ASV1036,ASV1036,,Unassigned
ASV1051,ASV1051,,Unassigned
ASV1232,ASV1232,,Noviherbaspirillum
ASV1273,ASV1273,,Unassigned
ASV1038,ASV1038,,Unassigned
ASV1738,ASV1738,,Unassigned
ASV349,ASV349,,Hyphomicrobium
ASV104,ASV104,,Flavisolibacter
ASV248,ASV248,,Unassigned
ASV625,ASV625,,Flavisolibacter
ASV1042,ASV1042,,Rubellimicrobium
ASV346,ASV346,,Ornithinimicrobium
ASV105,ASV105,,Nocardioides
ASV1161,ASV1161,,Arthrobacter
ASV146,ASV146,,Cohnella
ASV2290,ASV2290,,Unassigned
ASV242,ASV242,,Ferruginibacter
ASV548,ASV548,,Blastocatella
ASV727,ASV727,,Unassigned
ASV76,ASV76,,Unassigned
ASV1059,ASV1059,,Chryseobacterium
ASV1907,ASV1907,,Blastococcus
ASV585,ASV585,,Luteimonas
ASV123,ASV123,,Flavobacterium
ASV1428,ASV1428,,Rubellimicrobium
ASV475,ASV475,,Brevundimonas
ASV591,ASV591,,Pedobacter
ASV1066,ASV1066,,Agrococcus
ASV3236,ASV3236,,Paracocccus
ASV247,ASV247,,Nocardioides
ASV3347,ASV3347,,Pseudomonas
ASV403,ASV403,,Paucimonas
ASV501,ASV501,,Geodermatophilus
ASV59,ASV59,,Pontibacter
ASV641,ASV641,,Erythrobacter
ASV752,ASV752,,Unassigned
ASV771,ASV771,,Cytophaga
ASV115,ASV115,,Flavisolibacter
ASV1243,ASV1243,,Unassigned
ASV1358,ASV1358,,Arthrobacter
ASV1492,ASV1492,,Streptomyces
ASV158,ASV158,,Unassigned
ASV180,ASV180,,Unassigned
ASV226,ASV226,,Rufibacter
ASV231,ASV231,,Nocardioides
ASV2383,ASV2383,,Arthrobacter
ASV29,ASV29,,Unassigned
ASV3327,ASV3327,,Pseudomonas
ASV335,ASV335,,Nocardioides
ASV35,ASV35,,Kocuria
ASV516,ASV516,,Unassigned
ASV637,ASV637,,Pontibacter
ASV733,ASV733,,Flavobacterium
ASV1070,ASV1070,,Nocardioides
ASV1071,ASV1071,,Bacillus
ASV1073,ASV1073,,Arthrobacter
ASV125,ASV125,,Unassigned
ASV164,ASV164,,Flavobacterium
ASV1781,ASV1781,,Unassigned
ASV195,ASV195,,Flavobacterium
ASV261,ASV261,,Unassigned
ASV271,ASV271,,Unassigned
ASV295,ASV295,,Sphingomonas
ASV310,ASV310,,Unassigned
ASV33,ASV33,,Lysobacter
ASV384,ASV384,,Unassigned
ASV398,ASV398,,Patulibacter
ASV6,ASV6,,Unassigned
ASV627,ASV627,,Nocardioides
ASV68,ASV68,,Unassigned
ASV707,ASV707,,Unassigned
ASV927,ASV927,,Nibribacter
ASV938,ASV938,,Epilithonimonas
ASV109,ASV109,,Massilia
ASV3089,ASV3089,,Paracocccus
ASV568,ASV568,,Adhaeribacter
ASV1092,ASV1092,,Arthrobacter
ASV1229,ASV1229,,Unassigned
ASV2223,ASV2223,,Unassigned
ASV1093,ASV1093,,Nocardioides
ASV334,ASV334,,Flavobacterium
ASV447,ASV447,,Nocardioides
ASV458,ASV458,,Unassigned
ASV528,ASV528,,Aeromicrobium
ASV557,ASV557,,Flavobacterium
ASV708,ASV708,,Flavobacterium
ASV775,ASV775,,Flavobacterium
