Source,Target,Type,Id,Label,timeset,Weight
ASV1007,ASV741,Undirected,112,,,-1.58492
ASV1007,ASV79,Undirected,113,,,1.443879
ASV1007,ASV856,Undirected,114,,,-1.518501
ASV1007,ASV9,Undirected,115,,,1.602517
ASV1007,ASV955,Undirected,116,,,-1.433333
ASV1007,ASV96,Undirected,117,,,1.443295
ASV101,ASV101,Undirected,118,,,1
ASV101,ASV1269,Undirected,119,,,-1.524723
ASV1013,ASV1007,Undirected,120,,,0.654378
ASV1013,ASV1013,Undirected,121,,,1
ASV1013,ASV170,Undirected,122,,,1.434721
ASV1013,ASV702,Undirected,123,,,1.729464
ASV1013,ASV741,Undirected,124,,,-1.511286
ASV1015,ASV1015,Undirected,125,,,1
ASV1015,ASV966,Undirected,126,,,-1.462254
ASV1017,ASV100,Undirected,127,,,0.705524
ASV1017,ASV1017,Undirected,128,,,1
ASV1017,ASV102,Undirected,129,,,1.45898
ASV1017,ASV108,Undirected,130,,,1.443281
ASV1017,ASV111,Undirected,131,,,1.560169
ASV1017,ASV114,Undirected,132,,,1.613674
ASV1017,ASV117,Undirected,133,,,1.570967
ASV1017,ASV122,Undirected,134,,,1.461155
ASV1017,ASV1298,Undirected,135,,,-1.536236
ASV1017,ASV150,Undirected,136,,,1.55414
ASV1017,ASV172,Undirected,137,,,1.419718
ASV1017,ASV175,Undirected,138,,,1.420451
ASV1017,ASV1838,Undirected,139,,,-1.428608
ASV1017,ASV2155,Undirected,140,,,1.485952
ASV1017,ASV220,Undirected,141,,,1.453918
ASV1017,ASV229,Undirected,142,,,1.471061
ASV1017,ASV24,Undirected,143,,,1.42223
ASV1017,ASV273,Undirected,144,,,1.443877
ASV1017,ASV31,Undirected,145,,,1.439394
ASV1017,ASV327,Undirected,146,,,1.48284
ASV1017,ASV363,Undirected,147,,,1.601752
ASV1017,ASV37,Undirected,148,,,1.445518
ASV1017,ASV3732,Undirected,149,,,-1.588983
ASV1017,ASV4,Undirected,150,,,1.490704
ASV1017,ASV459,Undirected,151,,,-1.450242
ASV1017,ASV488,Undirected,152,,,-1.418211
ASV1017,ASV5,Undirected,153,,,1.455211
ASV1017,ASV514,Undirected,154,,,1.442685
ASV1017,ASV56,Undirected,155,,,1.607193
ASV1017,ASV571,Undirected,156,,,1.435953
ASV1017,ASV5744,Undirected,157,,,1.488835
ASV1017,ASV61,Undirected,158,,,1.53902
ASV1017,ASV660,Undirected,159,,,-1.419219
ASV1017,ASV677,Undirected,160,,,1.416849
ASV1017,ASV681,Undirected,161,,,1.54955
ASV1017,ASV732,Undirected,162,,,1.433542
ASV1017,ASV74,Undirected,163,,,1.41805
ASV1017,ASV781,Undirected,164,,,-1.558869
ASV1017,ASV810,Undirected,165,,,1.442089
ASV1017,ASV82,Undirected,166,,,1.53534
ASV1017,ASV850,Undirected,167,,,1.575054
ASV1017,ASV96,Undirected,168,,,1.437001
ASV102,ASV1,Undirected,169,,,-0.607348
ASV102,ASV102,Undirected,172,,,1
ASV102,ASV106,Undirected,173,,,1.502684
ASV102,ASV111,Undirected,174,,,1.572244
ASV102,ASV117,Undirected,175,,,1.518672
ASV102,ASV1217,Undirected,176,,,-1.713189
ASV102,ASV13,Undirected,177,,,1.471018
ASV102,ASV194,Undirected,178,,,1.478486
ASV102,ASV229,Undirected,179,,,1.492229
ASV102,ASV237,Undirected,180,,,1.468054
ASV102,ASV24,Undirected,181,,,1.493528
ASV102,ASV288,Undirected,182,,,-1.451245
ASV102,ASV3570,Undirected,183,,,1.434081
ASV102,ASV436,Undirected,184,,,-1.495589
ASV102,ASV451,Undirected,185,,,1.416278
ASV102,ASV5511,Undirected,186,,,-1.460798
ASV102,ASV56,Undirected,187,,,1.500779
ASV102,ASV600,Undirected,188,,,-1.415336
ASV102,ASV61,Undirected,189,,,1.41969
ASV102,ASV634,Undirected,190,,,-1.531364
ASV102,ASV781,Undirected,191,,,-1.527194
ASV102,ASV850,Undirected,192,,,1.670067
ASV102,ASV90,Undirected,193,,,1.576387
ASV102,ASV93,Undirected,194,,,1.485243
ASV1020,ASV1020,Undirected,195,,,1
ASV1024,ASV1024,Undirected,197,,,1
ASV1024,ASV155,Undirected,198,,,-1.501272
ASV1024,ASV485,Undirected,199,,,-1.415501
ASV1024,ASV553,Undirected,200,,,-1.560231
ASV1026,ASV1026,Undirected,201,,,1
ASV1026,ASV1740,Undirected,202,,,1.423784
ASV1026,ASV192,Undirected,203,,,1.434601
ASV1026,ASV207,Undirected,204,,,1.466329
ASV1026,ASV219,Undirected,205,,,1.47832
ASV1026,ASV25,Undirected,206,,,-1.485225
ASV1026,ASV260,Undirected,207,,,1.555284
ASV1026,ASV297,Undirected,208,,,1.469
ASV1026,ASV36,Undirected,209,,,-1.590268
ASV1026,ASV369,Undirected,210,,,1.549004
ASV1026,ASV3752,Undirected,211,,,1.464037
ASV1026,ASV456,Undirected,212,,,1.447344
ASV1026,ASV459,Undirected,213,,,1.572189
ASV1026,ASV531,Undirected,214,,,1.5341
ASV1026,ASV732,Undirected,215,,,-1.538402
ASV1026,ASV85,Undirected,216,,,1.438665
ASV1026,ASV881,Undirected,217,,,1.549159
ASV1026,ASV92,Undirected,218,,,1.520217
ASV1026,ASV95,Undirected,219,,,1.450166
ASV1026,ASV96,Undirected,220,,,-1.670231
ASV1027,ASV102,Undirected,221,,,-0.674541
ASV1027,ASV1027,Undirected,222,,,1
ASV1027,ASV600,Undirected,223,,,1.47227
ASV103,ASV1007,Undirected,224,,,0.678295
ASV103,ASV1026,Undirected,225,,,-0.673154
ASV103,ASV103,Undirected,226,,,1
ASV103,ASV1251,Undirected,227,,,-1.523397
ASV103,ASV159,Undirected,228,,,-1.426791
ASV103,ASV187,Undirected,229,,,1.546117
ASV103,ASV196,Undirected,230,,,1.484977
ASV103,ASV228,Undirected,231,,,-1.448421
ASV103,ASV36,Undirected,232,,,1.553371
ASV103,ASV4,Undirected,233,,,1.422367
ASV103,ASV5,Undirected,234,,,1.48655
ASV103,ASV515,Undirected,235,,,1.598758
ASV103,ASV732,Undirected,236,,,1.466398
ASV103,ASV80,Undirected,237,,,1.497675
ASV103,ASV856,Undirected,238,,,-1.600832
ASV103,ASV9,Undirected,239,,,1.507254
ASV103,ASV92,Undirected,240,,,-1.453889
ASV103,ASV95,Undirected,241,,,-1.462179
ASV1030,ASV1030,Undirected,242,,,1
ASV1030,ASV1069,Undirected,243,,,1.545034
ASV1030,ASV13,Undirected,244,,,-1.422066
ASV1030,ASV1730,Undirected,245,,,1.562824
ASV1030,ASV183,Undirected,246,,,1.496101
ASV1030,ASV184,Undirected,247,,,-1.508044
ASV1030,ASV227,Undirected,248,,,-1.655244
ASV1030,ASV233,Undirected,249,,,1.483101
ASV1030,ASV263,Undirected,250,,,-1.428721
ASV1030,ASV273,Undirected,251,,,-1.456715
ASV1030,ASV276,Undirected,252,,,-1.460779
ASV1030,ASV293,Undirected,253,,,-1.457944
ASV1030,ASV32,Undirected,254,,,-1.494831
ASV1030,ASV38,Undirected,255,,,-1.59007
ASV1030,ASV41,Undirected,256,,,-1.575355
ASV1030,ASV463,Undirected,257,,,-1.43124
