Phylum	A0	A1	A2	A3	A4	A5	A6	A9	A12	A14	A16	A17	A19	A20	A26	BS2	G2	G3	LW1	All
Unassigned	11.3	31.2	26.5	27.3	50.3	31.8	28.1	35.7	30.2	34.3	32.9	12.9	38.3	41.1	2.38	18.2	59.3	21.8	39.2	47
Ascomycota	81.5	53.7	38.2	56.6	37.4	49.4	57.9	47.6	55.9	46	42.1	81.6	38.2	31.7	0.772	17.2	33.9	74.5	43.7	26.8
Basidiomycota	6.82	10.6	6.15	8.44	8.44	9.28	9.28	7.59	7.41	9.88	8.83	2.61	9.15	20.2	0.433	22.5	3.41	2.05	9.07	15.5
Chytridiomycota	0.203	1.45	28.1	4.84	2.43	8.25	2.44	5.82	5.59	8.2	13.4	1.94	6.17	5.7	96	40.4	0.19	0.738	0.264	6.2
Rozellomycota	0.00677	0.65	0.00677	0.0812	0.162	0.325	0.731	1.1	0.00677	0.839	1.03	0.00677	1.19	0.0135	0	1.39	0.00677	0.0135	6.93	1.3
Spike	0.0948	0.427	0.779	0.582	0.217	0.508	0.961	0.454	0.42	0.244	0.264	0.691	1.24	1.04	0.372	0.257	0.515	0.494	0.704	1.3
Mucoromycota	0.0609	0.25	0.318	0.264	0.487	0.135	0.23	0.42	0.244	0.494	0.325	0.169	0.366	0.162	0	0	0	0.291	0.102	1.2
Mortierellomycota	0.0406	1.73	0	1.88	0.487	0.278	0.298	1.3	0.176	0.0203	1.14	0.0948	5.37	0.0271	0	0	0	0	0.00677	0.4
Glomeromycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63	0.129	0.0474	0.3
