	G.1	G.2	G.3	G.4	G.5	GR.01
ASV5493	26	12	1	24	20	11
ASV694	1	108	3	2	14	9
ASV749	0	0	0	0	0	0
ASV812	16	67	3	36	8	1
ASV667	0	0	0	0	0	0
ASV682	7	2	7	8	1	4
ASV721	6	2	1	3	0	0
ASV854	1	0	4	3	0	2
ASV1057	1	0	1	1	1	0
ASV3322	2	1	0	2	0	1
ASV675	9	11	10	5	16	5
ASV705	23	3	49	30	0	5
ASV863	1	0	3	3	0	0
ASV642	43	1	32	30	0	37
ASV758	4	3	0	2	0	3
ASV5711	0	0	0	0	0	0
ASV697	0	0	0	0	0	0
ASV739	13	55	17	10	9	12
ASV745	0	0	0	0	0	0
ASV768	0	0	0	0	0	1
ASV844	9	14	19	13	14	6
ASV1045	12	49	0	27	23	4
ASV1845	40	17	5	20	11	19
ASV2572	12	0	1	7	2	5
ASV612	5	7	18	7	22	6
ASV688	0	0	2	1	0	2
ASV707	10	40	25	11	12	1
ASV731	0	0	0	0	1	1
ASV742	0	0	0	1	0	0
ASV864	11	51	14	8	14	46
ASV912	5	120	24	16	10	1
ASV1972	7	2	3	14	0	15
ASV691	0	0	0	0	0	0
ASV733	0	0	0	0	0	0
ASV942	0	1	1	1	0	4
ASV700	16	12	14	9	5	7
ASV732	0	0	0	0	0	0
ASV759	4	1	4	47	2	2
ASV1007	0	1	1	0	0	0
ASV702	3	0	6	2	0	0
ASV798	13	30	5	4	7	4
ASV805	0	0	0	5	2	0
ASV2370	5	5	1	9	5	4
ASV1093	0	7	1	4	0	6
ASV698	3	58	56	11	58	1
ASV809	37	38	16	4	3	3
ASV879	0	0	0	0	0	0
ASV989	1	0	0	0	0	0
ASV4133	9	15	4	14	7	10
ASV660	3	2	3	3	0	0
ASV685	40	19	26	13	6	4
ASV695	5	15	2	7	29	1
ASV1791	10	5	3	13	2	9
ASV5584	17	12	6	16	2	26
ASV653	0	0	0	1	0	0
ASV709	0	0	3	3	0	1
ASV755	1	0	0	2	0	0
ASV723	3	1	3	2	8	1
ASV776	1	0	0	0	0	0
ASV825	0	0	0	0	0	0
ASV868	12	31	33	26	3	4
ASV880	10	27	23	16	15	4
ASV1103	20	23	18	18	3	14
ASV649	1	0	5	11	0	1
ASV760	1	50	27	15	80	0
ASV4265	17	3	1	11	3	24
ASV651	0	4	5	4	4	0
ASV618	0	0	3	0	0	0
ASV662	23	46	43	22	15	7
ASV704	2	0	0	0	1	0
ASV753	3	1	9	1	1	1
ASV1127	7	11	1	18	81	2
ASV1452	0	0	0	0	0	0
ASV713	11	12	18	8	1	10
ASV743	0	0	0	0	0	0
ASV3881	0	0	1	1	2	0
ASV696	30	12	23	12	7	15
ASV711	0	0	0	0	0	0
ASV674	0	4	19	21	132	0
ASV785	1	0	0	3	0	1
ASV638	0	0	0	0	0	0
ASV818	3	5	9	2	1	4
ASV821	0	0	1	0	0	0
ASV858	0	0	0	1	0	0
ASV922	4	10	0	6	0	10
ASV746	1	0	0	0	0	0
ASV782	1	0	0	0	0	0
ASV983	0	0	2	0	0	0
ASV720	15	24	8	7	5	2
ASV744	9	30	14	8	16	30
ASV757	0	0	1	1	1	0
ASV796	45	12	31	27	0	6
ASV841	0	0	0	0	0	0
ASV859	11	11	17	17	1	8
ASV915	0	1	3	2	1	1
ASV715	0	0	0	0	0	0
ASV788	0	12	2	0	155	6
ASV819	14	33	23	15	9	15
ASV830	11	62	2	27	14	3
ASV1041	3	1	4	9	0	5
ASV690	0	0	0	0	0	0
ASV752	1	1	5	1	1	0
ASV765	0	0	0	0	0	8
ASV851	11	13	21	14	10	15
ASV940	4	19	12	7	3	5
ASV1242	17	2	16	8	0	37
ASV665	1	2	0	3	36	0
ASV927	0	0	0	0	0	0
ASV931	15	1	13	2	1	46
ASV966	1	0	0	2	0	0
ASV2744	8	17	2	20	3	7
ASV3238	1	0	0	0	0	0
ASV4134	7	3	1	3	3	5
ASV790	0	0	0	1	4	1
ASV980	0	0	1	1	0	0
ASV1333	11	29	31	23	3	14
ASV1581	4	2	2	2	7	9
ASV892	0	0	1	1	0	0
ASV676	0	0	0	0	0	0
ASV747	0	0	1	3	0	0
ASV843	1	34	5	7	14	0
ASV986	0	1	7	2	1	124
ASV1852	0	0	0	0	0	0
ASV738	17	1	41	17	0	3
ASV756	0	0	0	0	0	0
ASV777	0	52	7	30	75	0
ASV1039	0	0	0	0	0	0
ASV668	0	0	1	0	0	0
ASV806	0	0	0	0	0	1
ASV811	0	0	0	0	158	0
ASV1546	6	2	2	10	0	0
ASV784	0	0	0	0	0	0
ASV856	0	0	0	0	0	0
ASV877	8	1	5	2	0	2
ASV1029	30	25	7	7	10	64
ASV2736	1	0	0	4	0	3
ASV780	18	3	13	5	2	1
ASV873	0	0	0	1	0	0
ASV764	0	0	0	1	0	0
ASV955	5	2	7	1	0	14
ASV996	20	74	2	21	3	3
ASV1082	0	0	0	0	0	0
ASV1166	0	0	2	1	0	0
ASV1692	0	0	0	1	0	0
ASV778	0	0	0	0	0	0
ASV817	0	1	1	0	32	2
ASV832	0	0	0	0	0	0
ASV904	0	0	1	0	0	0
ASV1187	0	0	0	0	1	0
ASV2610	0	0	0	3	0	0
ASV663	0	0	3	0	0	0
ASV722	0	0	0	1	0	0
ASV751	0	0	3	3	0	1
ASV792	33	18	61	41	1	3
ASV807	16	38	32	13	41	11
ASV887	0	0	0	0	0	0
ASV941	0	0	6	2	0	0
ASV1021	5	31	4	7	14	14
ASV761	2	0	0	4	0	0
ASV774	0	0	0	0	0	0
ASV837	1	14	25	19	44	1
ASV889	2	0	2	1	2	0
ASV937	9	7	15	5	7	12
ASV5839	4	1	4	11	0	9
ASV718	17	11	21	10	5	15
ASV802	25	4	12	11	0	2
ASV1493	2	0	0	1	0	0
ASV3401	2	3	0	1	2	97
ASV816	25	2	9	11	0	6
ASV834	1	1	2	1	0	0
ASV919	2	15	4	4	0	4
ASV1016	0	0	0	0	0	0
ASV762	4	8	23	12	1	28
ASV787	0	0	1	0	0	0
ASV814	4	0	8	6	0	0
ASV846	9	30	28	4	18	3
ASV925	1	0	2	1	0	0
ASV813	1	5	1	2	2	0
ASV835	21	9	48	24	0	23
ASV857	0	0	0	2	0	0
ASV865	1	0	6	4	0	0
ASV1003	0	0	0	1	0	0
ASV1123	1	1	9	11	0	7
ASV712	12	16	19	30	45	0
ASV1297	18	14	31	23	15	6
ASV1704	4	1	1	4	2	6
ASV3095	10	9	2	9	6	30
ASV794	3	0	3	2	0	0
ASV831	0	0	0	0	0	8
ASV870	3	5	6	3	2	0
ASV891	0	0	3	1	0	0
ASV920	0	0	0	0	4	0
ASV959	0	0	0	0	1	0
ASV981	1	0	1	0	0	1
ASV2319	28	34	6	8	7	8
ASV862	2	0	2	0	0	0
ASV956	5	2	7	3	0	9
ASV848	1	1	0	0	0	1
ASV906	3	15	28	52	47	0
ASV954	2	1	3	1	0	37
ASV1254	3	2	12	5	0	7
ASV1475	0	1	0	0	0	0
ASV808	0	0	0	0	0	0
ASV815	5	32	25	11	35	11
ASV3309	6	13	0	16	50	2
ASV5511	19	5	1	6	6	6
ASV726	0	0	0	0	0	0
ASV896	0	0	0	0	0	11
ASV1010	0	0	1	0	0	0
ASV1122	5	6	9	1	2	12
ASV1144	10	17	18	5	5	23
ASV5943	13	12	2	16	15	7
ASV714	0	0	10	4	0	0
ASV740	0	0	0	0	0	0
ASV754	2	71	36	7	19	10
ASV763	0	0	0	0	0	0
ASV795	0	0	0	0	0	0
ASV803	1	0	1	0	0	0
ASV866	3	1	0	2	18	2
ASV957	0	0	0	0	0	0
ASV1051	6	1	10	5	5	0
ASV1258	5	21	4	6	1	22
ASV3072	2	0	0	0	0	2
ASV829	0	1	1	1	0	3
ASV871	2	0	13	5	0	1
ASV876	7	49	14	9	12	3
ASV947	3	0	1	1	1	2
ASV964	0	0	0	0	0	0
ASV1040	0	0	0	0	0	0
ASV1150	5	43	12	25	26	2
ASV1356	0	1	0	0	0	2
ASV1425	13	34	6	8	14	24
ASV939	18	5	9	4	1	3
ASV1038	4	2	5	2	0	9
ASV1374	10	0	7	4	0	122
ASV729	5	0	13	4	1	1
ASV771	0	0	0	0	0	0
ASV839	25	14	13	14	16	2
ASV853	0	1	0	1	2	0
ASV881	5	6	8	7	7	3
ASV897	0	0	0	0	0	0
ASV1246	23	6	3	2	3	20
ASV1435	11	4	0	0	1	30
ASV2774	0	0	0	2	0	0
ASV833	1	8	0	1	0	13
ASV918	0	0	0	0	0	0
ASV921	0	0	0	0	0	0
ASV929	0	11	6	4	8	3
ASV936	0	0	1	0	0	1
ASV938	0	0	0	0	0	0
ASV985	1	1	2	0	4	0
ASV1025	0	0	0	0	0	0
ASV1066	1	1	3	4	0	0
ASV1090	6	21	8	3	15	2
ASV1736	0	0	0	0	0	0
ASV2411	9	0	1	3	0	12
ASV793	0	0	0	0	0	0
ASV810	0	0	0	0	0	0
ASV699	0	0	0	0	0	0
ASV968	14	45	20	13	37	2
ASV898	0	0	1	0	0	0
ASV1071	1	8	7	9	8	0
ASV1074	3	12	8	4	4	23
ASV826	0	1	0	0	1	0
ASV827	3	1	1	1	0	3
ASV895	24	22	37	27	11	16
ASV963	4	0	14	5	1	3
ASV992	2	0	2	3	0	0
ASV800	1	57	15	13	24	0
ASV888	8	23	11	5	24	12
ASV923	17	15	14	8	12	5
ASV979	2	0	5	1	0	0
ASV1781	0	0	0	0	0	0
ASV943	0	0	0	0	0	0
ASV944	6	1	1	2	0	1
ASV976	41	25	17	11	5	10
ASV1013	4	1	3	0	0	0
ASV1100	3	66	27	6	10	1
ASV1249	4	1	14	9	1	14
ASV2599	1	0	0	1	0	0
ASV820	0	0	0	0	0	0
ASV845	0	0	1	5	79	0
ASV903	2	28	4	3	77	7
ASV1018	19	0	9	1	0	2
ASV1226	0	7	3	16	29	0
ASV1318	3	2	3	3	0	1
ASV1330	0	0	0	0	0	0
ASV5695	28	23	3	10	7	18
ASV890	7	1	13	6	0	8
ASV934	0	0	0	1	143	0
ASV1085	8	5	5	1	0	107
ASV1232	0	0	0	0	0	0
ASV2451	0	0	0	0	0	0
ASV2834	0	0	0	0	0	0
ASV789	0	0	1	0	0	0
ASV850	0	0	0	0	0	0
ASV872	0	0	0	1	0	0
ASV882	9	27	25	10	5	8
ASV1128	0	0	0	0	0	1
ASV1143	11	5	3	8	3	6
ASV786	0	0	0	1	0	0
ASV847	10	16	33	33	30	0
ASV861	9	0	11	7	0	2
ASV878	3	18	17	13	7	3
ASV990	0	0	0	0	0	0
ASV1053	1	0	0	0	1	0
ASV1104	0	0	5	4	0	0
ASV1169	5	1	8	5	0	36
ASV1174	0	5	5	3	33	1
ASV1214	0	1	0	0	0	0
ASV1228	1	4	9	3	1	19
ASV1381	0	0	0	0	0	0
ASV1514	2	0	4	1	0	1
ASV1691	4	1	0	6	3	12
ASV842	27	3	36	26	0	5
ASV1255	8	2	5	2	0	1
ASV1986	0	0	0	0	0	0
ASV3752	13	8	2	8	11	15
ASV4004	7	8	2	8	4	4
ASV4396	4	0	0	1	0	2
ASV875	0	132	13	2	0	0
ASV914	5	0	7	2	0	0
ASV917	0	0	0	0	0	0
ASV928	0	0	0	0	0	0
ASV950	11	3	30	30	1	0
ASV970	0	0	0	0	0	0
ASV1034	24	7	4	6	8	19
ASV1037	15	0	22	16	1	12
ASV1050	1	11	1	2	1	12
ASV1121	0	0	0	0	0	0
ASV1204	10	3	9	4	6	24
ASV1275	0	0	0	0	0	0
ASV1506	4	21	2	19	22	2
ASV962	0	0	0	0	0	0
ASV999	23	3	15	18	0	9
ASV1011	0	0	2	0	0	8
ASV1026	0	0	6	4	0	0
ASV1186	0	0	0	0	0	0
ASV1985	2	1	2	3	0	1
ASV855	1	0	0	1	0	0
ASV994	0	0	0	0	0	0
ASV1001	0	0	1	0	0	0
ASV1048	12	29	20	17	9	5
ASV1054	0	0	0	0	0	0
ASV1194	33	6	25	12	3	33
ASV5569	1	0	0	0	0	0
ASV946	12	3	11	10	11	3
ASV1043	1	0	0	2	1	1
ASV1098	44	11	20	17	1	22
ASV1237	0	2	2	10	10	24
ASV1270	0	0	0	1	132	0
ASV907	11	39	0	21	10	0
ASV930	1	0	3	5	0	0
ASV948	0	4	9	1	8	0
ASV982	0	0	5	2	2	19
ASV997	12	16	20	4	44	1
ASV1133	5	1	3	4	0	0
ASV1236	0	0	2	0	0	1
ASV1403	3	1	7	9	0	0
ASV1502	12	13	15	8	5	4
ASV995	1	0	7	12	0	0
ASV1070	0	1	1	3	0	2
ASV2777	4	8	3	6	0	5
ASV911	2	0	3	4	0	0
ASV933	0	0	0	0	0	0
ASV958	19	32	17	9	7	0
ASV1055	2	2	7	8	0	1
ASV1061	22	7	15	4	3	12
ASV1075	0	0	0	0	0	0
ASV1081	2	37	5	4	3	7
ASV1091	0	0	0	0	0	0
ASV1110	30	22	25	15	3	20
ASV1115	14	0	5	0	0	0
ASV1116	1	0	0	0	2	0
ASV1345	2	0	1	0	1	5
ASV1607	0	7	1	0	1	0
ASV822	0	0	3	0	0	0
ASV935	0	0	0	1	0	0
ASV1017	0	0	0	0	0	0
ASV1195	0	0	0	0	0	0
ASV2721	7	2	2	5	5	25
ASV2835	0	0	0	0	1	10
ASV867	0	1	2	6	0	0
ASV883	0	0	2	3	0	0
ASV905	0	0	1	2	0	0
ASV961	16	1	11	27	0	1
ASV1105	0	0	0	0	0	0
ASV1763	0	0	1	0	0	0
ASV2532	0	0	0	0	2	0
ASV899	0	9	41	9	74	0
ASV987	3	0	4	3	0	1
ASV1141	0	0	1	2	0	1
ASV2361	0	0	0	0	0	0
ASV4454	3	0	1	2	0	1
ASV971	18	19	40	20	6	6
ASV1028	6	3	19	8	3	21
ASV1052	0	0	0	1	0	0
ASV1078	0	6	1	1	0	27
ASV1106	54	30	15	4	1	0
ASV1109	39	19	12	6	0	13
ASV3995	1	2	1	1	1	4
ASV874	9	5	14	2	7	27
ASV900	9	0	2	2	0	1
ASV1120	1	0	1	0	1	0
ASV1196	15	0	15	2	1	1
ASV1411	1	3	6	4	0	2
ASV1424	0	0	0	1	0	0
ASV2383	21	14	3	11	11	8
ASV5931	40	1	2	26	2	0
ASV885	0	0	0	0	0	0
ASV967	1	2	0	1	0	8
ASV1006	0	1	0	0	0	0
ASV1009	1	0	0	0	0	0
ASV1019	1	30	19	10	26	2
ASV1027	0	0	0	0	0	0
ASV1049	11	44	19	20	3	19
ASV1273	4	0	1	1	0	1
ASV965	1	119	7	3	0	0
ASV1095	0	6	1	0	0	2
ASV1124	0	0	0	0	0	0
ASV1157	6	5	2	3	0	6
ASV1203	1	0	0	0	0	0
ASV1879	1	5	0	0	2	89
ASV945	0	0	0	0	0	0
ASV978	2	5	0	1	0	0
ASV1004	0	0	0	0	0	0
ASV1035	0	0	0	0	0	1
ASV1117	1	37	6	6	37	1
ASV1158	0	1	3	8	101	0
ASV1378	0	0	0	0	0	2
ASV1468	3	0	1	1	0	0
ASV2100	21	18	1	14	5	1
ASV902	0	24	17	18	50	0
ASV973	12	14	17	18	26	15
ASV1005	1	0	0	1	0	0
ASV1046	5	8	6	2	0	0
ASV1080	6	13	10	5	19	6
ASV1101	11	21	18	5	6	4
ASV1137	2	1	0	0	0	0
ASV1172	0	2	3	2	1	1
ASV1181	8	1	10	7	0	6
ASV1382	0	0	0	0	0	1
ASV3861	12	11	0	3	3	6
ASV951	0	0	0	0	0	0
ASV1024	3	2	6	8	4	0
ASV1042	2	0	2	4	0	0
ASV1167	9	14	27	6	9	4
ASV1213	0	0	0	0	0	0
ASV1272	1	0	0	1	0	2
ASV1296	13	7	16	9	25	12
ASV1317	16	7	13	11	0	2
ASV1458	9	0	3	4	0	2
ASV1517	5	1	5	6	5	4
ASV1540	0	0	0	0	0	0
ASV1586	21	4	19	14	1	3
ASV1650	11	16	9	5	5	9
ASV791	0	0	0	0	0	0
ASV849	2	0	4	3	0	6
ASV949	4	22	19	4	3	3
ASV1032	2	1	0	2	0	0
ASV1097	0	0	0	0	0	0
ASV1130	25	10	15	11	0	8
ASV1215	0	0	1	1	0	0
ASV1463	26	1	14	32	1	8
ASV910	0	0	8	5	116	0
ASV924	0	0	3	3	0	0
ASV977	0	0	0	0	0	0
ASV1155	2	3	3	17	13	0
ASV1295	2	1	5	9	1	0
ASV1433	1	0	1	2	0	0
ASV1703	3	1	1	5	0	9
ASV908	2	0	7	14	0	0
ASV909	1	2	1	0	0	2
ASV991	0	0	0	0	1	1
ASV1102	1	0	0	1	0	0
ASV1114	3	2	27	21	61	0
ASV1309	2	4	3	6	6	1
ASV1324	9	2	4	4	0	2
ASV1346	0	0	0	1	0	0
ASV1353	0	0	1	2	0	0
ASV1377	11	60	6	11	14	8
ASV1534	6	25	7	5	6	4
ASV2379	0	0	0	0	0	0
ASV988	1	0	0	0	0	0
ASV1079	0	0	0	0	0	0
ASV1179	12	37	12	8	15	5
ASV1234	4	16	13	4	1	70
ASV1276	13	24	3	20	19	11
ASV1305	6	2	11	8	32	1
ASV2511	6	0	2	11	1	1
ASV4272	4	0	1	6	0	1
ASV916	0	0	0	0	1	2
ASV993	18	8	11	6	3	5
ASV1014	0	5	1	0	2	7
ASV1047	0	0	0	1	0	0
ASV1065	0	0	0	0	0	0
ASV1072	0	0	4	3	0	0
ASV1113	0	0	2	3	0	0
ASV1118	26	25	27	11	8	9
ASV1147	0	2	0	0	0	0
ASV1235	0	5	14	1	27	0
ASV1294	40	5	27	16	0	7
ASV1541	0	0	0	0	0	1
ASV974	0	0	1	2	0	0
ASV1023	10	0	2	0	0	0
ASV1076	21	15	23	12	10	33
ASV1084	1	0	7	3	0	0
ASV1212	8	30	8	12	1	8
ASV1221	0	0	0	1	0	3
ASV1319	7	2	16	9	2	1
ASV1778	6	6	5	1	1	8
ASV2290	0	7	0	2	0	2
ASV984	13	14	14	7	3	8
ASV1197	0	11	0	0	0	29
ASV1202	16	0	18	13	0	8
ASV1280	0	1	0	0	0	0
ASV1561	0	0	0	0	0	0
ASV5763	0	4	0	0	6	0
ASV1058	8	14	3	11	4	7
ASV1099	0	0	0	0	0	0
ASV1138	28	19	15	11	1	26
ASV1148	4	26	2	1	0	21
ASV1189	0	0	2	1	60	0
ASV1438	7	3	5	3	10	1
ASV1536	3	0	3	2	1	2
ASV1620	7	0	3	4	0	5
ASV5097	0	1	1	3	4	1
ASV1044	0	1	1	0	0	9
ASV1111	0	0	0	0	0	0
ASV1149	0	0	0	0	0	2
ASV1199	0	0	0	0	0	0
ASV1245	0	0	0	0	0	0
ASV1251	6	4	3	4	2	9
ASV1261	8	12	13	9	11	8
ASV1264	2	0	5	6	0	0
ASV1342	20	22	20	16	10	2
ASV2440	2	1	3	10	1	2
ASV926	1	47	8	6	14	0
ASV1139	38	11	24	10	0	4
ASV1145	0	0	0	0	0	0
ASV1259	0	0	0	0	0	0
ASV2182	5	28	17	5	0	0
ASV975	0	0	0	0	0	0
ASV1020	0	0	0	0	1	0
ASV1136	0	0	0	0	0	0
ASV1159	1	3	0	0	7	0
ASV1162	0	0	0	0	0	0
ASV1177	14	14	29	11	0	2
ASV1180	2	0	1	0	1	1
ASV1188	2	3	0	0	0	13
ASV1205	12	27	16	7	7	6
ASV1262	4	0	4	3	0	1
ASV1271	1	2	0	0	0	0
ASV1277	0	1	6	0	0	0
ASV1340	5	3	10	7	0	8
ASV1365	0	3	4	27	65	0
ASV1369	0	0	7	3	0	0
ASV1395	0	0	0	0	0	0
ASV1031	39	13	34	15	1	9
ASV1033	0	0	0	0	0	0
ASV1060	0	0	0	2	0	3
ASV1225	4	7	4	2	7	4
ASV1286	1	1	1	0	0	0
ASV1487	4	0	10	10	1	0
ASV1519	4	1	3	1	3	0
ASV2530	3	2	0	2	1	1
ASV2597	1	0	1	0	0	0
ASV1063	3	0	6	0	0	2
ASV1067	8	2	21	11	2	2
ASV1094	0	0	0	0	0	0
ASV1163	2	1	2	3	0	1
ASV1222	0	0	0	1	0	1
ASV1292	6	2	8	4	0	3
ASV1311	1	0	1	3	0	1
ASV1321	0	0	0	0	0	0
ASV1334	7	57	12	12	3	10
ASV1361	1	1	1	0	11	0
ASV1396	5	0	6	4	0	63
ASV1527	46	7	10	4	1	22
ASV969	0	0	3	7	71	0
ASV1022	0	0	0	1	0	0
ASV1056	0	0	0	3	0	0
ASV1062	1	0	0	0	0	0
ASV1088	17	12	8	4	0	8
ASV1191	2	0	3	1	0	12
ASV1219	10	0	3	1	0	0
ASV1223	8	3	9	6	0	4
ASV1257	0	0	0	2	0	0
ASV1355	3	0	0	1	0	1
ASV1532	0	0	12	5	0	0
ASV2026	0	0	0	0	0	0
ASV2333	0	0	0	0	0	3
ASV2585	0	2	0	1	2	4
ASV3900	0	0	0	2	0	0
ASV1036	2	1	0	0	0	1
ASV1198	0	0	3	0	0	0
ASV1231	3	2	5	2	0	3
ASV1288	8	2	2	3	0	0
ASV1331	20	3	13	5	0	3
ASV1337	2	0	5	4	0	0
ASV1392	7	16	15	22	40	2
ASV1442	1	0	3	0	0	0
ASV1490	0	0	0	0	0	0
ASV1793	0	0	0	1	0	0
ASV3702	5	14	1	6	8	1
ASV3806	6	3	0	4	0	5
ASV4501	10	1	1	1	0	25
ASV5291	6	5	0	6	3	37
ASV5525	0	0	0	1	0	1
ASV5675	5	0	0	0	0	0
ASV1059	0	0	0	0	0	1
ASV1083	0	0	0	0	0	0
ASV1233	0	0	0	2	0	0
ASV1298	7	21	5	6	3	7
ASV1428	1	0	0	1	0	0
ASV1476	18	7	7	5	2	37
ASV1520	2	0	4	0	0	0
ASV2454	24	7	2	10	1	2
ASV1160	4	42	22	10	8	2
ASV1165	0	0	0	0	0	0
ASV1209	8	35	6	5	5	10
ASV1224	1	12	18	11	8	1
ASV1252	8	5	16	14	0	17
ASV1269	0	0	0	0	0	0
ASV1451	2	11	4	9	15	3
ASV1576	4	0	2	5	0	2
ASV2185	0	0	0	0	0	0
ASV5250	5	3	2	9	3	12
ASV1077	0	0	0	0	0	0
ASV1134	10	32	5	2	1	3
ASV1140	0	0	0	0	0	0
ASV1176	0	1	0	0	0	0
ASV1207	0	2	2	11	54	0
ASV1240	3	0	0	0	0	49
ASV1274	4	5	11	17	2	2
ASV1293	0	0	0	1	0	0
ASV1363	0	0	0	0	0	0
ASV1407	0	0	0	0	8	2
ASV1646	0	1	0	0	0	0
ASV1816	1	0	5	1	0	0
ASV2270	1	0	0	2	4	12
ASV1154	0	0	0	0	1	0
ASV1183	16	35	6	8	7	4
ASV1185	9	16	14	9	24	2
ASV1216	1	0	0	0	0	0
ASV1315	5	4	16	7	0	2
ASV1499	0	0	2	2	0	0
ASV1609	0	0	0	0	0	0
ASV1766	0	0	1	2	0	18
ASV2189	3	1	17	11	0	0
ASV972	0	0	0	0	1	0
ASV1064	10	6	29	16	0	3
ASV1096	1	5	0	3	0	0
ASV1108	1	8	3	1	20	9
ASV1206	13	21	15	7	14	2
ASV1218	1	0	0	0	0	90
ASV1408	0	0	0	0	0	0
ASV1426	8	0	4	2	0	1
ASV1440	0	0	0	0	0	0
ASV1497	0	0	0	0	0	0
ASV1513	1	1	4	2	0	0
ASV1531	12	50	10	7	3	8
ASV1974	2	14	3	4	0	6
ASV1129	0	12	1	1	11	4
ASV1253	13	0	22	6	0	6
ASV1266	0	0	2	1	0	0
ASV1303	0	0	1	3	0	1
ASV1401	0	0	0	0	0	0
ASV1429	1	1	0	0	0	0
ASV1489	7	3	12	8	0	7
ASV1557	11	7	10	10	1	19
ASV1615	1	2	0	1	0	2
ASV3583	0	0	0	0	0	0
ASV1125	0	0	0	3	0	67
ASV1247	1	0	1	1	0	0
ASV1339	30	7	46	2	1	4
ASV1375	0	0	0	1	0	0
ASV1404	7	0	4	3	0	0
ASV1570	2	20	11	7	0	0
ASV2282	2	0	2	4	0	1
ASV3258	18	14	1	4	7	4
ASV3570	0	0	0	0	0	0
ASV4952	0	0	0	0	0	0
ASV998	1	5	30	40	26	2
ASV1086	0	0	0	0	0	0
ASV1156	5	13	8	6	16	4
ASV1173	0	0	0	0	0	0
ASV1208	1	0	3	0	0	0
ASV1229	0	0	0	0	0	0
ASV1312	8	3	14	6	27	0
ASV1460	34	6	23	32	1	3
ASV1509	4	0	12	7	0	1
ASV1524	1	0	5	3	0	0
ASV1707	2	0	2	5	8	1
ASV1858	3	2	5	3	0	3
ASV1941	2	1	5	1	0	0
ASV3631	0	0	0	0	1	0
ASV1008	0	0	0	0	0	0
ASV1325	0	22	21	24	38	0
ASV1368	5	0	0	2	4	2
ASV1384	10	19	12	11	3	12
ASV1459	0	59	13	4	10	0
ASV1584	5	59	2	2	5	1
ASV1889	2	2	9	4	1	9
ASV1142	2	2	9	5	0	0
ASV1300	0	10	11	4	60	0
ASV1351	0	1	4	3	0	0
ASV1352	4	4	5	4	0	17
ASV1383	0	0	0	0	0	0
ASV1432	0	0	0	0	0	1
ASV1469	3	0	0	1	0	0
ASV1595	0	0	0	0	0	0
ASV2155	0	1	0	0	0	0
ASV2940	3	3	0	5	1	2
ASV1170	10	0	20	13	0	1
ASV1230	0	1	0	0	0	0
ASV1239	0	0	0	0	0	2
ASV1304	0	0	0	3	56	0
ASV1360	0	0	0	0	0	0
ASV1397	1	0	3	0	0	0
ASV1431	0	59	20	10	14	0
ASV1483	0	0	0	0	0	0
ASV1601	20	3	14	9	1	8
ASV1624	8	10	12	1	9	1
ASV1634	0	0	1	1	0	0
ASV1740	0	1	2	2	1	0
ASV1754	0	0	0	0	1	0
ASV4439	3	9	1	3	4	15
ASV1119	8	24	12	0	3	0
ASV1151	10	16	9	7	6	4
ASV1190	0	3	9	28	33	0
ASV1220	0	38	33	1	16	0
ASV1306	0	2	4	4	41	0
ASV1370	5	1	9	6	0	2
ASV1423	0	0	0	0	0	5
ASV1484	24	2	4	10	0	3
ASV1535	0	0	0	0	0	0
ASV1877	1	4	2	0	2	33
ASV2404	5	9	1	9	5	10
ASV1089	4	4	5	2	6	1
ASV1178	11	1	2	1	2	2
ASV1299	0	0	0	0	0	0
ASV1371	2	0	5	4	0	2
ASV1391	0	0	0	0	0	0
ASV1473	8	1	14	19	1	41
ASV1554	3	0	8	5	1	0
ASV1574	12	6	5	3	4	5
ASV1765	20	6	15	11	0	8
ASV1947	10	0	5	4	0	0
ASV2579	0	0	0	0	0	0
ASV1146	0	0	0	0	0	0
ASV1192	0	0	0	0	0	0
ASV1248	0	0	0	0	0	0
ASV1260	0	0	0	0	0	0
ASV1316	16	1	4	1	4	38
ASV1415	7	7	23	2	13	40
ASV1419	0	0	3	1	0	0
ASV1467	5	16	16	10	2	5
ASV1471	0	0	0	0	0	0
ASV1543	0	1	0	0	1	4
ASV1558	3	3	8	3	1	0
ASV1575	21	22	13	4	10	3
ASV1728	0	0	4	7	0	1
ASV1827	5	2	2	1	0	0
ASV1885	6	1	17	12	0	2
ASV2103	2	6	1	3	0	0
ASV3962	1	0	0	0	0	0
ASV1184	5	18	19	12	7	3
ASV1265	0	0	0	0	0	0
ASV1326	1	31	10	4	14	2
ASV1335	1	0	5	3	0	1
ASV1366	0	0	0	0	0	0
ASV1376	9	26	18	10	1	1
ASV1389	0	20	9	8	26	0
ASV1410	15	0	7	7	0	2
ASV1439	3	0	6	7	0	0
ASV1446	0	0	1	3	0	0
ASV1455	15	20	5	4	5	5
ASV1678	3	0	4	2	0	0
ASV1962	0	2	2	2	0	0
ASV3912	3	0	0	6	1	1
ASV1250	9	28	13	10	11	2
ASV1313	4	0	6	3	1	2
ASV1350	1	0	1	3	0	0
ASV1456	2	4	2	18	11	0
ASV1477	9	5	14	13	4	0
ASV1525	0	3	0	2	2	0
ASV1589	3	12	23	12	9	2
ASV2087	23	4	15	9	4	1
ASV2173	0	0	0	0	0	0
ASV3541	3	0	0	2	0	0
