	G.1	G.2	G.3	G.4	G.5	GR.01
ASV163	0	0	0	0	0	0
ASV157	0	0	0	2	0	0
ASV166	1	802	30	53	89	0
ASV165	0	0	0	0	0	0
ASV280	1	0	0	1	0	0
ASV195	0	0	0	0	0	0
ASV2187	24	1	0	2	2	0
ASV153	0	1	0	0	0	0
ASV279	7	9	3	1	7	20
ASV162	241	8	179	175	5	95
ASV164	0	0	0	0	0	0
ASV174	0	1	1	0	1	2
ASV183	0	0	1	1	0	0
ASV4105	1	1	0	1	0	0
ASV168	159	242	133	67	101	10
ASV178	57	29	170	111	9	14
ASV5245	0	0	0	0	0	0
ASV176	14	1	51	26	1	22
ASV216	1	0	0	0	1	1
ASV208	78	169	112	61	70	29
ASV171	0	0	4	1	0	0
ASV223	14	5	54	32	1	4
ASV206	0	0	1	0	1	0
ASV199	1	0	4	0	0	1
ASV3824	20	14	14	27	34	53
ASV205	1	0	0	0	0	0
ASV250	29	21	42	32	14	114
ASV727	15	2	1	4	0	0
ASV185	31	5	122	83	3	54
ASV235	0	0	0	0	0	0
ASV194	1	0	3	0	0	0
ASV169	12	0	75	46	0	12
ASV189	7	116	30	29	146	298
ASV182	0	0	3	1	1	0
ASV159	2	42	28	81	170	0
ASV188	41	22	62	34	4	49
ASV191	1	1	0	0	0	0
ASV258	1	0	9	3	1	1
ASV175	0	0	0	0	0	0
ASV322	6	4	4	3	6	2
ASV215	85	48	46	20	23	296
ASV204	0	2	1	0	0	0
ASV2583	21	18	13	22	30	27
ASV249	146	68	52	44	6	139
ASV224	8	3	39	22	7	6
ASV2008	2	4	2	1	8	4
ASV213	2	1	1	2	0	2
ASV289	3	0	5	6	0	4
ASV186	0	0	0	0	0	1
ASV310	13	0	31	19	2	1
ASV197	1	0	5	1	0	0
ASV226	18	0	14	3	0	1
ASV202	0	0	2	0	2	0
ASV225	58	35	180	136	9	4
ASV248	7	0	2	5	6	6
ASV356	15	4	1	10	3	28
ASV207	158	8	53	37	1	78
ASV309	44	15	5	24	8	64
ASV198	2	261	150	6	342	1
ASV253	1	2	0	0	0	0
ASV184	4	0	7	3	0	0
ASV478	15	9	3	12	3	26
ASV203	0	1	5	3	0	1
ASV563	22	7	6	20	2	29
ASV240	5	2	16	7	0	5
ASV330	1	0	0	0	0	2
ASV247	1	0	2	0	0	0
ASV219	1	27	24	6	12	30
ASV236	20	0	93	37	0	10
ASV190	2	1	5	3	31	20
ASV210	0	0	2	1	1	2
ASV3327	0	0	2	0	0	1
ASV230	0	1	6	2	0	5
ASV256	1	24	111	257	69	0
ASV187	0	0	0	0	0	0
ASV232	0	0	0	0	0	0
ASV217	2	5	4	1	0	4
ASV238	1	0	2	0	1	0
ASV1730	1	5	1	2	4	6
ASV196	1	0	9	3	0	0
ASV237	0	0	0	0	0	0
ASV221	16	0	11	11	0	6
ASV214	5	0	2	0	1	0
ASV242	13	23	26	28	2	2
ASV241	114	58	109	69	4	190
ASV305	53	36	16	35	25	100
ASV228	0	4	5	0	2	2
ASV741	69	49	11	39	6	177
ASV2618	0	1	0	0	4	1
ASV261	29	19	42	32	12	10
ASV231	5	5	24	20	0	4
ASV288	15	92	68	51	27	8
ASV209	0	0	3	0	1	1
ASV3485	33	3	5	11	4	5
ASV245	1	0	0	0	0	0
ASV265	2	3	7	7	7	3
ASV218	8	76	95	83	283	0
ASV728	3	3	1	2	1	29
ASV227	19	0	16	8	0	0
ASV243	125	103	58	31	16	50
ASV259	1	0	3	5	0	0
ASV719	3	1	4	5	3	3
ASV347	0	2	0	1	1	1
ASV212	0	1	0	0	0	0
ASV229	0	0	1	1	0	0
ASV267	8	0	3	1	0	0
ASV766	79	53	5	39	19	175
ASV312	0	0	0	2	0	0
ASV252	0	0	0	0	0	0
ASV838	25	8	0	25	3	36
ASV296	0	0	0	1	0	2
ASV233	3	0	25	17	0	0
ASV952	52	50	8	41	14	182
ASV3732	7	11	1	17	14	27
ASV234	0	0	0	0	0	0
ASV264	3	31	14	7	100	34
ASV270	17	1	31	22	2	0
ASV286	0	0	2	1	1	0
ASV244	0	1	1	2	9	0
ASV257	11	4	21	7	0	15
ASV268	0	0	3	2	0	0
ASV307	3	0	4	2	0	0
ASV255	0	0	1	0	0	0
ASV262	2	1	3	0	3	0
ASV291	26	3	52	44	5	22
ASV298	4	0	17	7	1	3
ASV316	0	0	0	0	0	0
ASV251	22	5	53	46	1	19
ASV303	1	0	0	0	0	0
ASV643	23	5	3	15	2	79
ASV271	57	40	90	79	18	18
ASV4759	9	3	3	11	1	4
ASV275	1	0	3	0	0	1
ASV300	4	0	5	2	0	2
ASV294	196	40	36	24	1	272
ASV254	1	0	0	0	0	0
ASV282	0	0	1	2	0	0
ASV246	71	6	99	55	2	6
ASV274	16	2	22	26	1	8
ASV283	22	82	40	12	14	150
ASV293	0	0	0	1	0	1
ASV5201	9	5	4	11	1	9
ASV287	0	0	1	0	0	0
ASV269	48	2	161	94	0	6
ASV366	57	10	14	58	4	51
ASV281	1	1	4	2	1	3
ASV273	0	0	0	0	1	1
ASV3779	1	3	2	0	1	2
ASV297	13	0	8	7	2	7
ASV3938	10	10	5	12	12	11
ASV302	0	0	0	0	0	1
ASV335	0	0	1	0	0	0
ASV276	2	0	0	0	0	0
ASV2623	7	7	1	10	2	10
ASV295	39	4	27	33	1	17
ASV5010	20	20	4	24	24	22
ASV263	0	0	1	3	1	4
ASV5744	1	0	0	1	0	0
ASV278	0	0	1	0	0	0
ASV5687	0	0	0	0	0	0
