Genus	A0	A1	A2	A3	A4	A5	A6	A9	A12	A14	A16	A17	A19	A20	A26	BS2	G2	G3	LW1	All
Cladorrhinum	0.00677	0.162	0.0271	0.0203	0	0.0339	0.0271	0	0.0135	0.00677	0	0	0	0	0	0	0	0	0	0.1
Cephalotrichum	0	0.0203	0	0	0.0812	0	0.0406	0.00677	0.00677	0	0	0	0	0	0	0	0	0	0	0.1
Knufia	0	0	0	0	0.0812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Naganishia	0	0.00677	0	0	0	0.00677	0.0406	0.0203	0.0135	0	0	0.0135	0.0271	0.0135	0	0	0	0.0474	0	0.1
Minimedusa	0	0	0	0	0.0609	0	0.0812	0.108	0	0	0	0	0	0	0	0	0	0.0677	0	0.1
Paraphoma	0	0.0745	0	0	0	0	0.0474	0	0	0	0	0	0	4.18	0	0	0	0	0	0.1
Podosphaera	0	0	0	0	0	0	0.149	0	0	0.271	0.00677	0	0	0	0	0	0	0.0474	0.0135	0.1
Phlebia	0	0	0.399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Microascus	0	0	0.162	0	0	0	0.0203	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lasiobolidium	0	0.0203	0	0.0745	0.088	0.332	0.102	0.311	0.257	0.122	0	0	0.00677	0	0	0	0	0	0.196	0.1
Laetisaria	0.339	0.494	0.108	0.413	0.433	0.67	0.9	0.833	0.345	0.772	0.0135	0.0135	0.433	0.0745	0	0	0	0	0	0.1
Leptosphaeria	0	0	0	0.454	0.00677	0	0.183	0	0	0	0	0	0	0	0	0	0	0.149	1.59	0.1
Melanospora	0	0.102	0.0542	0	0	0.0812	0	0.00677	0.00677	0	0	0	0	0.00677	0	0	0	0	0	0.1
Marasmius	0.00677	0	0	0	0	0	0	0.00677	0	0	0	0	0.582	0	0	0	0	0	0	0.1
