	LW.1
ASV1	2022
ASV2	471
ASV3	59
ASV4	3
ASV5	333
ASV7	26
ASV6	2330
ASV9	0
ASV10	631
ASV8	14
ASV12	2
ASV15	4
ASV11	45
ASV16	8
ASV14	158
ASV17	3
ASV13	3
ASV18	30
ASV19	3
ASV22	4
ASV21	37
ASV20	43
ASV23	9
ASV27	80
ASV25	2
ASV26	1
ASV69	4
ASV31	6
ASV24	0
ASV34	27
ASV35	13
ASV36	0
ASV29	5
ASV28	43
ASV38	24
ASV33	1
ASV32	14
ASV40	22
ASV30	8
ASV42	14
ASV44	20
ASV39	0
ASV41	5
ASV51	63
ASV37	4
ASV43	35
ASV50	35
ASV46	40
ASV45	4
ASV47	1
ASV59	4
ASV53	40
ASV52	4
ASV49	6
ASV151	53
ASV64	28
ASV56	0
ASV61	0
ASV48	0
ASV58	5
ASV55	23
ASV54	10
ASV66	0
ASV60	9
ASV73	1
ASV62	13
ASV96	65
ASV57	0
ASV83	108
ASV80	1
ASV75	8
ASV68	26
ASV65	1
ASV86	2
ASV63	0
ASV87	5
ASV71	3
ASV76	1
ASV85	93
ASV67	4
ASV82	2
ASV2771	46
ASV79	7
ASV74	9
ASV70	1
ASV72	0
ASV92	36
ASV78	0
ASV77	1
ASV98	5
ASV81	3
ASV84	1
ASV99	58
ASV100	0
ASV90	2
ASV95	47
ASV102	0
ASV104	10
ASV93	54
ASV88	20
ASV101	0
ASV107	1
ASV97	0
ASV89	0
ASV105	3
ASV108	0
ASV91	4
ASV103	19
ASV111	0
ASV106	0
ASV110	0
ASV266	52
ASV131	0
ASV117	0
ASV94	0
ASV113	1
ASV112	2
ASV115	6
ASV239	27
ASV114	20
ASV179	7
ASV170	1
ASV109	1
ASV121	1
ASV123	22
ASV125	111
ASV122	1
ASV116	134
ASV119	7
ASV138	10
ASV2223	16
ASV894	11
ASV445	62
ASV128	10
ASV120	1
ASV140	26
ASV181	2
ASV150	0
ASV124	4
ASV127	0
ASV118	0
ASV145	3
ASV130	4
ASV137	1
ASV146	2
ASV148	33
ASV126	2
ASV220	0
ASV314	15
ASV135	11
ASV129	0
ASV5782	18
ASV152	5
ASV172	0
ASV139	42
ASV155	4
ASV450	9
ASV134	0
ASV154	64
ASV136	5
ASV336	1
ASV143	12
ASV173	8
ASV167	30
ASV132	35
ASV200	1
ASV177	0
ASV142	8
ASV180	0
ASV1946	3
ASV141	0
ASV156	0
ASV211	22
ASV158	16
ASV149	0
ASV3207	8
ASV160	40
ASV147	2
ASV144	1
ASV193	13
ASV161	0
ASV290	1
ASV133	1
ASV192	49
ASV201	7
ASV163	0
ASV157	5
ASV166	0
ASV165	0
ASV280	1
ASV195	0
ASV2187	5
ASV153	0
ASV279	6
ASV162	25
ASV164	3
ASV174	0
ASV183	1
ASV4105	2
ASV168	47
ASV178	19
ASV5245	0
ASV176	19
ASV216	0
ASV208	86
ASV171	0
ASV223	10
ASV206	0
ASV199	1
ASV3824	7
ASV205	1
ASV250	14
ASV727	0
ASV185	6
ASV235	6
ASV194	2
ASV169	8
ASV189	141
ASV182	0
ASV159	1
ASV188	14
ASV191	2
ASV258	1
ASV175	0
ASV322	11
ASV215	28
ASV204	0
ASV2583	3
ASV249	119
ASV224	1
ASV2008	5
ASV213	6
ASV289	4
ASV186	3
ASV310	5
ASV197	1
ASV226	0
ASV202	0
ASV225	47
ASV248	11
ASV356	3
ASV207	75
ASV309	24
ASV198	4
ASV253	0
ASV184	1
ASV478	10
ASV203	5
ASV563	5
ASV240	14
ASV330	0
ASV247	0
ASV219	1
ASV236	2
ASV190	3
ASV210	3
ASV3327	0
ASV230	4
ASV256	4
ASV187	0
ASV232	0
ASV217	0
ASV238	0
ASV1730	1
ASV196	0
ASV237	0
ASV221	27
ASV214	1
ASV242	35
ASV241	14
ASV305	17
ASV228	1
ASV741	48
ASV2618	0
ASV261	13
ASV231	82
ASV288	5
ASV209	0
ASV3485	6
ASV245	1
ASV265	4
ASV218	0
ASV728	4
ASV227	0
