Genus	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Neopyrenochaeta	0.0164	0	0	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Fusarium	0.131	0.344	0.219	0.167	0.19	0.115	0.331	0.18	0.0753	0.0229	0.00327	0.809	0.2	0.321	0.386	0	0	0.00327	0.00327	0.0229	0.0164	0.00327	0.124	0.0491	0	0.124	0.18	0.108	0.2	0.128	0.0655	0.105	0	0.00655	0.308	0.00982	0	0.144	0.0622	0	0.547	0	0.792	0.1
Neosetophoma	0	0	0	0	0	0	0	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557	0	0	0	0	0	0	0	0	0	0	0.1
Neoschizothecium	0	0	0	0	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Greletia	0.0491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Melanconiella	0	0	0	0	0	0.0458	0	0	0	0	0.0589	0	0	0	0	0	0	0	0	0	0.00982	0	0	0.0229	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0.1
Lasiobolidium	0	0	0.00327	0.236	0.0164	0.00327	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0.00655	0.0164	0	0	0	0.0131	0	0	0	0	0	0	0.00327	0	0	0.00982	0	0.1
Leptosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0229	0	0	0	0	0	0.00327	0	0	0	0	0	0	0.00327	0	0	0	0.00327	0	0.0753	0	0.1
Metapochonia	0	0.00982	0.0262	0.0327	0	0	0.0229	0	0	0	0	0.00982	0.00655	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0.00327	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.1
Monosporascus	0.00982	0	0	0.00655	0	0	0	0	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0	0.1
Heydenia	0.196	0.0393	0	0.0393	0.00655	0.0131	0	0.00655	0	0	0	0.00327	0.0164	0	0.0196	0	0	0	0	0	0	0	0.00327	0	0	0	0	0.036	0.0393	0	0.00655	0.0131	0	0.105	0	0	0	0	0	0	0	0.0589	0	0.1
Issatchenkia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Phlebia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557	0	0	0	0	0	0	0	0	0.00327	0.1
Phialophora	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0.00327	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Phallus	0	0	0	0.00655	0	0.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Phlyctis	0.00327	0.00655	0	0.00327	0	0	0.00655	0	0	0.00327	0	0	0	0.00655	0	0	0	0	0	0	0.00327	0.00655	0.00327	0	0	0	0.00655	0.00327	0.00327	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0	0.1
Psathyrella	0.0229	0.00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Conioscypha	0.0131	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0.128	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0	0	0	0.0164	0.1
Podosphaera	0	0	0	0	0	0.0622	0.0131	0	0	0	0.102	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00982	0.0131	0	0	0	0	0	0	0	0	0.00982	0	0	0.00655	0.1
Davidiella	0.072	0.39	0.0655	0.236	0.18	0.0557	0.21	0.0524	0.308	0.0688	0	0.327	0.0327	0.18	0.0917	0.0196	0.00327	0	0	0.0262	0	0.275	0.305	0	0	0	0.229	0.18	0.229	0.154	0.0655	0.105	0	0	0.16	0.147	0	0.416	0.337	0.00655	0.00327	0.0458	0.0196	0.1
Panaeolus	0.0131	0.00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0	0	0	0	0	0.00327	0	0	0	0.00655	0	0	0.00327	0	0.00327	0	0	0	0	0	0.00327	0.00982	0	0.00327	0	0	0.1
Ovatospora	0	0	0	0	0	0.00327	0	0.00327	0.0491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Funneliformis	0.00327	0	0	0	0	0.373	0	0	0	0.0196	0	0	0.0164	0.0131	0	0.102	0	0	0	0	0	0	0.00982	0	0	0.0622	0	0.0196	0.0229	0.00327	0.036	0	0	0	0	0	0.0196	0.00327	0	0.0196	0	0.00327	0.0164	0.1
Paracremonium	0	0	0	0	0	0	0.00327	0	0	0.0622	0	0	0	0	0	0	0	0.0884	0	0	0	0	0	0	0	0.0491	0	0	0	0	0	0	0.0458	0	0	0	0	0	0	0	0	0	0.00327	0.1
Debaryomyces	0	0	0	0.0131	0	0	0	0	0.0458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Peniophora	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Diplogelasinospora	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0.1
