Genus	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Papiliotrema	0.00982	0.0884	0.0884	0.0196	0.115	2.04	0.138	0.0786	0.102	0.0884	0	0.432	0.0295	0.111	0.305	0.432	0	0.383	0.337	0.0982	0.0262	0.416	0.0589	0.501	0.0458	0.409	0.0753	0.0262	0.229	0.0426	0.223	0.275	0.35	0.593	0.0196	0.00655	0.0458	0.00655	0.0196	0.105	0.00327	0.0131	0.0982	0.4
Mrakia	0.213	0.0786	0	0.0458	0.0982	0.00327	0.036	0.00655	0.0622	0.134	0	0.0426	0.105	0.036	0.0131	0.00327	0	0.00327	0	0.00327	0.0491	0	0.0917	0	0.0655	0.0688	0.19	0.095	0.0491	0.0557	0.00655	0.072	0.00655	0	0.0786	0.00655	0.00327	0.0196	0.0524	0.00655	16	0.0557	0.0786	0.4
Malassezia	0.0295	0.0295	0.0262	0.0524	0.0164	0.0196	0.0851	0.0524	0.0196	0.0917	0	0.0688	0.0262	0.16	0.18	0.0753	0.0426	0.242	0	0	0.0262	0.0819	0.00982	0.0262	0.0884	0.223	0.0131	0.0196	0.0393	0.0622	0.0393	0.0655	0.583	0	0.00327	0	0.0917	0	0.0295	0.036	0	0.00655	0.00327	0.4
Thanatephorus	0.0884	0.0327	0.00327	0.0295	0.00982	0.0327	0.00655	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0.00982	0.00982	0	0	0.0164	0	0.0131	0.00655	0.00655	0.00327	0.193	0	0	0	0	0	0	0	0.00655	0	0.00327	0.4
Catenaria	0	0.0131	0.00655	0.0229	0.0196	0.00327	0.0688	0	0.0688	0	0	0.00655	0	0.00655	0.0229	0	0	0	0	0	0	0	0.00982	0	0	0	0.00655	0.0164	0.00655	0	0.0426	0.0327	0	0	0	0	0	0	0	0	0	0	0	0.4
Ceratobasidium	0.00982	0	0	0	0.0196	0.0164	0.00327	0.00327	0	0	0	0	0.0295	0	0.0196	0	0	0	0	0.111	0	0	0.00982	0	0	0	0	0.0229	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0	0.00655	0.4
Symmetrospora	0.00327	0	0	0.00655	0	0	0.00982	0	0	0.036	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0.0295	0	0.00655	0	0.0491	0	0	0	0.0196	0.0229	0	0	0	0.0229	0.4
Rhodotorula	0.0196	0.128	0.16	0.0229	0.0393	0.0491	0.0393	0.17	0.036	0.0589	0	0.0851	0.00327	0.036	0.0426	0.35	0.0262	0.0753	0	0	0	0	0.0164	0.524	0	0.0884	0.00982	0.102	0.0164	0.00327	0	0.00655	0.118	0	0	0	0	0	0	0	0	0.0524	0.00327	0.3
Paradictyoarthrinium	0.0295	0.0229	0	0.0655	0.00327	0.00327	0	0.036	0.0295	0	0	0.0458	0.0327	0	0.00982	0.036	0	0	0	0	0	0	0.0327	0	0	0.0589	0.0393	0.0262	0.0131	0.0131	0.0262	0.036	0.111	0	0.00327	0	0	0	0	0	0	0.734	0.00655	0.3
Hannaella	0.0557	0.0491	0.0196	0.0426	0.0295	0.0622	0.0557	0	0	0	0	0.0589	0.0262	0	0.0491	0	0	0	0.00327	0	0	0	0.036	0.0589	0	0	0.0229	0.0295	0.0884	0.00982	0.0819	0.134	0	0	0.036	0.036	0	0.0589	0.072	0.0327	0	0.403	0.108	0.3
Sporobolomyces	0.0589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0229	0.00982	0	0.0393	0.0327	0	0	0.0196	0	0.3
Entoloma	0.00327	0	0	0	0	0.0262	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557	0	0	0.00982	0	0	0	0	0	0	0	0.00982	0.00655	0.00327	0.00982	0.00655	0	0	0.00982	0	0.3
Corymbiglomus	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0.00655	0.00327	0.167	0.0131	0.0164	0.0491	0.00327	0	0	0.3
