Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Pir4_lineage	0.358	0.13	0.156	0.0991	0.0533	0.107	0.0381	0.0686	0.0343	0.0991	0.0114	0.019	0.0152	0.019	0.00381	0.061	0.0267	0.0571	0.0419	0.16	0.0952	0.103	0.126	0.133	0.141	0.152	0.103	0.0762	0.08	0.0495	0.0686	0.339	0.682	0.324	0.472	0.419	0.309	0.514	0.0571	0.6
Polycyclovorans	0.434	0.335	0.267	0.156	0.137	0.183	0.0991	0.0762	0.0152	0.152	0.00762	0	0	0	0	0.0114	0.00381	0.00381	0.00381	0.312	0.00381	0.00381	0.00762	0.278	0.213	0.29	0.259	0.107	0.137	0	0	0.335	0.754	0.751	0.831	2.26	0.107	0.229	0.0305	0.6
Rubellimicrobium	0.13	0.339	0.282	0.217	0.225	0.251	0.179	0.183	0.08	0.278	0.0914	0.0991	0.0343	0.0457	0.0495	0.0724	0.0343	0.0229	0.0419	0.32	0.08	0.0457	0.0686	0.255	0.183	0.236	0.225	0.244	0.263	0.0229	0.0343	0.0419	0.0229	0.114	0.114	0.00762	0.019	0.0267	0.0876	0.5
Brevundimonas	0.32	0.316	0.282	0.271	0.274	0.248	0.297	0.312	0.446	0.229	0.541	0.446	2.03	2.48	3.46	3.35	3.28	2.48	2.45	0.263	1.63	1.63	1.17	0.274	0.278	0.183	0.217	0.213	0.278	2.32	1.73	0.0229	0.0533	0.164	0.0495	0.0267	0.137	0.061	0.194	0.5
Peredibacter	0.347	0.156	0.0838	0.0533	0.0686	0.0571	0.0686	0.0267	0.0305	0.118	0.11	0.347	0.705	0.724	0.732	0.309	0.446	0.278	0.351	0.141	0.545	0.693	0.286	0.0952	0.08	0.122	0.0724	0.0686	0.0724	0.545	0.606	0.0381	0.019	0.0267	0.00762	0.0114	0.0343	0.0419	0.00381	0.5
Massilia	2.11	2.48	3.98	3.81	3.6	4.16	4.96	3.7	3.31	1.78	3.11	2.35	1.23	0.773	0.8	0.476	0.316	0.324	0.213	1.99	0.282	0.271	0.419	2.55	2.32	2.91	2.96	1.97	2.27	1.33	0.705	0.629	0.145	1.25	0.549	0.141	0.0914	0.236	0.732	0.5
Bacillus	0.404	0.434	0.457	0.522	0.366	0.431	0.446	0.373	0.309	0.358	0.217	0.19	0.0152	0.019	0.0343	0.00381	0.0343	0.0114	0.0152	0.442	0.019	0.0114	0.0152	0.442	0.301	0.404	0.518	0.4	0.358	0.0152	0.0343	2	1.81	2.41	2.89	1.26	0.11	0.377	0.583	0.4
Chryseobacterium	0.251	0.213	0.168	0.335	0.373	0.389	0.461	0.411	0.842	0.103	0.45	0.545	0.842	0.834	0.964	1.42	1.06	1.39	1.61	0.202	0.552	0.64	0.385	0.114	0.305	0.149	0.19	0.339	0.286	4.02	1.56	0.0267	0.373	0.0419	0.0229	0.0495	0.152	0.0495	1.23	0.4
Chthoniobacter	0.354	0.0914	0.0533	0.0305	0.0381	0.0381	0.0419	0.0419	0.0229	0.08	0.0229	0.00762	0.0229	0.0457	0.0419	0.0876	0.118	0.137	0.168	0.08	0.206	0.145	0.08	0.0952	0.0419	0.0762	0.061	0.0229	0.0381	0.0419	0.0381	0.0762	0.175	0.11	0.0724	0.347	0.0838	0.141	0.0152	0.4
Dyadobacter	2.26	0.888	0.709	0.64	0.533	0.697	0.781	0.762	1.51	0.495	1.99	2.4	0.785	1.25	1.39	1.2	1.55	1.84	1.91	0.709	3.63	2.16	1.58	0.575	0.571	0.827	0.629	0.808	0.682	1.85	3.31	0.301	1.23	0.312	0.381	0.32	1.32	0.457	0.594	0.4
