Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Rheinheimera	0.747	0.381	0.168	0.118	0.0991	0.0991	0.0762	0.061	0.0152	0.122	0.0305	0.0648	0.0343	0	0	0.0343	0.0114	0	0.0457	0.286	0.183	0.00762	0.0343	0.183	0.126	0.179	0.152	0.0495	0.0991	0	0.0114	0	0	0	0	0	0.0381	0.0229	0.00381	0.2
Luteolibacter	0.842	0.278	0.141	0.0838	0.0952	0.103	0.16	0.164	0.152	0.145	0.103	0.122	1.41	2.59	3.28	4.32	4.03	3.6	3.12	0.229	2.22	1.29	0.804	0.263	0.206	0.232	0.107	0.0876	0.0571	2.5	1.89	0.0114	0.0914	0.0229	0.0267	0.0381	0.301	0.0952	0.0152	0.2
Bryobacter	0.061	0.0419	0.0267	0.0229	0.0114	0.00381	0.019	0.0152	0.0152	0.0381	0	0.00762	0	0.0114	0.00381	0.00381	0	0.00762	0.00381	0.019	0.0114	0.00381	0.00381	0.0267	0.019	0.0152	0.0152	0.019	0.0114	0	0.00762	0.0457	0.168	0.0419	0.0229	0.0267	0.0267	0.0495	0.00762	0.2
Microvirga	0.293	0.423	0.411	0.335	0.396	0.324	0.453	0.522	0.358	0.331	0.236	0.198	0.16	0.164	0.168	0.168	0.133	0.118	0.164	0.396	0.206	0.141	0.19	0.419	0.316	0.438	0.339	0.354	0.354	0.179	0.183	0.0686	0.0229	0.171	0.0991	0.00381	0.0267	0.202	0.427	0.2
Rhodococcus	0.19	0.145	0.187	0.16	0.225	0.171	0.137	0.16	0.282	0.118	0.171	0.145	1.14	0.762	0.674	0.602	0.522	0.552	0.53	0.141	0.632	0.568	1.45	0.164	0.183	0.175	0.221	0.16	0.122	0.434	0.476	0.0533	0.00381	0.0381	0.0457	0	0.0305	0.0686	0.217	0.2
Litorilinea	0.0914	0.0229	0.0152	0.00762	0.00381	0.0152	0.00762	0.0152	0.00381	0.0267	0	0	0.00381	0	0.00381	0.00762	0	0	0	0.00762	0	0	0.00762	0.019	0.0229	0.0152	0.00762	0.0114	0.0152	0.00381	0.0114	0.389	0.545	0.187	0.206	0.187	0.145	0.229	0.13	0.2
Candidatus_Nitrososphaera	0.728	0.206	0.133	0.137	0.103	0.08	0.114	0.0419	0.0305	0.16	0.00762	0.0229	0	0	0.00381	0.00762	0.00762	0.00762	0.00762	0.259	0.00762	0.00381	0.019	0.206	0.213	0.183	0.133	0.0991	0.0952	0.00762	0	0.118	0.541	0.171	0.37	0.766	0.00381	0.297	0.0533	0.2
Gemmata	0.0381	0.019	0.00762	0.0267	0.019	0.00381	0.0305	0.00381	0.00381	0.0267	0	0	0.00381	0	0	0	0.00381	0.00762	0.00381	0.0343	0	0.00762	0.0114	0.0305	0.00381	0.0267	0.0152	0.00762	0.0152	0.00381	0	0.152	0.149	0.061	0.0914	0.0533	0.0419	0.11	0.0114	0.2
Legionella	0.0114	0.0114	0	0.00381	0.00762	0	0	0	0	0.00762	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0.00762	0.00381	0	0.08	0.175	0.0952	0.0495	0.145	0.0305	0.0838	0.00762	0.2
Nakamurella	0.019	0.0381	0.0114	0.0229	0.0305	0.0267	0.0305	0.019	0.00762	0.0343	0.0114	0.0114	0.00381	0.0114	0.0267	0.0152	0.00381	0.00762	0.0152	0.0343	0.0267	0.00381	0.0114	0.0267	0.019	0.0419	0.0229	0.0305	0.0381	0.00381	0.00762	0.0571	0.0991	0.171	0.118	0.0762	0.0381	0.0571	0.0419	0.1
Parapedobacter	0.0419	0.00762	0.0229	0.00381	0.00762	0.0114	0.00762	0.00381	0	0.0229	0.00381	0.00762	0.00381	0.0267	0	0.019	0.00381	0.0152	0.0152	0.0114	0.0305	0.0343	0.678	0.0267	0.0152	0.019	0.0152	0.00762	0	0.13	0.061	0.00381	0	0	0	0.00381	0	0.00381	0	0.1
Rhodocytophaga	0.171	0.0724	0.0457	0.019	0.0305	0.0229	0.0419	0.0381	0.0152	0.0419	0.0343	0.0343	0.0267	0.103	0.0305	0.0457	0.0381	0.0495	0.019	0.0571	0.0267	0.0571	0.107	0.0419	0.0533	0.0305	0.019	0.0381	0.019	0.00762	0.0114	0.019	0.00381	0.0495	0.061	0	0.00762	0.019	0.0381	0.1
Hyphomicrobium	0.13	0.126	0.103	0.0571	0.0571	0.0571	0.0686	0.0305	0.0533	0.08	0.0229	0.0114	0.00762	0.019	0.0267	0.0267	0.0229	0.0305	0.019	0.0952	0.0495	0.0267	0.0229	0.0914	0.0648	0.0952	0.13	0.0457	0.0495	0.0305	0.0762	0.16	0.328	0.156	0.13	0.107	0.255	0.24	0.0343	0.1
Pseudospirillum	0.0876	0.0343	0.0343	0.0229	0.00381	0.0152	0.0114	0.0152	0.00381	0.0381	0	0.00381	0.00381	0	0.00762	0.00762	0.0114	0.0114	0	0.0305	0.00381	0.0114	0.0229	0.0267	0.0152	0.0229	0.0114	0.0114	0.0114	0	0.00762	0.0267	0.0419	0.0114	0.00381	0.0305	0.0533	0.11	0.00381	0.1
Marmoricola	0.0724	0.0838	0.103	0.0724	0.103	0.0762	0.0724	0.0457	0.103	0.0914	0.107	0.0343	0.0381	0.0419	0.0762	0.0381	0.0229	0.0343	0.0648	0.0571	0.0457	0.0419	0.0571	0.0991	0.061	0.107	0.122	0.0762	0.0419	0.0571	0.0267	0.0457	0.0114	0.0762	0.0495	0	0.0381	0.164	0.0343	0.1
Chitinophaga	0.145	0.0571	0.0381	0.019	0.0267	0.0419	0.0229	0.0114	0.0114	0.0381	0.00381	0.00381	0.00381	0	0.00381	0.0114	0.00381	0.0114	0.00762	0.0724	0.00381	0.0152	0.0152	0.0419	0.0381	0.0381	0.0305	0.0229	0.0229	0.00762	0.00762	0.133	0.0876	0.0533	0.0419	0	0.187	0.0152	0	0.1
Agaricicola	0.0419	0.0495	0.0267	0.0381	0.019	0.0267	0.0305	0.0419	0.0343	0.0571	0.0648	0.08	0.0724	0.11	0.156	0.179	0.141	0.32	0.259	0.0495	0.274	0.248	0.236	0.061	0.0419	0.0381	0.0381	0.0343	0.0267	0.133	0.221	0.0114	0.00762	0.0305	0.0305	0.0457	0.00381	0.0533	0.061	0.1
Caulobacter	0.0724	0.08	0.0381	0.0305	0.0305	0.0457	0.019	0.019	0.0305	0.0381	0.019	0.0229	0.392	0.991	0.869	1.19	0.911	0.918	1.19	0.0457	0.693	0.735	0.526	0.0419	0.0495	0.0571	0.0343	0.019	0.0495	0.351	0.423	0.114	0.149	0.171	0.0724	0.0914	0.583	0.0457	0.0152	0.1
Cellulomonas	0.0724	0.377	0.549	0.411	0.339	0.476	0.351	0.362	0.183	0.37	0.164	0.152	0.0686	0.0762	0.0724	0.0914	0.0229	0.0457	0.0419	0.411	0.0419	0.0762	0.168	0.381	0.354	0.484	0.537	0.37	0.392	0.0571	0.019	0.126	0.0114	0.305	0.21	0.0229	0.0114	0.0381	0.149	0.1
Prosthecobacter	0.118	0.0381	0.00762	0.0152	0.00381	0.0114	0.019	0.0114	0	0.0114	0	0.00381	0.00381	0.00381	0	0.00762	0	0.00381	0.00762	0.0267	0.00381	0.00381	0.00762	0.0229	0.0229	0.0343	0.0229	0.00762	0.0229	0.0229	0.0267	0.00381	0.0267	0.00762	0.00762	0.0419	0.0419	0.0533	0.00381	0.1
I-8	0.0152	0.019	0.0152	0.00762	0.00762	0.00381	0	0.00381	0.00762	0.00381	0	0.00381	0	0	0	0	0	0.00381	0.00381	0.0152	0	0	0	0.00762	0	0.019	0.00762	0	0.0114	0	0.00381	0.0991	0.229	0.0838	0.0876	0.137	0.00381	0.00762	0.00762	0.1
Saccharibacillus	0.0457	0.0343	0.0838	0.0991	0.0876	0.0686	0.0876	0.187	0.0686	0.0152	0.0533	0.0343	0.00381	0.0114	0	0	0	0.00381	0	0.0343	0.0152	0	0.00381	0.0648	0.347	0.13	0.0686	0.0876	0.122	0.0343	0.00381	0	0	0.00381	0	0	0	0	0.061	0.1
hgcI_clade	0.0724	0.202	0.171	0.114	0.0876	0.126	0.21	0.0762	0.061	0.213	0.0495	0.0267	0	0	0.00381	0.00381	0	0	0	0.24	0	0	0	0.202	0.19	0.202	0.171	0.0991	0.126	0	0	0	0	0	0	0	0	0	0	0.1
Sphingobium	0.0152	0.0305	0.00381	0.0152	0.00381	0.019	0.0152	0.00762	0.0343	0.0152	0.00762	0.00381	0.019	0.0152	0.0114	0.00762	0.00381	0.00762	0.019	0.0267	0.0152	0.00762	0.0152	0.0267	0.0152	0.0229	0.00762	0.0152	0.0114	0.0571	0.0114	0.0114	0.00381	0.0114	0.00762	0.00762	0.0648	0.00762	0.168	0.1
Asticcacaulis	0.0114	0	0.00381	0	0.0152	0.019	0.019	0.0229	0	0.0305	0.00381	0.00381	0.0114	0.0229	0.0305	0.0381	0.213	0.0648	0.0305	0.0114	0.019	0.0381	0.00762	0.00762	0.00381	0.0114	0.0114	0.0152	0.019	0.0114	0.0152	0.019	0.00381	0.0114	0.0152	0.0876	0.0876	0.0229	0	0.1
Arenimonas	0.183	0.271	0.137	0.08	0.0876	0.0762	0.08	0.133	0.08	0.183	0.0571	0.0495	0.0952	0.13	0.16	0.16	0.198	0.171	0.286	0.16	0.24	0.236	0.133	0.141	0.126	0.114	0.118	0.0571	0.0838	0.0952	0.248	0.0152	0.00381	0.0152	0.0114	0.0343	0.0305	0.0457	0.00762	0.1
Euzebya	0.0267	0.0991	0.0381	0.019	0.0305	0.0267	0.0229	0.019	0.00381	0.0381	0.00381	0	0	0.00762	0.00762	0.00762	0.00381	0	0.00762	0.0457	0	0.00762	0.0114	0.0571	0.0495	0.0495	0.0419	0.0343	0.0305	0.00762	0.00762	0.00762	0.00381	0.019	0.00762	0.00381	0.00381	0.00762	0.00381	0.1
Rufibacter	0.469	0.152	0.206	0.217	0.225	0.175	0.312	0.251	0.457	0.137	0.236	0.236	0.114	0.0952	0.152	0.0762	0.107	0.118	0.0305	0.198	0.0495	0.0724	0.0762	0.149	0.0838	0.152	0.168	0.114	0.149	0.00762	0.0267	0.0838	0.00381	0.0648	0.00762	0	0	0.00381	0	0.1
Woodsholea	0.0229	0.019	0.00762	0.0114	0.0229	0.0229	0.00762	0.019	0.0114	0.0343	0.00381	0	0.00381	0	0	0	0.00381	0.00762	0.00381	0.0419	0.00762	0.00762	0.00381	0.0114	0.00381	0.019	0.00762	0.00762	0.019	0.00381	0	0.0495	0.0267	0.0457	0.0419	0.0229	0.0686	0.0952	0.00762	0.1
Candidatus_Protochlamydia	0.0533	0.0152	0.00381	0.0114	0	0.00762	0	0	0.00381	0.0152	0.00381	0	0.00381	0.00762	0	0	0	0	0	0.019	0	0	0	0.0114	0.0114	0.0229	0.0114	0.00762	0.0114	0.00762	0	0.0876	0.0648	0.00381	0.0419	0.00762	0.00381	0.24	0.0229	0.1
Roseiflexus	0.0229	0.0305	0.019	0.00381	0.00762	0.00762	0.00381	0.0114	0.00762	0.0114	0	0.00381	0.00381	0	0	0	0	0.00381	0	0.019	0	0	0	0.0114	0.0114	0.00762	0.0229	0.00762	0.0114	0.00381	0	0.0267	0.0381	0.0419	0.0419	0.0533	0.0533	0.0533	0.0381	0.1
Taibaiella	0.312	0.0457	0.0533	0.0152	0.0381	0.0229	0.0229	0.0152	0.00762	0.0419	0	0.0114	0.00762	0.00381	0.0152	0.00762	0.0229	0.00381	0.00381	0.0571	0.00762	0.0114	0.0381	0.0381	0.019	0.061	0.0457	0.0229	0.0343	0.00381	0.0114	0.00762	0.0914	0.0952	0.0229	0.0952	0.0419	0.141	0.00762	0.1
Skermanella	0.0457	0.103	0.08	0.0762	0.0571	0.061	0.061	0.0267	0.0343	0.0686	0.0152	0.0114	0.00381	0.00381	0.00762	0.00762	0.00381	0.00762	0	0.08	0.0114	0.00381	0.00762	0.08	0.0419	0.103	0.0952	0.0457	0.0229	0.0152	0.00381	0.141	0.0838	0.16	0.0838	0.0686	0.0648	0.0838	0.0914	0.1
Flavitalea	0.107	0.0419	0.019	0.0305	0.00762	0.0343	0.0229	0.00762	0.0152	0.0419	0.0152	0.00762	0.0152	0.0457	0.0419	0.0495	0.0762	0.0952	0.0571	0.0419	0.0419	0.0571	0.0267	0.0229	0.0305	0.0533	0.0152	0.019	0.0381	0.0381	0.0381	0.0838	0.118	0.0152	0.0648	0.0343	0.0152	0.126	0.0419	0.1
Geodermatophilus	0.0305	0.118	0.0686	0.0571	0.0686	0.0724	0.0648	0.0305	0.0114	0.0838	0.019	0.0229	0.00762	0.00381	0.0114	0.00762	0.00762	0.00381	0.00381	0.141	0.00762	0.00381	0.0114	0.145	0.11	0.0914	0.0914	0.0571	0.0762	0.00381	0.00381	0.0457	0	0.0762	0.0533	0.00762	0.00762	0.061	0.0305	0.1
Stenotrophomonas	0.316	0.533	0.392	0.4	0.309	0.37	0.507	0.45	0.282	0.293	0.194	0.149	0.145	0.0914	0.152	0.202	0.156	0.179	0.11	0.381	0.0991	0.11	0.0952	0.671	0.373	0.358	0.32	0.236	0.312	1.33	0.175	0.00381	0.0762	0.061	0.0229	0.0305	0.0914	0.00762	0.0724	0.1
Paucimonas	0.0952	0.0952	0.114	0.126	0.0762	0.118	0.133	0.11	0.171	0.126	0.08	0.11	0.0343	0.0114	0.0267	0.0114	0.00762	0.0229	0.00762	0.0838	0.019	0.0305	0.0343	0.061	0.0686	0.103	0.0876	0.0762	0.0571	0	0.0152	0.0152	0.0343	0.019	0.0152	0.00762	0	0.0229	0.0267	0.1
Nordella	0.0533	0.0419	0.0114	0.0152	0.0114	0.019	0.0114	0.0114	0.0152	0.0229	0	0.00381	0	0.00381	0.019	0.0114	0.0114	0.0152	0.00381	0.0229	0	0.00762	0.00762	0.0229	0.0305	0.019	0.019	0.0152	0.0152	0.0152	0.00381	0.198	0.263	0.118	0.0914	0.122	0.145	0.145	0.0152	0.1
Burkholderia	0.00381	0.08	0.0838	0.0914	0.0762	0.156	0.122	0.114	0.114	0.156	0.0305	0.0419	0.0419	0.0991	0.061	0.0724	0.0533	0.0762	0.0991	0.137	0.0724	0.103	0.061	0.0686	0.103	0.122	0.0762	0.149	0.107	0.0381	0.0457	0.0114	0.0686	0.0914	0.061	0.168	0.0229	0.0419	0.019	0.1
Blastococcus	0.0305	0.206	0.175	0.122	0.11	0.152	0.0457	0.0686	0.0686	0.16	0.0267	0.019	0.00381	0.019	0.00381	0.0114	0.00381	0.00381	0.0114	0.145	0.0229	0.019	0.0114	0.0838	0.141	0.107	0.0991	0.107	0.122	0.0114	0.00381	0.061	0	0.11	0.08	0.0457	0	0.0267	0.0343	0.1
Illumatobacter	0.0305	0.0533	0.0457	0.0229	0.0114	0.019	0.0267	0.019	0.0114	0.019	0.00381	0	0	0.0152	0.00381	0.0114	0.00762	0.00762	0.00762	0.0533	0.00762	0.0114	0.019	0.00762	0.0229	0.0267	0.0343	0.0114	0.019	0	0.00381	0.0343	0.0152	0.0114	0.0229	0.00381	0.0152	0.0305	0.0114	0.1
Pseudonocardia	0.00381	0.0495	0.0381	0.0229	0.0267	0.0229	0.019	0.0343	0.00762	0.0381	0	0.019	0.00381	0.00381	0	0.0114	0.00381	0.00381	0.0152	0.0343	0.00762	0.00381	0	0.0152	0.0381	0.0267	0.0152	0.019	0.0229	0.00381	0.00762	0.0305	0.00381	0.0419	0.0533	0.0267	0.0152	0.0343	0.0152	0.1
Microlunatus	0.0229	0.0229	0.0724	0.0305	0.0267	0.019	0.019	0.0229	0.019	0.0648	0.0305	0.0114	0.00762	0.00762	0.0152	0.00762	0	0.00762	0.00381	0.0419	0.019	0.00381	0	0.0343	0.0457	0.0419	0.0724	0.0495	0.0267	0.00762	0.00381	0.0571	0.107	0.183	0.175	0.0457	0.0381	0.0648	0.0419	0.1
Nannocystis	0.0152	0.0152	0.0229	0.019	0.00762	0.019	0.00762	0.0267	0.0114	0.0457	0	0	0	0	0	0	0.00762	0	0	0.019	0.00762	0.00762	0	0.019	0.0343	0.0152	0.0229	0.0114	0.00762	0.00762	0.0152	0.00381	0.0114	0.08	0.0571	0.00381	0.00381	0.0305	0.00381	0.1
Modestobacter	0	0.0381	0.0267	0.0267	0.0533	0.0381	0.019	0.00381	0.00762	0.0305	0.00762	0.00762	0	0	0	0	0	0.00381	0	0.0267	0	0.00381	0.00762	0.0343	0.0495	0.0381	0.0267	0.0343	0.0229	0	0.00381	0.0343	0	0.00381	0.019	0	0.00381	0.00381	0.00762	0.1
Candidatus_Entotheonella	0.0267	0.00381	0.0114	0.00381	0.00381	0.0152	0.00381	0	0	0.0114	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0.00762	0.0114	0.00762	0.0152	0.00762	0.00381	0	0	0.0457	0.0533	0.0381	0.0152	0.0419	0.00762	0.0114	0.00381	0.1
Blastopirellula	0.0571	0.019	0.0381	0.0114	0.00381	0.0114	0.00762	0.00381	0	0.0114	0	0.00381	0	0	0.00381	0	0	0	0	0.00762	0.00762	0	0	0.0229	0.0114	0.0381	0.0114	0.0152	0.00762	0	0	0.149	0.122	0.0648	0.0724	0.0305	0.0648	0.274	0.0152	0.1
Bosea	0.0533	0.183	0.103	0.0991	0.0762	0.0495	0.0686	0.0533	0.0571	0.11	0.019	0.0229	0.0114	0.0381	0.0381	0.08	0.0533	0.0686	0.0762	0.145	0.0724	0.0648	0.0305	0.133	0.061	0.126	0.0991	0.0914	0.11	0.0762	0.08	0.107	0.0686	0.145	0.141	0.0495	0.0952	0.0686	0.0686	0.1
Lautropia	0	0.0724	0.0305	0.0267	0.0114	0.0305	0.00762	0.0305	0.00762	0.061	0.0114	0.0114	0.0114	0.0152	0.00762	0.0267	0.00762	0.0343	0.00762	0.0495	0.0267	0.0305	0.0419	0.0343	0.0343	0.0267	0.0267	0.0343	0.0267	0.00762	0.0114	0.0229	0.00381	0.0343	0.019	0	0.0114	0.0457	0.00762	0.1
Isosphaera	0	0	0.019	0.00381	0.00381	0.0114	0.00381	0	0	0.00381	0.00381	0	0.00762	0	0	0.00762	0	0.00381	0	0.0114	0.00762	0	0	0.00381	0	0.0152	0	0.00381	0.00381	0.00762	0	0.0838	0.0838	0.0457	0.0648	0.019	0.08	0.0381	0.00762	0.1
Hymenobacter	0.0229	0	0.00381	0.0114	0.00381	0.0114	0.0229	0.0114	0.0114	0.00762	0.00381	0.00381	0	0.00381	0.00381	0.00381	0.00762	0.00381	0	0.0152	0.0114	0.00381	0.019	0.0152	0.0152	0.019	0.0152	0.0152	0.019	0	0.00381	0.0267	0.00381	0.0381	0.019	0	0	0.00381	0.0152	0.1
Acidibacter	0.0686	0.0267	0.0152	0.0114	0.0152	0.0114	0.00762	0.0114	0.00381	0.0229	0.00381	0.00381	0	0	0.00381	0	0.00381	0.00381	0	0.0419	0	0	0	0.0114	0.0114	0.0114	0.0305	0	0.0229	0.00762	0.00381	0.0305	0.0229	0.0305	0.0343	0	0.0686	0.0343	0.00381	0.1
SM1A02	0.0229	0.00381	0.0267	0	0.00381	0	0.0114	0	0.0152	0.00762	0	0	0	0	0.00381	0.00381	0	0	0	0.00381	0	0	0	0.00381	0.00381	0.00762	0.00762	0	0	0	0	0.019	0.0648	0.0229	0.0152	0.00381	0.0495	0.0305	0.00381	0.1
Sporichthya	0.0305	0.00762	0.0114	0.00381	0.00381	0.00762	0.00762	0	0	0.0114	0	0	0	0	0.00381	0.00381	0	0	0	0.0229	0	0.00381	0	0.0305	0	0.0152	0.00762	0.00381	0.00381	0	0.00381	0.0381	0.0457	0.0724	0.0648	0.0152	0.0724	0.122	0.0152	0.1
Pseudoxanthomonas	0.183	0.149	0.107	0.0457	0.0762	0.0457	0.0457	0.0991	0.0457	0.0648	0.0267	0.019	0.0686	0.0686	0.0724	0.114	0.122	0.156	0.19	0.114	0.0381	0.0724	0.118	0.107	0.0952	0.0991	0.0724	0.0762	0.0457	0.122	0.0419	0.0114	0.141	0.0533	0.0381	0.305	0.137	0.0152	0.0457	0.1
Sphingopyxis	0.0343	0.103	0.0419	0.0343	0.0152	0.0267	0.0267	0.0267	0.0152	0.0267	0.0114	0.00762	0.0495	0.0648	0.0724	0.061	0.0724	0.08	0.107	0.08	0.0533	0.019	0.019	0.0305	0.0381	0.0381	0.0381	0.0267	0.0267	0.0267	0.0381	0.0114	0.08	0.0343	0.0152	0.00762	0.0952	0.0686	0.0343	0.1
Agromyces	0.0991	0.255	0.225	0.183	0.152	0.183	0.122	0.13	0.08	0.286	0.0914	0.122	0.0571	0.0648	0.0952	0.0952	0.0648	0.0686	0.0495	0.206	0.0991	0.0762	0.137	0.187	0.175	0.175	0.229	0.11	0.152	0.0838	0.0876	0.354	0.423	0.465	0.4	0.248	0.293	0.141	0.0267	0.1
Planococcus	2.93	5.3	6.72	7.69	8.1	7.6	6.18	6.99	6.37	6.69	6.02	4.19	0.282	0.518	0.484	0.4	0.335	0.461	0.45	5.06	0.659	0.545	1.17	7.41	8.65	7.96	10.1	10	10	1.89	2.19	3.11	0.0229	2.37	1.22	0.0267	0.0229	1.02	13.4	0.1
Rubrivirga	0.00762	0.0152	0.0267	0.00762	0.0152	0.0114	0.00762	0.0229	0.00762	0.00762	0.00762	0.019	0.00381	0.00381	0.00381	0.0305	0.0152	0.0114	0.0114	0.0267	0.0343	0.0267	0.0114	0.019	0.0114	0.0305	0.0114	0.0267	0.00762	0.0114	0.0229	0	0	0	0.0152	0	0	0.00381	0.0114	0.1
Nitrosospira	0.0495	0.0648	0.0229	0.0114	0.0152	0.0114	0.00381	0.0114	0.0114	0.0267	0.00381	0.00381	0.0152	0.0114	0	0.00381	0.0114	0.00762	0.0152	0.0419	0.0229	0.0495	0.206	0.0305	0.019	0.0229	0.0229	0.0267	0.0114	0.0343	0.0305	0.45	0.61	0.183	0.126	0.0495	0.0686	1.41	0.0571	0.1
Steroidobacter	0.0152	0.019	0.0343	0.0114	0.0305	0.0305	0.0152	0.00762	0	0.0152	0	0.019	0	0.0152	0	0.00381	0.00762	0.0114	0.00381	0.0419	0	0	0	0.0419	0.0229	0.0305	0.0457	0.0114	0.00762	0	0.0114	0.019	0.00381	0.00762	0	0	0.168	0.019	0.0114	0.1
Niastella	0.0648	0.00762	0.0114	0.00762	0.0152	0.00762	0.00381	0.00381	0.0114	0.0114	0.00762	0	0.0114	0	0.00381	0.00381	0	0.00381	0	0.0114	0.00762	0	0.00381	0.00762	0.0114	0.019	0.00381	0	0.00381	0	0.00381	0.0648	0.0648	0.0571	0.0457	0.0229	0.08	0.263	0.114	0.1
Aquicella	0.019	0.0114	0.00381	0	0	0.00381	0.00381	0	0.00381	0.00762	0	0	0	0	0	0	0.00381	0.00381	0.00381	0.00381	0	0	0	0.00381	0	0.00381	0	0.00762	0	0	0	0.11	0.0381	0.0648	0.0267	0.114	0.019	0.0533	0	0.1
Exiguobacterium	0.465	0.522	1.18	1.23	0.895	0.922	0.838	0.751	0.812	0.606	0.8	0.632	0.0267	0.0267	0.019	0.0533	0.0381	0.0457	0.0381	0.476	0.0419	0.0381	0.0724	0.888	1.36	1.35	1.47	1.25	1.47	0.0724	0.0914	0.0419	0.00381	0.0838	0.0267	0.00381	0	0.0305	5.52	0.1
Sorangium	0.0114	0.0114	0.019	0.0114	0.019	0.0343	0.00381	0.0114	0	0.0267	0.00762	0.00762	0.00381	0.00381	0.00381	0	0.00762	0	0	0.0495	0.00762	0	0.00762	0.0114	0.00762	0.019	0.019	0.0305	0.0152	0	0	0.0152	0.08	0.0457	0.0229	0.0457	0.0114	0.0152	0.00381	0.1
Acidovorax	0.0381	0.0305	0.0229	0.0114	0.0114	0.019	0.0114	0	0	0.0305	0	0	0	0.00381	0	0	0	0.00381	0	0.0343	0.00381	0	0	0.0457	0.0419	0.0381	0.019	0.0495	0.0229	0	0	0.0229	0.0343	0.0152	0.00762	0.0495	0.0419	0.0914	0.0267	0.1
Luteimonas	0.019	0.0648	0.0343	0.0229	0.00762	0.0229	0.0267	0.0152	0.0152	0.0343	0.00381	0.00762	0.0114	0.019	0.0571	0.0533	0.019	0.0381	0.0229	0.0571	0.0229	0.0152	0.019	0.019	0.0229	0.0229	0.0229	0.00762	0.019	0.0571	0.00762	0	0.00381	0	0	0	0	0	0.00381	0.1
Methylobacterium	0.0152	0.00762	0.0305	0.00762	0.0457	0.0419	0.019	0.0114	0.00381	0.0343	0.019	0.00762	0	0.0152	0.00381	0.00762	0.0114	0.019	0.0114	0.0419	0.00762	0.00762	0.00762	0.0305	0.0152	0.0229	0.019	0.0114	0.019	0.0495	0.019	0.019	0.00381	0.019	0.133	0.00381	0.00762	0	0.0229	0.1
Methylobacillus	0.0457	0.0114	0.00762	0.0114	0.0152	0.00381	0.00381	0	0	0.0152	0	0	0	0	0	0	0	0	0	0.0229	0	0	0	0.00381	0.00381	0.00762	0.019	0.0114	0.0114	0.126	0.00381	0	0	0.00381	0	0.0381	0	0.00762	0.00762	0.1
Mucilaginibacter	0.122	0.0495	0.019	0.0152	0.0152	0.019	0.0152	0.0267	0	0.0152	0	0	0	0.00381	0.00381	0	0	0	0.00762	0.0457	0.00381	0	0.0114	0.0114	0.0419	0.0305	0.0229	0.019	0.0114	0	0.00762	0.0152	0.141	0.0305	0.0381	0.0229	0.621	0.133	0	0.1
Roseimicrobium	0.103	0.0305	0.0152	0.019	0.00762	0.00381	0.00762	0.00381	0.00381	0.0152	0	0.00381	0	0.00381	0.00762	0	0.0114	0.00381	0	0	0.00381	0.0229	0	0.00381	0.00381	0.00381	0.00762	0	0.00381	0.00762	0.0267	0.118	0.0952	0.0571	0.0229	0.175	0.0991	0.0533	0.00762	0.1
Simiduia	0	0.0114	0.00381	0	0.00762	0	0	0	0	0.00762	0.00381	0	0	0.00381	0	0.0152	0.0991	0.11	0.019	0.00381	0.0533	0.0343	0.103	0	0	0	0.00381	0	0.0152	0.126	0.103	0	0	0	0	0	0	0	0	0.1
OM27_clade	0.019	0.0229	0.0114	0.00381	0.00381	0.0114	0.00381	0	0	0.0229	0	0.00381	0	0	0	0	0	0.00381	0	0.019	0.00762	0	0.0152	0.0152	0.019	0.00762	0.00381	0.00381	0.0152	0.0114	0.00381	0.00762	0	0	0.00762	0.00381	0	0.0152	0	0.1
Aquabacterium	0.0229	0.019	0.00381	0.0114	0.0229	0.0229	0.019	0.019	0.00381	0.0152	0.0114	0.00381	0	0.00381	0	0.00381	0.0114	0.0152	0.0457	0.0152	0.00381	0.00762	0	0.0152	0.00762	0.0267	0.0114	0.0152	0.0114	0	0.00381	0.00381	0.00381	0	0.08	0.00381	0	0	0	0.1
Agrococcus	0.156	0.69	0.655	0.541	0.674	0.8	0.53	0.518	0.629	0.385	0.602	0.469	0.133	0.229	0.164	0.13	0.0876	0.164	0.118	0.507	0.202	0.21	0.354	0.469	0.545	0.621	0.61	0.499	0.594	0.187	0.122	0.175	0.0381	0.758	0.484	0.00381	0.217	0.11	0.373	0.1
Olivibacter	0.061	0.019	0.00381	0.0152	0.0152	0.019	0.0229	0.019	0.0114	0.0114	0.00762	0	0.00762	0	0	0.00762	0.00381	0	0.00762	0.019	0.00381	0.0114	0.183	0.0114	0.0267	0.0152	0.0229	0.0114	0.0152	0.0229	0	0	0	0	0.00762	0	0	0	0	0.1
Actinomycetospora	0.0114	0.0343	0.0343	0.0267	0.0152	0.0114	0.0229	0.0152	0.0114	0.0381	0.019	0.0114	0	0	0	0	0	0.00381	0.0114	0.0343	0.00381	0	0.00762	0.019	0.0267	0.0267	0.0381	0.0305	0.019	0.00381	0	0.00762	0.00381	0.00762	0.0152	0.00381	0	0.00381	0	0.1
