Class	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SST	SST	SST	SST	SST	SST	SST	SST	SSF	SST	SST	SST	SSF	SSF	SSF	SSF	SSF	SSF	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP
k__Fungi	65.8134255305855	54.7394448138298	40.497067059088	58.5315070730164	55.6344716521452	36.1490600712973	50.3800753970706	35.5042103953209	46.2705461970393	43.3728075530053	0.360218751023349	56.7069018879604	44.8501564301004	47.0922190796672	48.0609959103146	18.3189387991239	10.893536121673	17.01434822428	29.4593540173713	7.39728296885355	7.84433952623296	18.4382944422628	64.5494708722901	19.1421043965091	5.12825749530267	17.8203842769741	57.4848535846516	52.5992816829143	60.5271938605272	40.1583146347544	52.5193758608638	40.0447106115919	12.3608978269558	18.2731625125855	91.2639827967661	93.9878777984123	61.0468284911751	88.0087850735853	82.2009273570325	56.7281442117328	82.0684092977087	67.9483360285982	89.4525616103342
k__Spike	16.9870660029575	31.9398271276596	52.7827171091626	26.0752413807181	31.2198042697279	39.2312291034697	40.3188925282739	57.6450823412287	43.3690658499234	48.0446017987222	98.4445099387628	34.4186526359228	46.2374444261485	46.1198620945932	45.9195626708317	78.2676970122732	84.9133924799324	77.2809606187036	66.1526457362272	89.0801027170312	89.723465571157	76.4070024595416	23.575464913182	75.9756298369834	90.0416632628053	71.6171144441489	30.6883204308314	36.9522832221652	29.9153319986653	52.9502202277071	37.8965113171474	51.1998031092334	78.4273302900898	73.5631947726385	1.48874139321382	1.16120079182058	26.1770007965455	3.88965290748989	8.31117980422463	38.966343649057	0.533542890230788	9.25610690271512	3.6621308083025
k__Fungi|p__Ascomycota	13.3984545852165	2.12558178191489	1.00966746377256	3.53957010757517	2.76045752983441	1.08938733033678	2.76455925674145	1.08889534160202	1.30678917815212	1.21678264762137	0.00327471591839408	2.54616733725369	1.48814424501894	1.91581163938149	5.13163032532522	0.894665068804496	0.982256020278834	0.531189579729317	1.41270199790559	0.668903247183565	2.95542338586057	0.822602980385673	2.04870029795541	1.19380866128767	0.357405440731966	1.52442143602545	1.72711208347358	1.24987172909184	6.60452118785452	1.29643480428821	4.06430524433115	1.51154682308544	0.0904558554389213	0.0636981938479873	9.31910758224262	7.53045856207016	0.345868444220853	6.93363985303475	6.01545595054096	0.848181723455246	14.982628836132	2.30445144267597	0.932254760561025
k__Fungi|p__Basidiomycota	14.0857684377148	17.1230884308511	15.0285118646146	14.4848843617955	19.4656646157658	12.6453069990922	18.3342603464969	10.3082092338325	17.7968351199592	13.6206405404306	0.039296591020729	18.8218301867327	18.3043800428124	17.8368669873449	16.4080642840995	12.678209843382	5.02957329953528	6.49231708558054	1.54206279131845	2.69632206759443	2.25233511149263	6.92391955852262	23.2405219356827	2.08504857566277	0.465648231353648	2.87696179738495	23.1130090878492	22.6741918932786	19.0044210877544	14.9941826643397	22.8953806303065	15.7204971491858	4.82571470643919	6.71502249984589	58.0154250149908	67.6067835350299	4.17976774409927	52.5257086557606	42.9489953632148	1.24205480879441	11.3719083464306	9.69231423950975	39.2445810079221
k__Fungi|p__Chytridiomycota	0	0	0.0102193063134874	0.00204127457184266	0.00412933063550399	0.00221420189092841	0.0185402632717385	0	0.287901990811639	0	0	0.0165067574538327	0	0.00206445219760936	0	0	0.00211237853823405	0.00203520911773685	9.0798956900269	0.00828363154406892	0.00204386126269749	0	0	0.047340688292442	0.00204231680418266	0	0.00420733759676876	0.0266803488968702	0.00417083750417084	0.018698578908003	0	0.0123056729152139	0	0	0	0.00204077467806779	0	0	0.00412158681092221	0	0	0.00212784066729083	0.00209025731067494
k__Fungi|p__Rozellomycota	0.0124966154999688	0.0477892287234043	0	0.0102063728592133	0.0289053144485279	0.0575692491641388	0.0267803802814	0	0	0	0	0	0	0	0.0945354405146016	0	0.0971694127587664	0.00203520911773685	0	0.00207090788601723	0.00204386126269749	0.00413368331852097	0.00410972978526662	0	0.00204231680418266	0	0.0294513631773814	0.0472036942021549	0	0.051940496966675	0.0904549472688773	0.0287132368021658	0.00210362454509119	0	0	0.00204077467806779	0	0.0041051745725487	0.00412158681092221	0	0.00413599139713789	4.35781768661163	0.00627077193202483
k__Fungi|p__Unassigned	38.3167058921542	35.4429853723404	24.4486684243874	40.4948049562147	33.375314861461	22.3545822908133	29.2359351502791	24.1071058198863	26.8790199081164	28.5353843649534	0.317647444084226	35.3223976065202	25.0576321422691	27.3374760007432	26.4267658603753	4.74606388693748	4.78242501056189	9.98677114073471	17.4246935381204	4.02170311464546	2.63249330635436	10.687638220036	39.2561389088667	15.8159064712663	4.30111918960869	13.4190010435637	32.6110737125547	28.6013340174448	34.9140807474141	23.7970580902518	25.4692350389573	22.7716477296033	7.44262364053264	11.4944418188917	23.9294501995327	18.8465541519561	56.521192302855	28.5453313902174	33.2282328696548	54.6379076794832	55.7097361237489	51.5916248191335	49.2673648126084
k__Spike|p__Spike	16.9870660029575	31.9398271276596	52.7827171091626	26.0752413807181	31.2198042697279	39.2312291034697	40.3188925282739	57.6450823412287	43.3690658499234	48.0446017987222	98.4445099387628	34.4186526359228	46.2374444261485	46.1198620945932	45.9195626708317	78.2676970122732	84.9133924799324	77.2809606187036	66.1526457362272	89.0801027170312	89.723465571157	76.4070024595416	23.575464913182	75.9756298369834	90.0416632628053	71.6171144441489	30.6883204308314	36.9522832221652	29.9153319986653	52.9502202277071	37.8965113171474	51.1998031092334	78.4273302900898	73.5631947726385	1.48874139321382	1.16120079182058	26.1770007965455	3.88965290748989	8.31117980422463	38.966343649057	0.533542890230788	9.25610690271512	3.6621308083025
k__Fungi|p__Ascomycota|c__Dothideomycetes	0.15204215524962	0.428025265957447	0.128763259549942	0.257200596052175	0.303505801709543	0.0686402586187809	0.228663247018108	0.0518521591239059	0.310362429811128	0.0712163756969031	0	0.321881770349737	0.0452823974971184	0.19405850657528	0.0760393760660926	0.0309930162403405	0.00633713561470216	0.0142464638241579	0.00616003778156506	0.0372763419483101	0	0.276956782340905	0.474673790198294	0.00411658159064713	0.00204231680418266	0.00204620326983283	0.317653988556042	0.176500769625449	0.44627961294628	0.16620959029336	0.133626626647205	0.170228475327126	0.00210362454509119	0.00205478044670927	0.423877757790046	0.406114160935491	0.0545004821196495	1.53533529013321	0.919113858835652	0.0687714910909659	13.7438994126892	0.0872414673589242	0.0313538596601242
k__Fungi|p__Ascomycota|c__Pezizomycetes	12.9173348884677	1.05551861702128	0.329061663294296	1.2247647431056	0.701986208035677	0.183778756947058	0.739550501617123	0.253038536524661	0.490045941807044	0.256378952508851	0	0.13411740431239	0.62366211098304	0.187865149982452	0.0719291395219795	0.0123972064961362	0.0739332488381918	0.0569858552966317	0.00821338370875341	0.101474486414844	0.0592719766182272	0.0351363082074282	1.28429055789582	0.0391075251111477	0.0285924352585573	0.0695709111743161	0.860400538539212	0.796305797845049	0.886302969636303	0.243081525804039	0.281643813087186	0.498379753066164	0.0778341081683741	0	0	0	0	0	0	0	0	0	0
