Class	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT
k__Archaea	2.8477422282732	0.877269426289034	0.63939604036669	0.486789085106958	0.372867909559699	0.467674647251083	0.324757700309535	0.298961110142256	0.343824995384899	0.603452941494831	0.132680138803837	0.0761234775304494	0.0265469639926634	0.0290951411114344	0.0521959585414958	0.0414290588292635	0.0475975750288091	0.0392204927074396	0.0389509218384835	1.12484948162942	0.0725435933259894	0.0834724540901502	0.117192370028675	0.853944136631062	0.895474654869143	0.890692823721743	0.519812758545613	0.383882240813301	0.438279880375374	0.0627286983795086	0.0426985482493595	9.20043451068172	3.37198099730906	3.74564853745649	6.32710711403205	7.6893289815788	1.39453630914731	8.88101497313979	1.33935907970419
k__Bacteria	26.7330383480826	41.118373275236	57.2914259302057	59.515374421938	62.4011635594341	60.1705949565541	62.2697518648196	65.4425870101398	65.3913605316596	56.2023055690859	68.9502959787712	69.0492440151197	68.4839270199826	62.3363398312482	62.2747495836751	62.5456938148852	59.6673180019039	61.402132614291	58.4471565827058	46.5300008810831	59.3325989414009	56.9777754590985	61.1694302456053	53.0273604843777	58.3790842705613	53.0046789559727	57.4243413890703	64.7410780472308	64.6024543673301	62.2033455305802	60.3677412467976	30.5902103426709	22.4909471446131	42.6149464261495	36.5473307967255	33.8026221165016	38.9415981446342	21.1567036232712	61.498219665845
k__Spike	0.10211027910143	0.981844589687727	0.511003261176591	0.57873813451605	0.507735025783419	0.480960858820716	0.847414624245192	1.22324920899873	3.38286874653867	1.11760567191644	0.301081853439477	0.251994960100798	0.72400810889082	0.88012801862089	0.904729948052594	0.626309889360043	0.62127361090235	0.948645667361196	0.618021293170605	0.511028224030074	0.325102770090545	0.639085976627713	0.895150230644558	0.871080139372822	0.599648206385587	0.543999098032584	0.639560200304812	0.465953616435455	0.598123130865216	0.297961317302666	0.234842015371477	0.177754369794924	0.504966612404903	0.70075500700755	0.723509742880203	1.72871604801682	0.0391554471250866	0.171448165504629	0.109559024924678
k__Archaea|p__Thaumarchaeota	2.8477422282732	0.877269426289034	0.63939604036669	0.486789085106958	0.372867909559699	0.467674647251083	0.324757700309535	0.298961110142256	0.343824995384899	0.603452941494831	0.132680138803837	0.0761234775304494	0.0265469639926634	0.0290951411114344	0.0521959585414958	0.0414290588292635	0.0475975750288091	0.0392204927074396	0.0389509218384835	1.12484948162942	0.0725435933259894	0.0834724540901502	0.117192370028675	0.853944136631062	0.895474654869143	0.890692823721743	0.519812758545613	0.383882240813301	0.438279880375374	0.0627286983795086	0.0426985482493595	9.20043451068172	3.37198099730906	3.74564853745649	6.32710711403205	7.6893289815788	1.39453630914731	8.88101497313979	1.33935907970419
k__Bacteria|p__Actinobacteria	6.41876560018153	12.0319535221496	14.5854197159952	13.8897152283852	13.0159989422187	13.4775330162357	11.272644238088	10.6903510301702	13.5130145837179	9.91773556313254	15.4878546642172	13.4869802603948	5.86446568201564	7.70293860925225	6.61645912559342	5.50275381391042	3.7351570719976	5.06189484005393	4.178135549208	11.4922611530441	5.3655391063704	5.07877712854758	8.9116070315422	12.4607299937168	11.6944725760887	12.3372230678167	13.1586109296756	12.583395107487	13.1612869959781	8.05279665446942	6.2686806148591	14.7305704598571	9.09272117205408	18.707898187079	16.415888389254	9.77761796758312	23.3486943164363	6.53789004457652	13.8208709942482
k__Bacteria|p__Bacteroidetes	5.26151577036533	2.89034132171387	2.51393061654213	3.04513616572464	3.0728546872934	3.50224536975527	4.78256457096463	4.31998804155559	7.22263245338748	2.08367159170861	7.85364360073484	9.47343553128937	16.9707500724008	18.1626418388129	18.6687545050083	18.8477847638544	17.6511849291047	19.2768721657066	12.3110880290834	2.34661810919557	15.1884790026599	13.1130008347245	13.4945767360678	2.16484834637574	2.29998400938116	2.5396020068775	2.18811234487263	2.7771894525045	2.49046096730948	16.6414009409305	12.2891759180188	0.335758254057079	0.132885950632869	0.413671504136715	0.429493831430877	0.0691486419206727	0.0993945965482967	0.71246237665257	2.76910435497124
k__Bacteria|p__Chloroflexi	0.235420921261629	0.5199709513435	0.267056980715405	0.22987262352273	0.200978447705937	0.27369595833444	0.164916019688436	0.179376666085353	0.149990769798782	0.281430968230773	0.158195550112268	0.149622007559849	0.366830775171349	0.581902822228688	0.40265453732011	0.370424526002827	0.232977604088381	0.482902316460351	0.436250324591015	0.337748538870451	0.322415970337731	0.605175292153589	0.715621493579354	0.311304049808648	0.255849901391184	0.343875077512825	0.261267145656434	0.203854707190511	0.193358770753841	0.216936748562467	0.245516652433817	0.200796602916488	0.538188100063121	0.49278900492789	0.409316268880433	0.295956187420479	0.0572271919520496	0.278127024040843	0.28759244042728
k__Bacteria|p__Firmicutes	5.2955525300658	8.6158315177923	10.7901291631359	11.7532520215269	11.4504826127198	10.9398666064358	9.47886537778454	10.0824634395476	9.33634853239801	10.3480002164854	9.41263523167993	6.85898782024359	0.427164784245584	0.761322859082533	0.683518504710064	0.621435882438953	0.46345007264893	0.696163745557054	0.612827836925474	8.04428911274927	0.851715521642172	0.683430717863105	1.50355317292108	11.9266579082653	14.0904002984916	12.8389424432042	15.2242543000218	15.156729852801	15.1644838609879	2.40460010454783	2.57258753202391	5.53671944435301	1.67768512673998	4.86233554862336	4.01245243860256	1.2751009570172	0.114454383904099	1.93926924981903	27.7595179402903
k__Bacteria|p__Proteobacteria	8.09507601543	16.5809731299927	28.8010682279229	30.2323065689483	34.3726034642338	31.5680386894481	36.0633277515604	39.6198211216024	34.5809488646853	33.1574389781891	35.5761379873444	37.1902561948761	39.7263249348393	27.848899233828	27.7210250292049	28.2838621630843	26.9277017886668	26.8366221350656	27.6162035834848	23.8979118329466	26.741717939762	29.0118948247078	33.3649170926318	25.6611641057863	29.622621395448	24.4968713005243	26.2791204006096	33.6916234247591	33.3041146746416	22.9299529534762	19.630657557643	9.28272820040159	10.7371848111358	17.7833536778335	14.9803989392367	22.0916081208165	13.7285021535496	11.4794071703433	16.1928238838674
k__Bacteria|p__Saccharibacteria	0.8452461992285	0.241103848946986	0.215699869039365	0.275847148227276	0.211556260743091	0.30558286610156	0.3755010909829	0.401106156107526	0.452279859700941	0.281430968230773	0.375076546233925	1.77446451070979	3.79380249058789	4.71826205023761	5.00086993264236	4.80333382073403	6.84653539756501	5.58646893001593	10.2337055310309	0.243766336749978	8.67298960208496	7.2360183639399	2.40867722229148	0.291312046609927	0.261180107670167	0.259315632222786	0.234051817983889	0.259451445515196	0.229452407961225	9.50078410872974	17.5784585824082	0.490470390730439	0.215939669778413	0.33003300330033	0.273838348898882	0.257232947944902	1.30718954248366	0.156208328570884	0.651876198301835
