SampleID	Group	Date	Site
BS2	WT	2022/5/22	neimenggu
CS2	WT	2022/5/22	neimenggu
GR01	WT	2022/5/22	neimenggu
LW1	KO	2022/5/22	neimenggu
T1	WT	2022/5/22	neimenggu
BS.2	WT	2022/5/22	neimenggu
CS.2	WT	2022/5/22	neimenggu
GR.01	WT	2022/5/22	neimenggu
LW.1	KO	2022/5/22	neimenggu
T.1	WT	2022/5/22	neimenggu
