SSF,SST,SSP,SSF|SST,SSF|SSP,SST|SSP,SSF|SST|SSP
ASV1563,,,ASV1440,ASV662,,ASV192
ASV863,,,ASV1660,ASV754,,ASV181
ASV926,,,ASV843,ASV1165,,ASV319
ASV965,,,ASV761,ASV831,,ASV724
ASV1009,,,ASV961,ASV936,,ASV233
ASV1018,,,ASV1564,ASV1078,,ASV443
ASV1308,,,ASV809,ASV629,,ASV225
ASV1445,,,ASV856,ASV657,,ASV1915
ASV1499,,,ASV1221,ASV865,,ASV227
ASV1541,,,ASV1046,ASV884,,ASV205
ASV1801,,,ASV1450,ASV673,,ASV237
ASV854,,,ASV878,ASV1676,,ASV223
ASV918,,,ASV919,ASV667,,ASV207
ASV1045,,,ASV969,ASV1198,,ASV232
ASV1131,,,ASV1102,ASV984,,ASV206
ASV1138,,,ASV1053,ASV1504,,ASV210
ASV1582,,,ASV979,ASV930,,ASV231
ASV877,,,ASV1039,ASV980,,ASV250
ASV890,,,ASV1223,ASV677,,ASV257
ASV957,,,ASV1822,ASV786,,ASV264
ASV972,,,ASV1064,ASV1358,,ASV241
ASV1010,,,ASV1353,ASV950,,ASV1599
ASV1017,,,ASV1521,ASV995,,ASV221
ASV1106,,,ASV1662,ASV997,,ASV247
ASV1286,,,ASV1133,ASV762,,ASV253
ASV1336,,,ASV1792,ASV795,,ASV260
ASV1351,,,ASV1116,ASV1210,,ASV228
ASV1502,,,ASV1192,ASV775,,ASV236
ASV1712,,,ASV1302,ASV844,,ASV235
ASV867,,,ASV1303,ASV879,,ASV249
ASV882,,,ASV1359,ASV1674,,ASV298
ASV893,,,ASV1435,ASV755,,ASV272
ASV917,,,ASV1549,ASV887,,ASV242
ASV1085,,,ASV1151,ASV942,,ASV316
ASV1136,,,ASV1667,ASV811,,ASV287
ASV1224,,,ASV1213,ASV1414,,ASV1657
ASV1264,,,ASV1467,ASV1526,,ASV263
ASV1427,,,ASV1535,ASV873,,ASV502
ASV1812,,,ASV1848,ASV1162,,ASV320
ASV1051,,,ASV1331,ASV1594,,ASV259
ASV1145,,,ASV1525,ASV792,,ASV314
ASV1252,,,ASV1546,ASV822,,ASV633
ASV1269,,,ASV1458,ASV1444,,ASV311
ASV1653,,,ASV1646,ASV1776,,ASV289
ASV944,,,ASV1763,ASV820,,ASV400
ASV949,,,ASV1571,ASV991,,ASV292
ASV990,,,ASV1640,ASV1057,,ASV307
ASV1029,,,,ASV1079,,ASV284
ASV1048,,,,ASV835,,ASV450
ASV1113,,,,ASV859,,ASV424
ASV1290,,,,ASV880,,ASV323
ASV966,,,,ASV896,,ASV373
ASV1109,,,,ASV915,,ASV278
ASV1120,,,,ASV955,,ASV290
ASV1242,,,,ASV977,,ASV1129
ASV1377,,,,ASV1033,,ASV294
ASV1412,,,,ASV1196,,ASV398
ASV1645,,,,ASV1576,,ASV324
ASV1067,,,,ASV1933,,ASV441
ASV1139,,,,ASV916,,ASV362
ASV1141,,,,ASV868,,ASV381
ASV1168,,,,ASV909,,ASV330
ASV1173,,,,ASV1091,,ASV399
ASV1193,,,,ASV1342,,ASV411
ASV1256,,,,ASV1753,,ASV367
ASV1376,,,,ASV1098,,ASV382
ASV1381,,,,ASV1277,,ASV720
ASV1389,,,,ASV954,,ASV390
ASV1553,,,,ASV1021,,ASV394
ASV1560,,,,ASV1149,,ASV446
ASV1592,,,,ASV1378,,ASV491
ASV1755,,,,ASV1439,,ASV403
ASV1172,,,,ASV1572,,ASV374
ASV1199,,,,ASV1865,,ASV421
ASV1249,,,,ASV914,,ASV433
ASV1261,,,,ASV970,,ASV375
ASV1271,,,,ASV1059,,ASV418
ASV1289,,,,ASV1084,,ASV486
ASV1326,,,,ASV1101,,ASV385
ASV1328,,,,ASV1167,,ASV413
ASV1379,,,,ASV1178,,ASV605
ASV1406,,,,ASV1281,,ASV409
ASV1476,,,,ASV1119,,ASV459
ASV1556,,,,ASV1265,,ASV1797
ASV1557,,,,ASV1272,,ASV591
ASV1615,,,,ASV1366,,ASV790
ASV1721,,,,ASV1398,,ASV475
ASV1760,,,,ASV1625,,ASV763
ASV1097,,,,ASV1708,,ASV1092
ASV1148,,,,ASV1089,,ASV482
ASV1186,,,,ASV1137,,ASV569
ASV1207,,,,ASV1170,,ASV499
ASV1239,,,,ASV1205,,ASV501
ASV1357,,,,ASV1255,,ASV455
ASV1386,,,,ASV1545,,ASV465
ASV1463,,,,ASV1229,,ASV469
ASV1481,,,,ASV1231,,ASV557
ASV1552,,,,ASV1232,,ASV595
ASV1775,,,,ASV1383,,ASV800
ASV1931,,,,ASV1852,,ASV485
ASV1090,,,,ASV1882,,ASV508
ASV1161,,,,ASV1251,,ASV586
ASV1237,,,,ASV1278,,ASV687
ASV1284,,,,ASV1373,,ASV510
ASV1346,,,,ASV1606,,ASV587
ASV1432,,,,ASV1110,,ASV520
ASV1433,,,,ASV1448,,ASV1287
ASV1509,,,,ASV1452,,ASV497
ASV1718,,,,ASV1559,,ASV504
ASV1794,,,,ASV1707,,ASV620
ASV1175,,,,ASV1802,,ASV559
ASV1248,,,,ASV1212,,ASV684
ASV1293,,,,ASV1220,,ASV663
ASV1318,,,,ASV1310,,ASV672
ASV1349,,,,ASV1355,,ASV1142
ASV1402,,,,ASV1396,,ASV565
ASV1420,,,,ASV1462,,ASV651
ASV1489,,,,ASV1492,,ASV767
ASV1611,,,,ASV1694,,ASV562
ASV1695,,,,ASV1761,,ASV1604
ASV1702,,,,ASV1227,,ASV750
ASV1734,,,,ASV1313,,ASV931
ASV1862,,,,ASV1395,,ASV1164
ASV1920,,,,ASV1447,,ASV1419
ASV1228,,,,ASV1507,,ASV650
ASV1288,,,,ASV1512,,ASV686
ASV1356,,,,ASV1601,,ASV1181
ASV1388,,,,ASV1614,,ASV1416
ASV1438,,,,ASV1319,,ASV769
ASV1443,,,,ASV1384,,ASV1104
ASV1446,,,,ASV1442,,ASV709
ASV1491,,,,ASV1666,,ASV962
ASV1511,,,,ASV1382,,ASV1122
ASV1514,,,,ASV1482,,ASV1699
ASV1703,,,,ASV1495,,ASV697
ASV1719,,,,ASV1769,,ASV801
ASV1779,,,,ASV1425,,ASV1505
ASV1900,,,,ASV1529,,ASV776
ASV1929,,,,ASV1622,,ASV1230
ASV1291,,,,ASV1680,,ASV1266
ASV1292,,,,ASV1681,,ASV1028
ASV1327,,,,ASV1820,,ASV1573
ASV1409,,,,ASV1762,,ASV1830
ASV1451,,,,ASV1781,,ASV968
ASV1477,,,,ASV1930,,ASV1027
ASV1503,,,,ASV1867,,ASV1337
ASV1530,,,,,,ASV971
ASV1540,,,,,,ASV1635
ASV1585,,,,,,ASV871
ASV1698,,,,,,ASV1296
ASV1783,,,,,,ASV1369
ASV1324,,,,,,ASV1000
ASV1418,,,,,,ASV1117
ASV1466,,,,,,ASV1244
ASV1566,,,,,,ASV975
ASV1626,,,,,,ASV1174
ASV1639,,,,,,ASV1360
ASV1642,,,,,,ASV1345
ASV1720,,,,,,ASV1400
ASV1722,,,,,,ASV1648
ASV1833,,,,,,ASV1361
ASV1840,,,,,,ASV1661
ASV1847,,,,,,
ASV1912,,,,,,
ASV1927,,,,,,
ASV1393,,,,,,
ASV1498,,,,,,
ASV1532,,,,,,
ASV1542,,,,,,
ASV1568,,,,,,
ASV1583,,,,,,
ASV1589,,,,,,
ASV1679,,,,,,
ASV1690,,,,,,
ASV1693,,,,,,
ASV1717,,,,,,
ASV1772,,,,,,
ASV1825,,,,,,
ASV1898,,,,,,
ASV1524,,,,,,
ASV1538,,,,,,
ASV1587,,,,,,
ASV1771,,,,,,
ASV1823,,,,,,
ASV1866,,,,,,
ASV1868,,,,,,
ASV1869,,,,,,
ASV1924,,,,,,
ASV439,,,,,,
ASV1692,,,,,,
ASV1713,,,,,,
ASV1715,,,,,,
ASV1738,,,,,,
ASV1748,,,,,,
ASV1798,,,,,,
ASV1808,,,,,,
ASV1846,,,,,,
ASV1883,,,,,,
ASV1906,,,,,,
ASV1917,,,,,,
ASV1928,,,,,,
ASV1818,,,,,,
ASV1861,,,,,,
ASV1903,,,,,,
ASV1913,,,,,,
ASV1859,,,,,,
ASV296,,,,,,
